 	ekoko	était	un	chasseur	plein	de	dextérité	quand	il	ouvrait	le	feu	sur	du	gibier	il	l'	atteignait	</S>
a40	0.0497668	0.0515472	0.0765998	0.111392	0.118145	0.0944964	0.0717468	0.0650317	0.0463558	0.0460808	0.0304119	0.0241162	0.0185525	0.019471	0.0225188	0.025653	0.0258612	0.0438283	0.0584252
a6	0.0297586	0.0773895	0.0936132	0.0883323	0.0727557	0.0456835	0.0572906	0.0476538	0.0419704	0.0392124	0.0339124	0.0396603	0.0331115	0.0380967	0.0466991	0.0550182	0.0550496	0.0436085	0.0611837
a56	0.0130487	0.0672909	0.0926611	0.0975151	0.0965785	0.0643024	0.0662302	0.0575474	0.0519874	0.0479699	0.0399252	0.0401264	0.0306199	0.0261397	0.0280296	0.0316073	0.0392834	0.0422686	0.0668685
a93	0.0158311	0.0464429	0.0647892	0.0781536	0.0831426	0.0777518	0.071558	0.0749207	0.0691295	0.0634428	0.0585049	0.0500484	0.0429261	0.0371803	0.0366317	0.0321492	0.0263812	0.0280591	0.0429568
a4	0.0199316	0.0534867	0.0693487	0.0792284	0.0799692	0.0753426	0.0651579	0.0691081	0.0620975	0.0597983	0.0571111	0.0495596	0.0435271	0.0396411	0.0414316	0.0391503	0.0299309	0.0273908	0.0387883
a93	0.0141843	0.0330357	0.0537899	0.0713996	0.078326	0.0774856	0.0711737	0.0769612	0.0715951	0.0642353	0.064236	0.0560877	0.0501696	0.0464994	0.0443347	0.0350395	0.0252697	0.0281635	0.0380132
a62	0.0119648	0.0290222	0.0474419	0.0621293	0.0720574	0.073706	0.0717906	0.0790589	0.0750797	0.066447	0.0710037	0.0620023	0.0542504	0.0494946	0.046992	0.0375432	0.0261363	0.0278129	0.0360668
a34	0.00673161	0.012511	0.0251115	0.048494	0.0763556	0.0832494	0.0850098	0.0943059	0.0916633	0.0772387	0.0780024	0.0658212	0.0581887	0.0500398	0.0412362	0.0260648	0.0173435	0.0270923	0.0355405
a56	0.00527104	0.011192	0.0247044	0.0459776	0.0730115	0.0825878	0.0850509	0.0983707	0.0971257	0.0782654	0.083487	0.068994	0.0595588	0.0503039	0.0409067	0.0267802	0.0187909	0.0215777	0.0280437
a90	0.00385905	0.00819318	0.0171249	0.0362161	0.0687419	0.0791713	0.0792498	0.0942128	0.0922183	0.0757445	0.0833103	0.0690321	0.061255	0.0516999	0.0417186	0.0304144	0.0269432	0.0350214	0.0458731
a69	0.00221073	0.00826332	0.0220397	0.043566	0.0737734	0.0659787	0.0764484	0.0850019	0.0828903	0.0642703	0.0767584	0.0775656	0.0682654	0.0563042	0.0484552	0.0421927	0.0323348	0.0299178	0.043763
a90	0.00262601	0.00608856	0.0135718	0.0305938	0.0735597	0.0710858	0.0855818	0.0951218	0.0890706	0.0716966	0.0788807	0.0720194	0.0594264	0.0496467	0.0442723	0.0399389	0.0315446	0.0380969	0.0471776
a25	0.00114507	0.00345084	0.00807339	0.0205736	0.0540307	0.0596627	0.0752661	0.0861719	0.08694	0.0682207	0.0793223	0.0776886	0.0698986	0.0619875	0.0522359	0.0458273	0.0339747	0.0487133	0.0668165
a92	0.000589758	0.00196684	0.00579902	0.017029	0.0546661	0.0503844	0.0798802	0.0906973	0.094435	0.0633136	0.0786895	0.080597	0.066122	0.0547078	0.0441405	0.0409907	0.0351036	0.0582474	0.0826404
a56	0.000886818	0.00219092	0.0051111	0.0148226	0.0567528	0.0584027	0.0842925	0.0935384	0.0872341	0.0610801	0.0744301	0.0677674	0.0593653	0.0516955	0.0444075	0.0439417	0.0386377	0.0710855	0.0843572
a96	0.000724245	0.00183846	0.00377658	0.0111633	0.0419592	0.0489943	0.0724876	0.0857394	0.0903743	0.0648687	0.0778454	0.0737323	0.064422	0.0546984	0.0434331	0.0455086	0.042415	0.0740665	0.101953
a94	0.000871379	0.00216298	0.00353814	0.00898666	0.0389367	0.0482176	0.0798215	0.096314	0.105204	0.0677331	0.0789954	0.0662127	0.0551688	0.0422731	0.0309123	0.0344774	0.0372249	0.0815684	0.121381
a90	0.00104214	0.00223339	0.00338777	0.00811651	0.0344814	0.0414787	0.0799237	0.0918914	0.10368	0.0645541	0.0719169	0.0559306	0.0440463	0.0329651	0.0246902	0.0320405	0.0405594	0.107148	0.159914
a94	0.000702188	0.00140932	0.00212413	0.00507024	0.0243188	0.0296562	0.0603555	0.0729834	0.0815863	0.049359	0.0657132	0.0563551	0.0508124	0.0425229	0.0327933	0.0444728	0.0542067	0.140531	0.185027
a4	0.000779917	0.00176597	0.00252378	0.0058966	0.0246298	0.0276585	0.0624735	0.0688074	0.0772099	0.0461775	0.0525273	0.0411511	0.0316311	0.0236711	0.0184353	0.0273888	0.0464103	0.1884	0.252462
a57	0.000901023	0.00227043	0.00331396	0.00744072	0.0279169	0.0322106	0.0722532	0.0782913	0.0880959	0.0540517	0.0601319	0.045929	0.0373491	0.0290712	0.0228261	0.0345407	0.051976	0.147028	0.204403
a82	0.000832185	0.00187683	0.00302336	0.00661447	0.0262351	0.0363306	0.0840822	0.0990411	0.112637	0.0696213	0.072373	0.0461553	0.0275864	0.0192162	0.0141103	0.0170347	0.0281133	0.144659	0.190458
a87	0.00578146	0.0064185	0.00909218	0.0156827	0.0405378	0.0513887	0.0897903	0.101058	0.105042	0.0754681	0.07186	0.0511788	0.0444126	0.0421601	0.0292572	0.0248797	0.0288068	0.0910036	0.116181
a23	0.0106366	0.00721358	0.0077311	0.0133195	0.0283167	0.0333996	0.0490008	0.0567935	0.0758113	0.0707621	0.0710693	0.063256	0.0686634	0.0818969	0.0538239	0.0384807	0.0436844	0.10729	0.118851
a53	0.00724916	0.00451904	0.0039467	0.00589702	0.0123617	0.0152129	0.0205953	0.0254102	0.0322562	0.0300506	0.0352154	0.0367058	0.0346272	0.047713	0.0414021	0.0411705	0.078104	0.219338	0.308225
a20	0.000834226	0.00120888	0.00168748	0.00340919	0.00964847	0.0114397	0.0224231	0.0234372	0.025916	0.019684	0.0192022	0.0151722	0.0123432	0.0128688	0.00997944	0.0168267	0.0618889	0.307541	0.42449
a69	0.000294125	0.000510574	0.000823942	0.00209637	0.00804154	0.00903814	0.0165666	0.0170014	0.0167177	0.0115882	0.0125385	0.0109668	0.00897563	0.00858719	0.00703328	0.011911	0.042344	0.346994	0.467971
a15	0.000308649	0.000495936	0.00077854	0.0018257	0.00678363	0.00701697	0.0126987	0.0134417	0.0132637	0.00950893	0.010501	0.00901279	0.00741235	0.00696097	0.00516665	0.00846268	0.0296359	0.337842	0.518883
a7	0.00026082	0.00046604	0.000730622	0.00193516	0.00720671	0.00641757	0.0132128	0.0139434	0.0147692	0.0103434	0.0117679	0.0123867	0.0100154	0.00971544	0.0071718	0.0116282	0.0420786	0.358541	0.46741
a5	0.00018141	0.000302474	0.000375195	0.000866597	0.00394988	0.00332211	0.008963	0.00943001	0.0101022	0.00682074	0.00890975	0.00910201	0.00737413	0.00655513	0.00525872	0.0107723	0.0462104	0.367357	0.494147
a12	0.000133674	0.000223532	0.000300988	0.000594167	0.00211602	0.00217251	0.00532581	0.0057371	0.00667586	0.00464601	0.00745771	0.0073673	0.00727315	0.0072521	0.00573667	0.0104943	0.0375731	0.373346	0.515574
a21	0.000103271	0.000323609	0.000421284	0.00083465	0.00291848	0.00262177	0.00710028	0.00727118	0.00831533	0.00560661	0.00842839	0.00772547	0.00699713	0.00616439	0.00471594	0.00859693	0.0354109	0.37953	0.506914
a6	0.000220638	0.000615375	0.000777603	0.00142573	0.00415139	0.00369727	0.00726259	0.00695367	0.0069145	0.00468807	0.00708508	0.00666385	0.00710662	0.00632791	0.00520809	0.0103876	0.0406487	0.362597	0.517268
a37	6.88759e-05	0.000347333	0.000485696	0.00111489	0.00438318	0.00382597	0.0102588	0.0103223	0.0107811	0.00723545	0.0116442	0.0119313	0.0105783	0.00819884	0.00606048	0.0106738	0.0336201	0.389858	0.468612
a54	0.000143737	0.000784304	0.00115464	0.00254787	0.00854027	0.00691515	0.0203476	0.0205127	0.0234282	0.0152581	0.0180908	0.0157609	0.011439	0.00818516	0.00617003	0.0117393	0.0466834	0.376419	0.405879
a36	0.000154169	0.000794813	0.000907051	0.00181174	0.00645733	0.00525082	0.0164572	0.0163209	0.0177583	0.012334	0.015925	0.0164593	0.0123693	0.0100905	0.00779008	0.0142694	0.0403339	0.404294	0.400222
a7	0.00134242	0.00395853	0.00480682	0.00779646	0.0179939	0.0117077	0.0383867	0.0309833	0.0317976	0.0210658	0.0212107	0.0177724	0.0111895	0.008624	0.00788706	0.018722	0.0848344	0.348052	0.311869
a20	0.0030188	0.00684368	0.00923154	0.014628	0.0257977	0.0161391	0.0377031	0.0307417	0.0343815	0.0227112	0.0236479	0.0206491	0.0130735	0.0098229	0.00809048	0.0163871	0.0763987	0.312798	0.317936
a98	0.000403154	0.002959	0.00303494	0.00401115	0.00991775	0.00515752	0.0241173	0.0191425	0.0226314	0.0153824	0.0185145	0.0191976	0.012249	0.0105597	0.00882071	0.0176729	0.0868841	0.376369	0.342976
a85	7.30576e-05	0.000427434	0.000496869	0.000813684	0.00308034	0.00190071	0.00888567	0.0085362	0.00917778	0.00560482	0.0091909	0.00966181	0.0066402	0.00521534	0.003694	0.00737687	0.0304416	0.433965	0.454817
a47	5.15907e-05	0.000290634	0.00039858	0.000743325	0.00269748	0.00185261	0.00681354	0.00689967	0.00739465	0.00453826	0.00823859	0.00933468	0.00676034	0.00499206	0.00325964	0.00696333	0.0242128	0.418308	0.486251
a79	0.000167674	0.000972244	0.00125183	0.00210728	0.00734849	0.00456155	0.0205975	0.0189482	0.0202554	0.0131927	0.0186691	0.020465	0.0129057	0.00894099	0.00644157	0.0137478	0.05711	0.388502	0.383815
a44	0.000211513	0.00151856	0.00185021	0.0029339	0.00986605	0.00571397	0.0238521	0.0217904	0.0228978	0.0155077	0.0219699	0.0238062	0.016236	0.0107248	0.0078892	0.0159615	0.0559503	0.378389	0.362931
a32	0.000425813	0.0028538	0.00369782	0.0063933	0.0172079	0.0100024	0.031185	0.0268254	0.029283	0.0224081	0.0270537	0.0248101	0.0161101	0.0100747	0.00744688	0.014361	0.0553443	0.363021	0.331495
a38	0.000488676	0.00247942	0.00403622	0.00742653	0.0197232	0.0116696	0.0347465	0.030055	0.0360522	0.0279572	0.0319048	0.0259873	0.0148622	0.00873895	0.0069459	0.0139142	0.0627035	0.311498	0.348811
a82	0.00248867	0.00714681	0.0115054	0.0195303	0.0426979	0.0294233	0.0765755	0.0676048	0.0799162	0.0555688	0.0522915	0.0391816	0.0207469	0.014059	0.0119291	0.0232333	0.0795064	0.184593	0.182002
a10	0.0428929	0.0296349	0.029545	0.0425487	0.0653638	0.0466173	0.0818922	0.0711468	0.0821548	0.0593031	0.0531797	0.0440288	0.0305449	0.0286912	0.0236295	0.0386061	0.0686581	0.0851651	0.0763973
a87	0.0498591	0.0370129	0.0254079	0.0264671	0.0376856	0.0310629	0.0509997	0.0507782	0.0692638	0.0658507	0.065183	0.0663066	0.0567333	0.0657881	0.0509621	0.0523966	0.0571712	0.0743383	0.0667327
a23	0.0173194	0.0252668	0.0190824	0.0200412	0.0396936	0.0301121	0.0667054	0.0615624	0.0713467	0.0564505	0.0655052	0.0665699	0.0595144	0.0725147	0.066602	0.0693111	0.0618435	0.0676685	0.0628902
a99	0.00217672	0.00304249	0.00155808	0.00163925	0.00402569	0.00265575	0.00700898	0.00749851	0.0102306	0.00824923	0.013905	0.0208774	0.0192564	0.0322048	0.033849	0.0525528	0.105469	0.305068	0.368733
a97	0.00241543	0.0031422	0.00206684	0.00288113	0.0057321	0.00370394	0.00834984	0.00822763	0.0110518	0.00925893	0.0141866	0.0233079	0.0218221	0.0377923	0.0368574	0.0438789	0.0809544	0.289268	0.395103
</S>	0.00257185	0.00497272	0.00466874	0.00684748	0.0109632	0.00615759	0.0135893	0.0123164	0.0154775	0.0131942	0.0178527	0.0271537	0.0234942	0.035161	0.0337906	0.0343349	0.0622323	0.271244	0.403977
