 	quand	ils	ont	vu	un	voyageur	qui	s'	avançait	enveloppé	dans	un	manteau	</S>
a50	0.000682916	0.00114011	0.00171623	0.00168014	0.00186384	0.00248707	0.00521785	0.00980079	0.0195783	0.0764122	0.130028	0.136096	0.246817	0.36648
a75	0.000699204	0.00120058	0.00187647	0.00183403	0.00201205	0.00246745	0.00496112	0.00913924	0.0181442	0.0707883	0.131681	0.130679	0.262478	0.362039
a47	0.00159957	0.00256236	0.00404313	0.00461898	0.00751788	0.0112482	0.0171064	0.021234	0.0282578	0.0671179	0.113585	0.144741	0.233209	0.343158
a7	0.000496484	0.00110764	0.00220485	0.00257457	0.00505333	0.0083778	0.0164445	0.0241267	0.0331135	0.0857478	0.142761	0.14128	0.227528	0.309184
a37	0.000406139	0.000801675	0.00138604	0.00150768	0.00241561	0.00362172	0.00765366	0.0124018	0.0179168	0.0693099	0.11526	0.112155	0.214657	0.440506
a12	0.000531126	0.000902828	0.00124459	0.00123496	0.00157832	0.00196185	0.00390854	0.00693908	0.0121417	0.0606634	0.117523	0.12351	0.232922	0.434938
a96	0.000892996	0.00132899	0.00176812	0.00159126	0.00175708	0.0021205	0.00396632	0.00671392	0.0113857	0.0596965	0.127675	0.125004	0.233061	0.423039
a70	0.000570242	0.000921641	0.00130934	0.00124385	0.0014058	0.00169372	0.00330373	0.00597208	0.0109471	0.0588941	0.121928	0.115332	0.236881	0.439597
a96	0.000591109	0.000914925	0.00126656	0.00121464	0.0013868	0.00177938	0.00336804	0.00621437	0.0123086	0.0597056	0.120161	0.115153	0.249335	0.426601
a98	0.000685935	0.00106244	0.00147198	0.00136005	0.00153734	0.00175823	0.00336392	0.00634278	0.0113806	0.0568701	0.128548	0.121549	0.246887	0.417183
a71	0.000618518	0.000993439	0.00131664	0.00130149	0.00184618	0.00232911	0.00435752	0.00779609	0.0125948	0.0612368	0.13038	0.130687	0.251648	0.392895
a25	0.00181898	0.00248902	0.0031053	0.00292034	0.00347726	0.00339136	0.00595871	0.0110697	0.0143312	0.0637431	0.119738	0.116939	0.294234	0.356784
a87	0.00886795	0.0093823	0.00996401	0.00813451	0.00902428	0.00774848	0.0121826	0.0210975	0.0267549	0.0815702	0.142842	0.142254	0.257718	0.26246
a23	0.0503061	0.0415338	0.0427439	0.0373585	0.0443004	0.0386529	0.0384301	0.0413202	0.0378301	0.0716972	0.107687	0.139417	0.156728	0.151995
a87	0.0496756	0.036889	0.0341384	0.0319619	0.0466716	0.0429276	0.0422567	0.046599	0.0416191	0.0596319	0.11091	0.170102	0.139992	0.146626
a23	0.0202554	0.0209131	0.0244838	0.0231352	0.0423109	0.0503478	0.0515168	0.0563858	0.0566033	0.0850956	0.145659	0.174861	0.118082	0.130351
a97	0.0299075	0.0293031	0.0320426	0.0315243	0.0512043	0.0592349	0.0589558	0.0597166	0.0535976	0.0700497	0.124866	0.162898	0.1082	0.128499
a87	0.0240772	0.0277522	0.033416	0.032325	0.0539377	0.0625973	0.0653477	0.0673208	0.0621561	0.0830961	0.140674	0.145127	0.0880605	0.114112
a23	0.0297523	0.0339691	0.0379951	0.0361895	0.0622979	0.0746572	0.0725619	0.071375	0.0585235	0.0737763	0.129425	0.125666	0.0829704	0.110841
a87	0.025674	0.0286291	0.0333052	0.0339184	0.0558711	0.0645017	0.0655465	0.0652626	0.0606189	0.0729857	0.122471	0.14433	0.0977869	0.129099
a23	0.0289009	0.0332844	0.0338758	0.0321598	0.0516582	0.0573896	0.0527478	0.052888	0.0468726	0.0676605	0.126428	0.139672	0.106556	0.169907
a87	0.0308952	0.0369414	0.041369	0.0421569	0.0643641	0.0693754	0.0681188	0.065145	0.0569278	0.0677475	0.112547	0.123134	0.0879598	0.133318
</S>	0.0345507	0.0387617	0.0383085	0.0349496	0.0564195	0.0556713	0.0508735	0.052126	0.0434871	0.0701646	0.132051	0.139387	0.0976236	0.155626
