 	les	vieux	oignent	leurs	cheveux	d'	huile	de	palme	pour	cacher	les	cheveux	blancs	</S>
a24	0.00434988	0.00395114	0.00543753	0.010936	0.0185077	0.0242067	0.0358076	0.0339559	0.0411226	0.0376588	0.0509289	0.0951174	0.157477	0.23468	0.245863
a62	0.00241995	0.00230464	0.00231675	0.00508763	0.00864615	0.0112249	0.016489	0.016119	0.0190433	0.016713	0.0300751	0.0753698	0.155831	0.285413	0.352947
a0	0.00197601	0.00169711	0.00216115	0.00479495	0.00895236	0.0120705	0.0191048	0.0192675	0.0249783	0.0229253	0.035698	0.0794349	0.1626	0.280995	0.323344
a75	0.000886963	0.000899086	0.000856436	0.00187086	0.00348797	0.00466808	0.00758932	0.00774406	0.0101919	0.00977744	0.0219731	0.0611451	0.143147	0.321599	0.404164
a85	0.00302521	0.00361236	0.00359318	0.0071488	0.0142926	0.0189529	0.0232256	0.0224914	0.0234235	0.0189806	0.0306775	0.0707496	0.157741	0.261682	0.340404
a5	0.00731974	0.00689944	0.00598956	0.00928375	0.0170683	0.0239696	0.0322398	0.0325869	0.030976	0.0224137	0.026316	0.0717798	0.146299	0.256077	0.310781
a96	0.00375553	0.00378215	0.0039301	0.00715736	0.0135496	0.0178409	0.0229667	0.0198491	0.0192549	0.0142065	0.0190593	0.0542717	0.130357	0.27403	0.395989
a0	0.00142595	0.00162091	0.00171845	0.00324778	0.00630384	0.00877128	0.0122995	0.0114543	0.0127916	0.0101464	0.0170276	0.0399521	0.109985	0.294622	0.468634
a31	0.000539395	0.00072343	0.000854918	0.00175339	0.00383063	0.00550668	0.00778955	0.00685285	0.00713934	0.0054544	0.0117855	0.0271643	0.0873025	0.300883	0.532421
a0	0.00185901	0.00200271	0.0018783	0.00303835	0.00592263	0.00836361	0.0121115	0.0108477	0.0114805	0.00915392	0.0162318	0.0359979	0.0883591	0.276678	0.516075
a24	0.001031	0.00123331	0.00128108	0.00213911	0.00476923	0.00622606	0.00894429	0.00772415	0.00886795	0.00743405	0.0153632	0.0342787	0.0938528	0.290663	0.516192
a9	0.00157158	0.00200456	0.00226287	0.00415731	0.00992741	0.0126173	0.0168512	0.0141667	0.0143071	0.0114777	0.0196469	0.0355652	0.0899547	0.261807	0.503683
a10	0.0144028	0.01225	0.0107642	0.0138435	0.0294395	0.0393919	0.0496818	0.0414424	0.0413869	0.03418	0.0471317	0.0616325	0.111536	0.1834	0.309517
a87	0.0330506	0.0179503	0.0130769	0.0152558	0.03286	0.0404574	0.0491018	0.0463039	0.0487382	0.0428602	0.0458446	0.0554309	0.0981047	0.160956	0.300009
a23	0.0514706	0.0268989	0.0166134	0.0170601	0.0504836	0.0593127	0.0656432	0.0653577	0.0630163	0.061399	0.0558274	0.0393155	0.0741216	0.125201	0.228279
a87	0.0107544	0.00465079	0.00244286	0.0039594	0.0116427	0.0160699	0.0190377	0.0224046	0.0239363	0.0274013	0.0371294	0.0537183	0.131842	0.24972	0.385291
</S>	0.0102965	0.00464989	0.00296299	0.00578765	0.0162234	0.0201317	0.0212209	0.0227134	0.0234602	0.0239431	0.0372753	0.0543254	0.118831	0.243019	0.395159
