 	l'	antilope	bondit	à	l'	approche	de	l'	homme	</S>
a58	0.0446041	0.0685072	0.153858	0.160415	0.157466	0.112803	0.0850511	0.0661063	0.0689771	0.0822128
a54	0.0254253	0.0295683	0.0767206	0.122263	0.159225	0.137446	0.104316	0.0881421	0.106231	0.150663
a73	0.0360535	0.0368392	0.0575748	0.0717865	0.0759853	0.0959524	0.109609	0.126524	0.163343	0.226332
a94	0.0425765	0.0408525	0.0716365	0.0968813	0.0944933	0.0936679	0.0948565	0.100926	0.141272	0.222837
a69	0.0449888	0.044228	0.0662025	0.0962928	0.111699	0.104867	0.0966691	0.0985545	0.131647	0.204851
a76	0.0669454	0.0583141	0.0590174	0.0756601	0.0852327	0.0934103	0.106813	0.119505	0.14461	0.190492
a90	0.0962224	0.0836317	0.0654496	0.077799	0.0766378	0.0881008	0.101566	0.119553	0.134342	0.156697
a76	0.0428673	0.0503524	0.059733	0.080158	0.0921132	0.111219	0.115973	0.125081	0.145147	0.177356
a73	0.0768138	0.0668176	0.0573657	0.0723417	0.0764289	0.103301	0.111826	0.124906	0.142555	0.167644
a12	0.0262429	0.0275045	0.0378706	0.0553472	0.0659937	0.106479	0.133885	0.152192	0.175113	0.219372
a24	0.0349422	0.0298399	0.0359046	0.0476146	0.06091	0.0998602	0.131744	0.15283	0.17634	0.230015
a41	0.031319	0.0222543	0.0240135	0.0307713	0.0385657	0.073336	0.115841	0.167094	0.211385	0.28542
a73	0.0271022	0.0186831	0.0234082	0.0321825	0.0392668	0.0750906	0.117029	0.161064	0.207623	0.298551
a2	0.0176552	0.0126392	0.0228296	0.0339505	0.0390804	0.0721176	0.110702	0.15237	0.208745	0.32991
a57	0.0210299	0.0134702	0.0217628	0.031863	0.0340997	0.0752761	0.111189	0.155643	0.206146	0.329521
a87	0.0290974	0.0136658	0.0147168	0.0193347	0.01958	0.0455745	0.0753953	0.14761	0.245501	0.389524
a23	0.0204238	0.00926046	0.00553346	0.00768574	0.00816644	0.0191985	0.0420957	0.124166	0.279736	0.483734
a40	0.00769585	0.00395905	0.00228486	0.00425787	0.00519784	0.0189448	0.0492359	0.130762	0.28094	0.496721
a73	0.0227622	0.0114269	0.00889053	0.016652	0.0256114	0.0497517	0.0673606	0.118412	0.225039	0.454093
a84	0.00642126	0.00682221	0.0165373	0.0252634	0.0328854	0.0552754	0.0925342	0.160236	0.248388	0.355636
a57	0.00142703	0.00127174	0.00312774	0.00671226	0.00942536	0.0244451	0.0542053	0.14445	0.285413	0.469523
a90	0.00160519	0.000985556	0.00165367	0.00295946	0.00387	0.0140306	0.0430712	0.140666	0.295673	0.495485
a12	0.00691315	0.0033274	0.00347178	0.00775808	0.0107706	0.0267823	0.0509366	0.128144	0.270936	0.49096
a18	0.00566894	0.00350876	0.00533447	0.00897925	0.0112887	0.0252349	0.0509905	0.125629	0.272459	0.490906
a24	0.0038206	0.00280287	0.00394596	0.00595334	0.00691468	0.0184758	0.0442948	0.124409	0.272877	0.516506
a9	0.00524192	0.0028777	0.00302992	0.00441275	0.00480319	0.0141348	0.0385899	0.123582	0.274977	0.528351
a38	0.00342966	0.00225152	0.0028045	0.00471648	0.0052477	0.016956	0.0386822	0.116105	0.24844	0.561367
a98	0.00487955	0.00202263	0.00161834	0.00242229	0.00242184	0.00957672	0.0296451	0.115767	0.269685	0.561962
a73	0.00360576	0.00163122	0.00200731	0.0044722	0.00552009	0.0186184	0.0466233	0.132841	0.274556	0.510125
a44	0.00140938	0.000737873	0.00115739	0.00244234	0.00295856	0.0111791	0.0324556	0.110708	0.262436	0.574516
a70	0.001547	0.000838141	0.00119041	0.00246081	0.00284423	0.00942013	0.024752	0.0930907	0.246945	0.616911
a13	0.00351324	0.00197726	0.00215117	0.0032869	0.00341023	0.0107619	0.0289763	0.103603	0.250218	0.592102
a82	0.00617265	0.00283656	0.0025763	0.00351186	0.00334816	0.0107392	0.0297078	0.103887	0.249848	0.587373
a87	0.0144273	0.00662862	0.00418743	0.00533031	0.00453348	0.01451	0.0368275	0.114372	0.251361	0.547822
</S>	0.0110901	0.00505385	0.00237323	0.00399196	0.00393256	0.0159648	0.0376713	0.109952	0.246417	0.563554
