 	le	vent	fait	les	ondulations	sur	l'	eau	du	lac	</S>
a82	0.0122251	0.0115771	0.0105123	0.0127437	0.0176956	0.0282614	0.0408626	0.0648695	0.113489	0.245986	0.441777
a97	0.0579735	0.0378798	0.0279454	0.0270832	0.0280602	0.0382435	0.0515718	0.0744965	0.122944	0.219566	0.314236
a87	0.111055	0.0617512	0.0455126	0.0370825	0.0312642	0.0383702	0.0512021	0.0739173	0.114494	0.188136	0.247215
a97	0.0715133	0.0436007	0.0375308	0.0322061	0.0314043	0.0418922	0.0660411	0.105367	0.154842	0.206195	0.209406
a87	0.0492277	0.0308377	0.0263327	0.024588	0.0320261	0.042261	0.0731505	0.111184	0.152952	0.20854	0.2489
a97	0.0493671	0.031022	0.0267359	0.0260207	0.0410136	0.0592987	0.0880645	0.117702	0.143804	0.18106	0.235912
a23	0.0593141	0.0372171	0.0326761	0.0347776	0.0643214	0.072819	0.0900726	0.108207	0.128209	0.157199	0.215187
a38	0.00981545	0.00539975	0.0042631	0.00393541	0.00605759	0.0159128	0.0352349	0.069851	0.122152	0.212324	0.515054
a37	0.0176861	0.00891	0.00729889	0.00652481	0.0103531	0.0266708	0.0551566	0.108521	0.163363	0.209545	0.38597
</S>	0.00937113	0.0048923	0.00573187	0.00579903	0.0106408	0.0242173	0.0469937	0.0955019	0.154233	0.221235	0.421384
