 	tsimba	est	en	train	de	fléchir	une	branche	d'	arbre	pour	fabriquer	un	piège	</S>
a47	0.00242742	0.00169207	0.00255743	0.00352704	0.00496217	0.00659778	0.0135774	0.0305714	0.0495769	0.0690186	0.0800553	0.123922	0.159428	0.203466	0.24862
a96	0.00216803	0.00154729	0.0021368	0.00294453	0.00413683	0.00518895	0.0108526	0.0253396	0.0443083	0.0619246	0.0693815	0.119214	0.16213	0.221993	0.266733
a90	0.0015148	0.000943429	0.00122196	0.00174628	0.00241347	0.00237471	0.00380482	0.00960138	0.0222372	0.0385873	0.048753	0.105479	0.174993	0.269737	0.316593
a98	0.000313098	0.000158974	0.000206417	0.000297896	0.000450832	0.000464403	0.00091982	0.00500251	0.0160521	0.0343328	0.0473329	0.097208	0.184381	0.28522	0.327659
a92	0.000157743	8.71968e-05	0.00010339	0.000146903	0.000248757	0.000316148	0.000816283	0.00531196	0.0167824	0.0331026	0.0397589	0.081328	0.159529	0.265051	0.39726
a12	0.000310098	0.000147618	0.000170852	0.000237723	0.000329598	0.000287825	0.00052101	0.0028196	0.0100127	0.0242082	0.0354448	0.0872547	0.174462	0.283725	0.380068
a96	0.000675028	0.00036698	0.00039801	0.000521425	0.000679354	0.000519952	0.00096524	0.00425782	0.0123585	0.0246559	0.0309859	0.0742555	0.169465	0.285118	0.394777
a75	0.00126979	0.00073109	0.000912665	0.00128265	0.00164803	0.00103214	0.00128507	0.00418273	0.0106568	0.0213522	0.0265951	0.0704098	0.167516	0.2975	0.393625
a92	0.000385766	0.000211905	0.000282969	0.000419958	0.000600078	0.000454896	0.000698438	0.00236455	0.0063215	0.0129284	0.0165755	0.054239	0.153845	0.316215	0.434457
a6	0.000464881	0.000248187	0.000325349	0.000458282	0.00064214	0.000524385	0.000798814	0.00248807	0.00689478	0.0159397	0.0212797	0.063789	0.158822	0.307968	0.419356
a7	0.000372648	0.000195599	0.000241894	0.000326823	0.000399782	0.000246165	0.000379441	0.00157921	0.00597437	0.0163285	0.0232471	0.0658715	0.159804	0.310036	0.414997
a44	0.000705786	0.000398848	0.00037162	0.00045869	0.000528264	0.000201469	0.000220282	0.00136031	0.00428999	0.0135342	0.0231551	0.0716005	0.164256	0.295535	0.423384
a37	0.000478885	0.000299219	0.0003181	0.000383263	0.00042597	0.000159453	0.000198908	0.00132348	0.00463079	0.0134465	0.0227273	0.0702322	0.161107	0.296951	0.427317
a26	0.000418361	0.000270388	0.00036816	0.000513086	0.000649235	0.000265095	0.000384664	0.00224339	0.0062632	0.0176651	0.0276076	0.0732973	0.15989	0.284807	0.425357
a82	0.00559652	0.00300429	0.0023393	0.00269685	0.00218696	0.00125278	0.00207562	0.0187203	0.0382198	0.0656249	0.0800582	0.130123	0.166853	0.222952	0.258296
a87	0.0736802	0.0391911	0.0246583	0.0211253	0.0131162	0.0101678	0.0173051	0.0356358	0.045968	0.0630927	0.0791658	0.110822	0.129175	0.168573	0.168323
a23	0.0987172	0.072789	0.0606592	0.0562178	0.0363167	0.0263685	0.0302389	0.0372721	0.0310717	0.0354103	0.0500241	0.0668654	0.104712	0.140769	0.152568
a99	0.0301025	0.018345	0.0114758	0.00878508	0.00354391	0.00182433	0.00161655	0.00174747	0.00274747	0.00555922	0.0127506	0.0377554	0.138049	0.284463	0.441234
a97	0.0229941	0.0132277	0.00810299	0.0063999	0.00268356	0.00175648	0.00206254	0.00333013	0.00570904	0.0115933	0.0239862	0.0505619	0.140524	0.264885	0.442184
</S>	0.00947349	0.00666482	0.00510576	0.00434255	0.00265307	0.00207851	0.00531004	0.00675545	0.00853623	0.0124989	0.0190371	0.0423819	0.12461	0.261379	0.489174
