 	on	m'	a	informé	qu'	ils	ont	abattu	un	hippopotame	à	otsegne	</S>
a44	0.00340114	0.0036617	0.00523812	0.0120191	0.0207216	0.0164477	0.0183231	0.0212119	0.0249241	0.0297746	0.109107	0.235807	0.499363
a70	0.00305996	0.00344968	0.00549721	0.0115322	0.0157841	0.0123822	0.0132001	0.0139752	0.0155778	0.0212416	0.107813	0.244626	0.531861
a83	0.002683	0.00323008	0.00553551	0.009168	0.0104422	0.0101961	0.0104094	0.0103868	0.0108657	0.0150667	0.0811297	0.250426	0.580461
a13	0.00184328	0.00240877	0.0044174	0.00704609	0.00755056	0.00715049	0.00706519	0.00676913	0.00760115	0.0110122	0.0612601	0.222903	0.652972
a30	0.00100971	0.001268	0.00241315	0.00430848	0.0041666	0.00391764	0.00368994	0.00352754	0.00395667	0.00679507	0.0416695	0.20923	0.714047
a13	0.00222036	0.00241912	0.00496954	0.0099947	0.00839577	0.00896015	0.00831388	0.00850732	0.00849738	0.0146468	0.0555388	0.200783	0.666753
a53	0.00162894	0.00188023	0.00384366	0.00713371	0.00567445	0.00590751	0.00531345	0.00563635	0.00610043	0.0117418	0.0522358	0.215457	0.677447
a69	0.00089672	0.000992213	0.00186283	0.00362481	0.00329872	0.00385301	0.00384745	0.00390162	0.00482961	0.0110678	0.0587346	0.230031	0.673059
a44	0.000679447	0.000827357	0.00169946	0.00388885	0.0047183	0.00484066	0.00398612	0.00358928	0.00330995	0.00728444	0.0443559	0.211336	0.709484
a11	0.000571106	0.000666866	0.00151966	0.00342193	0.00378327	0.00471409	0.00408099	0.00346225	0.00332225	0.00744733	0.0397674	0.186709	0.740534
a96	0.00167446	0.00194643	0.00420201	0.00801324	0.00919175	0.012406	0.0104514	0.00901806	0.00758357	0.0119333	0.0430294	0.179491	0.701059
a18	0.00110412	0.00121342	0.00251588	0.00485	0.00457564	0.00612373	0.00589484	0.00612495	0.00627553	0.0109695	0.0482863	0.204219	0.697847
a71	0.00817137	0.00988976	0.0169343	0.0272359	0.019089	0.024406	0.0237748	0.0250431	0.0209017	0.0241048	0.0733082	0.195304	0.531837
a9	0.0191053	0.0217866	0.0324771	0.0490196	0.0378443	0.0418166	0.0338547	0.0277896	0.0209445	0.0221098	0.0677956	0.172559	0.452898
a10	0.0816332	0.0940635	0.118005	0.122835	0.0800803	0.0843596	0.0652531	0.0547778	0.0358394	0.0233717	0.0402846	0.0682337	0.131263
a87	0.0992966	0.108206	0.122118	0.118641	0.0873958	0.0811512	0.0665472	0.0593189	0.0371383	0.02344	0.0300486	0.0562426	0.110456
a23	0.070381	0.0831404	0.109399	0.134153	0.109008	0.103149	0.0822798	0.0703226	0.0525428	0.0340095	0.0413216	0.0452363	0.0650554
a87	0.0932203	0.090212	0.0985358	0.113466	0.0899701	0.0775571	0.0652246	0.0583527	0.0493887	0.0409043	0.0589676	0.0669968	0.0972039
a23	0.0345844	0.0359153	0.048858	0.0803367	0.0955813	0.0723455	0.0651184	0.0732256	0.0534976	0.0500109	0.0694222	0.101603	0.219501
</S>	0.0388081	0.0366338	0.0460756	0.0806532	0.0994943	0.0900533	0.087007	0.100023	0.0800819	0.0666225	0.068514	0.0751809	0.130853
