 	après	la	pluie	l'	eau	de	la	rivière	est	trouble	</S>
a5	0.0022359	0.00212197	0.0037864	0.00536603	0.010494	0.0207765	0.0262396	0.0370244	0.0672276	0.275563	0.549164
a21	0.00442346	0.00412971	0.00591376	0.00714931	0.0121603	0.0231963	0.0294491	0.0515413	0.097534	0.294054	0.470449
a12	0.0024554	0.00226866	0.00305097	0.0038269	0.00631848	0.0120101	0.0167522	0.0406129	0.085443	0.302372	0.52489
a18	0.00301602	0.00288472	0.00406191	0.00474953	0.00743157	0.0121379	0.0151644	0.0316521	0.0694983	0.315657	0.533747
a75	0.00323906	0.0029414	0.00418997	0.00488217	0.00680563	0.010115	0.0117557	0.0190035	0.0375192	0.273953	0.625595
a5	0.00114518	0.0010885	0.00155562	0.00158065	0.00216457	0.00362892	0.00499133	0.0111252	0.0235714	0.198306	0.750843
a21	0.00326494	0.00297992	0.0043442	0.00437724	0.00584395	0.0087465	0.00983117	0.0142104	0.0287778	0.214852	0.702772
a5	0.00493962	0.00452036	0.00668762	0.00683646	0.00877308	0.0120799	0.0127135	0.0146311	0.0268961	0.20167	0.700252
a47	0.00268578	0.00252487	0.0038761	0.00383615	0.0049863	0.00720601	0.00846116	0.0119723	0.0286482	0.21887	0.706933
a61	0.00317269	0.00307222	0.00495389	0.00529775	0.00680155	0.0105613	0.011431	0.0128046	0.0250908	0.19857	0.718244
a43	0.00237425	0.00210299	0.00316711	0.0034925	0.0042413	0.00688107	0.00846767	0.0110682	0.0252552	0.194037	0.738913
a11	0.00455577	0.00372245	0.00481428	0.00599903	0.00654928	0.0108088	0.0149815	0.0188073	0.0454394	0.229203	0.655119
a34	0.0242285	0.019032	0.0212315	0.0257189	0.02717	0.0341414	0.0355143	0.0317728	0.0578389	0.199216	0.524136
a96	0.0025368	0.00228768	0.00300988	0.00364641	0.00443015	0.007737	0.0128308	0.0221103	0.0511789	0.252403	0.637829
a88	0.00312822	0.00257692	0.00332255	0.00430046	0.00491332	0.00866956	0.0124816	0.0168846	0.0403529	0.235089	0.668281
a71	0.00343901	0.00288923	0.00354305	0.00442488	0.00491012	0.00775392	0.0111019	0.0153005	0.0368142	0.23313	0.676694
a9	0.0375517	0.029872	0.0318463	0.0357691	0.0382887	0.0433498	0.0441767	0.0388016	0.0641832	0.181618	0.454543
a99	0.0903893	0.0626807	0.0612155	0.0640221	0.0632318	0.0602569	0.0536966	0.0446628	0.0672631	0.142051	0.290531
a87	0.122907	0.0809353	0.0706172	0.0746827	0.0705059	0.0667985	0.0621214	0.0580334	0.0754029	0.120667	0.197328
a23	0.161988	0.100366	0.0886548	0.096763	0.101289	0.0873171	0.067756	0.0551138	0.0549574	0.0721571	0.113638
a87	0.136023	0.0904	0.0677369	0.0639864	0.0600374	0.0511569	0.0378478	0.0413018	0.0486799	0.0944176	0.308412
</S>	0.0267394	0.0188699	0.015211	0.0150541	0.015679	0.0180151	0.0150702	0.0272319	0.0489197	0.148324	0.650885
