 	le	ruisseau	vouma	est	devenu	large	et	profond	en	plusieurs	endroits	à	cause	des	barrages	à	nasses	</S>
a36	0.0472655	0.0511561	0.0626225	0.0763037	0.0785513	0.0892642	0.0697922	0.0743659	0.0342366	0.0341675	0.0276458	0.0287763	0.0312614	0.0326042	0.043198	0.0547944	0.0703402	0.0936545
a37	0.0453908	0.0502039	0.0824949	0.109178	0.112578	0.1004	0.051702	0.0590007	0.0298149	0.0269258	0.0270597	0.0326587	0.034116	0.0345751	0.0404305	0.0468334	0.0517475	0.0648899
a66	0.0278693	0.0288279	0.0532605	0.0974592	0.119455	0.116017	0.0715936	0.0795848	0.0447673	0.0346728	0.0329112	0.0370032	0.0349023	0.0323316	0.0360985	0.0435801	0.0492517	0.0604135
a75	0.0145882	0.0145785	0.0268682	0.0650754	0.112664	0.149981	0.112376	0.133204	0.0687689	0.0505693	0.0379894	0.0342932	0.0264101	0.0210324	0.0244305	0.0291661	0.0348459	0.0431587
a85	0.00369944	0.00427051	0.00816847	0.0253443	0.0601396	0.0853458	0.0657135	0.0856115	0.0628855	0.0484467	0.0420152	0.0522948	0.0545467	0.0572035	0.0650937	0.0778769	0.0888259	0.112518
a47	0.00317248	0.00364268	0.00714885	0.0206977	0.047549	0.082888	0.0687118	0.0985143	0.07728	0.0617823	0.0537731	0.0684119	0.0627083	0.0570941	0.0565732	0.0623329	0.072387	0.0953323
a36	0.00367718	0.00396645	0.00835029	0.0263394	0.055034	0.0935766	0.0944608	0.102502	0.0960541	0.0787307	0.0526843	0.0536891	0.0459795	0.0416741	0.0421764	0.0549928	0.0647203	0.0813915
a37	0.00484691	0.00488938	0.00740826	0.0172759	0.0395808	0.116448	0.151124	0.129857	0.111457	0.0909427	0.0412863	0.0342596	0.0236352	0.02044	0.0270835	0.0443615	0.0584031	0.0767012
a70	0.00657573	0.00637633	0.00889667	0.0141337	0.0258928	0.0941275	0.141885	0.133527	0.122195	0.114405	0.0567545	0.0436611	0.0286322	0.0236688	0.0257265	0.0391305	0.0488725	0.0655398
a62	0.00627429	0.00589296	0.0084527	0.0131104	0.0205705	0.0648601	0.106408	0.107339	0.109566	0.106224	0.060275	0.051727	0.0362265	0.0324945	0.0373348	0.0562111	0.0725294	0.104503
a88	0.00387471	0.00376947	0.00535247	0.0096509	0.0171042	0.051854	0.078151	0.115581	0.138777	0.133197	0.0841718	0.0766779	0.0456655	0.0338913	0.0345292	0.0405511	0.0523723	0.0748292
a31	0.00232358	0.00241359	0.00446651	0.00751399	0.012668	0.037387	0.0661682	0.100999	0.133516	0.142566	0.106515	0.102521	0.059844	0.0486983	0.0422786	0.038675	0.040734	0.0507122
a62	0.00158416	0.00160207	0.00250615	0.00524226	0.0133155	0.0362715	0.0584095	0.0830981	0.117612	0.117572	0.101714	0.10514	0.0774627	0.0627708	0.0528358	0.053708	0.0518219	0.0573341
a88	0.00142596	0.00138552	0.00191571	0.00357469	0.00701347	0.0212832	0.0408514	0.0764462	0.109538	0.129036	0.120847	0.112009	0.0688165	0.0586095	0.0608596	0.0570908	0.0603921	0.0689056
a75	0.00131682	0.00130644	0.00204862	0.00360829	0.00656114	0.018899	0.0319308	0.0601765	0.100301	0.122367	0.122146	0.125467	0.0715065	0.0645718	0.0637674	0.0594001	0.0662118	0.0784138
a85	0.000864215	0.000834493	0.00154144	0.00287197	0.00539573	0.00996397	0.0171001	0.0282424	0.055246	0.0683078	0.0670511	0.087534	0.0687499	0.0806915	0.0843326	0.112184	0.137975	0.171114
a47	0.000427491	0.000393067	0.00068883	0.00133193	0.00250622	0.00538426	0.0114193	0.0199197	0.0433376	0.0540959	0.0656632	0.089322	0.0747294	0.0868095	0.0935065	0.1217	0.145575	0.18319
a6	0.000830156	0.000682289	0.000911898	0.00159281	0.00246492	0.00507746	0.00945034	0.0155462	0.0367029	0.0506404	0.0542694	0.0676198	0.0555236	0.0710465	0.103791	0.137275	0.172964	0.213611
a37	0.000622797	0.000534606	0.000703297	0.00121448	0.00195667	0.00419667	0.00817917	0.0135182	0.0283039	0.0404235	0.0427477	0.0541671	0.0501373	0.0699607	0.113414	0.15602	0.188032	0.225867
a66	0.00143057	0.00122231	0.00167107	0.00252413	0.00314808	0.00709089	0.0109959	0.0168009	0.0324022	0.052675	0.0510926	0.0536559	0.036256	0.0505839	0.0919619	0.147158	0.190782	0.248549
a3	0.0103137	0.00774276	0.00844434	0.00901879	0.00900428	0.0212436	0.0274758	0.0322163	0.0479354	0.0706797	0.0631298	0.0672654	0.0471665	0.060386	0.0792626	0.109753	0.143089	0.185872
a87	0.0130499	0.0105972	0.0102685	0.0121873	0.0161823	0.0414048	0.0488882	0.0486113	0.0649562	0.0902398	0.0724298	0.0712403	0.0538577	0.0572936	0.0616436	0.0876086	0.106495	0.133046
a97	0.0186335	0.0121593	0.00918179	0.0107168	0.0128464	0.0411178	0.0616631	0.0577005	0.071695	0.0990208	0.0911587	0.0738811	0.0555592	0.0494048	0.0615626	0.0854443	0.0885301	0.0997241
a87	0.0259416	0.0140509	0.00750702	0.00820791	0.00942786	0.0259479	0.031334	0.0340133	0.0427896	0.0727648	0.0829357	0.0711631	0.0739809	0.0833113	0.102479	0.124637	0.101151	0.0883577
a97	0.044003	0.0227321	0.0124806	0.0136295	0.0125839	0.0325017	0.0315768	0.0288088	0.0325345	0.0601379	0.0719705	0.0633853	0.0729585	0.0796002	0.0967024	0.124845	0.104892	0.0946568
a3	0.0521582	0.0309524	0.017053	0.0152497	0.0112141	0.0278051	0.0270666	0.0277452	0.0312895	0.0579738	0.0707561	0.0604064	0.0707831	0.0824771	0.101777	0.12929	0.100469	0.0855347
a97	0.0498094	0.0319815	0.0198783	0.016841	0.0114072	0.0204656	0.0230232	0.0294836	0.0369351	0.0581048	0.0654764	0.0563569	0.0631619	0.0779778	0.0986699	0.12737	0.110442	0.102615
a87	0.0529747	0.0296328	0.0194072	0.0178989	0.0114914	0.023076	0.025242	0.0298777	0.0331207	0.0538942	0.0687645	0.0614883	0.0648145	0.0745154	0.086788	0.119841	0.112949	0.114224
a23	0.073313	0.0442153	0.0268503	0.0215627	0.0142911	0.0262501	0.0288209	0.0352044	0.0370021	0.0539494	0.0569241	0.0497175	0.0538715	0.0642716	0.0834028	0.110087	0.108776	0.11149
a99	0.0124898	0.00889687	0.0061958	0.0075926	0.00747239	0.0131985	0.0133878	0.0150783	0.0178027	0.0291119	0.03728	0.0408838	0.0501982	0.0686602	0.119234	0.168308	0.183656	0.200554
a97	0.00873415	0.0051546	0.00362655	0.00489527	0.00394275	0.0111248	0.0120064	0.0110806	0.0121384	0.0211702	0.0349151	0.0387358	0.0495919	0.0728167	0.128286	0.179576	0.19234	0.209864
</S>	0.0144671	0.00868706	0.00914286	0.0139702	0.0120221	0.0220449	0.0254157	0.0251786	0.0248082	0.0289978	0.0364349	0.0380254	0.0396268	0.0480935	0.0775896	0.130312	0.18186	0.263323
