 	il	est	devenu	la	risée	de	tout	le	monde	à	cause	de	sa	bave	</S>
a62	0.0075344	0.00685115	0.00948483	0.0170774	0.0531635	0.0665135	0.102389	0.125904	0.124008	0.139306	0.133785	0.084126	0.0446305	0.0381582	0.047069
a88	0.00620328	0.00579523	0.00796417	0.0127878	0.0428348	0.0581905	0.0971326	0.12434	0.122145	0.144464	0.14575	0.0981802	0.0538126	0.0396119	0.0407888
a98	0.00670684	0.00621055	0.00795411	0.0123667	0.0333221	0.048341	0.0914236	0.126165	0.128644	0.153416	0.147635	0.0953734	0.0493962	0.0397583	0.0532865
a85	0.00911038	0.00790474	0.00922251	0.0115076	0.0225871	0.0395007	0.0651292	0.0784733	0.0918831	0.115591	0.119873	0.0957015	0.081369	0.0881485	0.163998
a6	0.00644148	0.00520809	0.00557885	0.00652782	0.0169442	0.0366482	0.0753931	0.0948356	0.125466	0.143946	0.118808	0.0795397	0.0501831	0.0438586	0.190621
a36	0.0055092	0.00447671	0.00495269	0.00605881	0.0140091	0.0249305	0.0540673	0.0719533	0.100082	0.123133	0.107848	0.0845496	0.0691947	0.0838703	0.245365
a0	0.00647057	0.0051658	0.0053734	0.00627611	0.0127202	0.0197401	0.043974	0.0663138	0.0945251	0.124723	0.110124	0.0831222	0.0649151	0.0752303	0.281326
a56	0.00536893	0.00421805	0.0045581	0.00546344	0.011683	0.0181916	0.041251	0.0642389	0.0885396	0.118805	0.105615	0.0812796	0.0664258	0.0812482	0.303114
a69	0.00382637	0.00316068	0.00389181	0.00503542	0.0114241	0.0165704	0.034667	0.052469	0.0694043	0.0973031	0.100796	0.097417	0.104543	0.11988	0.279612
a58	0.00343512	0.00291517	0.00350868	0.00435689	0.00883648	0.0126427	0.0251732	0.0399083	0.0545644	0.0742178	0.0689816	0.0665797	0.0840613	0.138711	0.412108
a62	0.00928109	0.00782206	0.00787587	0.00907131	0.0134206	0.019582	0.0336588	0.0513201	0.0773567	0.101227	0.0865788	0.0675695	0.0677728	0.0888624	0.358601
a83	0.00387172	0.00325392	0.00412275	0.0049366	0.00938279	0.0137307	0.0236533	0.0352941	0.0457745	0.0614301	0.0626855	0.0649584	0.0895379	0.159109	0.418259
a88	0.00257974	0.00230963	0.00305265	0.00393797	0.00803758	0.01106	0.0191469	0.0287925	0.0378481	0.0525567	0.0559482	0.0583827	0.079752	0.161731	0.474864
a24	0.00163432	0.00142198	0.00188652	0.00241625	0.00468013	0.006919	0.0119586	0.0180185	0.0225727	0.0308798	0.0342681	0.0376049	0.0541418	0.134869	0.636729
a31	0.00147139	0.00133646	0.00175503	0.00230389	0.0044424	0.00598477	0.010443	0.0162505	0.0192619	0.0273694	0.0302422	0.032246	0.0469346	0.147435	0.652523
a62	0.000991258	0.000946726	0.00131491	0.00195072	0.00415424	0.00514572	0.00915064	0.015031	0.0182842	0.0261165	0.0303212	0.0321266	0.0467073	0.153029	0.65473
a88	0.00112324	0.000992078	0.00132939	0.00173525	0.00370891	0.00483257	0.00825066	0.012535	0.0155855	0.0212318	0.0245978	0.0284416	0.0433276	0.132305	0.700004
a24	0.000786575	0.000735826	0.000999261	0.00135832	0.00279937	0.00365005	0.00592973	0.00892394	0.010559	0.0137694	0.0150281	0.0172393	0.0314427	0.142802	0.743977
a62	0.000475024	0.000457714	0.000617865	0.00084519	0.00187976	0.00240121	0.00415222	0.00656566	0.00866304	0.0119437	0.0142043	0.0175389	0.0355518	0.163258	0.731445
a96	0.000792868	0.000725331	0.000959085	0.00122326	0.0027072	0.00359468	0.00661924	0.0106512	0.0134181	0.0189766	0.0238015	0.0277455	0.0419586	0.139534	0.707293
a34	0.000638023	0.000619205	0.000874625	0.00117618	0.00243503	0.00306221	0.00484867	0.0073558	0.00926177	0.0121717	0.0144029	0.0178648	0.0341617	0.148602	0.742525
a90	0.000486331	0.000441637	0.000600896	0.000781844	0.00197843	0.00260559	0.00443371	0.0065722	0.008307	0.0107513	0.0129564	0.0166677	0.0329017	0.122479	0.778036
a94	0.000297669	0.000263827	0.000360874	0.000471725	0.00133445	0.00167311	0.00291573	0.00451952	0.00600081	0.00774539	0.00971914	0.0131209	0.0284567	0.11118	0.81194
a71	0.000258627	0.000225873	0.000267724	0.000326248	0.000886985	0.00152592	0.00276444	0.00416467	0.00533367	0.00669564	0.00810156	0.0102207	0.0215498	0.137161	0.800517
a82	0.00496782	0.00419912	0.00461477	0.00525075	0.00989586	0.0203604	0.0332418	0.0385064	0.0437075	0.0512619	0.0416288	0.04587	0.0960744	0.205094	0.395327
a97	0.0524661	0.0353305	0.0331911	0.0335741	0.0317528	0.0475494	0.0601406	0.0613203	0.0620814	0.0693518	0.0589472	0.0656745	0.107018	0.118111	0.163492
a87	0.0425814	0.0330937	0.0314315	0.0315495	0.0298486	0.0537872	0.0782111	0.0806481	0.0842125	0.102025	0.106935	0.0986668	0.097895	0.0646069	0.0645077
a23	0.0308736	0.0249767	0.0224584	0.0239074	0.0262239	0.0530463	0.0899122	0.101956	0.1137	0.130024	0.125492	0.0972676	0.074204	0.0442908	0.0416668
a97	0.0324937	0.0189112	0.0113041	0.00846846	0.00929318	0.018402	0.0331364	0.0369183	0.044908	0.0452631	0.0502502	0.0533106	0.0604019	0.140281	0.436657
</S>	0.0126307	0.00769335	0.00674795	0.0087279	0.0129381	0.0248423	0.0344719	0.0359417	0.0337639	0.0333944	0.0312356	0.0274647	0.029892	0.107532	0.592723
