 	il	a	trouvé	une	astuce	pour	faire	faire	son	travail	par	son	frère	</S>
a41	0.03078	0.0282566	0.0378423	0.0406248	0.0516498	0.107265	0.165362	0.171898	0.13783	0.0797239	0.0434273	0.0304074	0.0328519	0.0420801
a61	0.0284908	0.0274777	0.0355341	0.0376382	0.0479033	0.101219	0.153997	0.164352	0.132724	0.0797353	0.0492223	0.0391062	0.0440157	0.0585839
a24	0.0225637	0.0216399	0.0288656	0.0307334	0.0400187	0.0743865	0.137364	0.167206	0.158652	0.100876	0.0643542	0.046922	0.0471245	0.0592938
a61	0.0198886	0.01888	0.0241955	0.0229452	0.0280624	0.0475979	0.0956548	0.130819	0.152459	0.112607	0.0943485	0.0827999	0.0803027	0.0894394
a31	0.0390009	0.0362523	0.0427904	0.0369927	0.03924	0.0612755	0.110408	0.148697	0.160339	0.10575	0.0775103	0.0560202	0.0434402	0.0422839
a32	0.0333099	0.0318344	0.0390885	0.034153	0.0372592	0.055545	0.0980562	0.132691	0.155354	0.113824	0.0916111	0.0712142	0.0548201	0.0512396
a25	0.0364482	0.0355114	0.0447796	0.0395396	0.0414685	0.0546985	0.0849322	0.105602	0.135745	0.112339	0.0974396	0.0786258	0.065374	0.0674968
a38	0.0171853	0.0180196	0.0255357	0.0260944	0.0382058	0.060203	0.0875577	0.0956523	0.146045	0.122284	0.110063	0.0862526	0.0750149	0.0918859
a41	0.0141012	0.0146638	0.021495	0.0207884	0.029214	0.0468477	0.0680727	0.0728149	0.11417	0.108199	0.11923	0.117392	0.113715	0.139296
a24	0.0109795	0.0118995	0.0167859	0.0158956	0.0207277	0.0363073	0.0469681	0.0589525	0.097724	0.10484	0.121715	0.136146	0.150867	0.170191
a31	0.00637881	0.00636741	0.00833553	0.00721533	0.00874151	0.0156911	0.0261902	0.0315826	0.0606311	0.0796476	0.129316	0.181123	0.205208	0.233572
a43	0.00907344	0.00957903	0.0132931	0.0117728	0.0144002	0.0234651	0.0341535	0.0378966	0.0623972	0.0764744	0.12056	0.165562	0.191461	0.229912
a75	0.0120535	0.0122985	0.0179678	0.0167337	0.0211358	0.0321193	0.0511313	0.0544776	0.0757369	0.0753563	0.110074	0.150586	0.170944	0.199386
a41	0.0156821	0.0147401	0.0185964	0.0172147	0.0212228	0.0317251	0.0425686	0.040445	0.050107	0.0497642	0.0765022	0.12179	0.194064	0.305578
a98	0.0103317	0.00988918	0.0119491	0.010694	0.0123951	0.0197595	0.0278488	0.0282203	0.038869	0.0475901	0.0851188	0.149045	0.224465	0.323824
a41	0.0132243	0.0124001	0.0136228	0.0126917	0.0152882	0.0247267	0.0314155	0.0309625	0.0430673	0.0536094	0.0847929	0.138482	0.217096	0.30862
a98	0.0123543	0.0122542	0.0149407	0.014089	0.019012	0.0327332	0.0377835	0.0363229	0.0530369	0.0652249	0.100546	0.140971	0.196362	0.264369
a73	0.0133242	0.0128664	0.0147324	0.0142512	0.0185521	0.0296859	0.0340644	0.0332361	0.0479748	0.0582624	0.0945889	0.144321	0.210308	0.273832
a76	0.00993814	0.0103398	0.0139764	0.0138916	0.0198048	0.0328917	0.0381638	0.0352512	0.0477239	0.0502759	0.0781748	0.127693	0.215134	0.306741
a41	0.014939	0.0146748	0.0200294	0.0193772	0.0258319	0.0421963	0.0449492	0.0406063	0.0557656	0.0586575	0.0871713	0.136829	0.195803	0.24317
a35	0.0100306	0.01012	0.0143755	0.0148694	0.0199625	0.0338735	0.039937	0.038409	0.0512712	0.0533412	0.0805029	0.130338	0.209194	0.293776
a56	0.00924197	0.00937565	0.0136702	0.0136049	0.0185354	0.032374	0.0375431	0.0351606	0.0461366	0.0460356	0.0651979	0.117082	0.220529	0.335513
a98	0.0102446	0.00993429	0.0132074	0.0127844	0.0157722	0.0238478	0.031246	0.0312896	0.0415356	0.0422928	0.0638297	0.120222	0.221568	0.362226
a38	0.0076953	0.00667703	0.00829783	0.00805055	0.00986096	0.0158026	0.0222083	0.0239617	0.0319738	0.034891	0.0555229	0.123353	0.256	0.395704
a0	0.00640929	0.00525496	0.00655657	0.00585843	0.00821309	0.0155007	0.0258191	0.0286486	0.0410271	0.0410131	0.0571069	0.11906	0.247726	0.391806
a31	0.00587679	0.00455597	0.00523998	0.00425244	0.00560859	0.0101143	0.0133401	0.0141773	0.0208767	0.0242225	0.0421896	0.108899	0.267882	0.472765
a98	0.0104678	0.00932555	0.0109681	0.00938767	0.0114868	0.0156026	0.0172132	0.0169629	0.0230832	0.026637	0.0444941	0.100516	0.241646	0.46221
a9	0.00532345	0.00436772	0.00533557	0.00449315	0.0057522	0.00947569	0.0120515	0.0124367	0.0172364	0.0194991	0.034522	0.0986969	0.274723	0.496087
a87	0.00258013	0.00236785	0.00256657	0.0018879	0.00257785	0.00537511	0.00605862	0.00565003	0.0108289	0.0166066	0.0342231	0.107537	0.284687	0.517054
</S>	0.00384475	0.00301844	0.00260801	0.0015518	0.00139953	0.003163	0.00312201	0.00306137	0.0060827	0.0148016	0.041953	0.134251	0.300554	0.480589
