 	les	femmes	sont	en	train	de	couper	les	arbres	de	la	savane	comme	bois	de	chauffe	</S>
a56	0.00210904	0.00347729	0.00420189	0.00525177	0.00590368	0.00679064	0.00870935	0.012539	0.0167499	0.0219845	0.0167358	0.022566	0.0576012	0.0993066	0.174701	0.222909	0.318463
a98	0.00119407	0.00205674	0.00259618	0.00348484	0.00411243	0.00508143	0.00672356	0.0093732	0.0118543	0.0157819	0.0125924	0.0200514	0.0572346	0.106808	0.182688	0.236232	0.322135
a79	0.00037847	0.000742244	0.000872837	0.00151607	0.00169114	0.00231928	0.00301526	0.00491123	0.00762046	0.0125616	0.00961785	0.0169507	0.0567772	0.101301	0.174081	0.217591	0.388053
a7	0.000271034	0.000534334	0.000583055	0.0010293	0.0011891	0.00174964	0.00228405	0.0037747	0.00605394	0.0104482	0.00844521	0.0165336	0.0598908	0.104658	0.176496	0.218905	0.387154
a93	0.000698305	0.000987558	0.000935086	0.00152596	0.00188034	0.00267111	0.00283619	0.00429259	0.0071136	0.0110979	0.0103943	0.0178616	0.063785	0.106412	0.165771	0.201437	0.400301
a70	0.000710511	0.00111694	0.0010964	0.00171795	0.00177364	0.00250988	0.00279289	0.00376094	0.00609078	0.0104448	0.00995173	0.0215286	0.075797	0.126991	0.183684	0.206856	0.343176
a13	0.000782813	0.00125657	0.00127387	0.00170269	0.00189371	0.00280855	0.00297082	0.00448317	0.00672072	0.00992252	0.00900107	0.0136819	0.0473161	0.0936596	0.172199	0.227151	0.403175
a9	0.00225006	0.00346989	0.00329501	0.00446875	0.00561503	0.00885804	0.00941162	0.0150876	0.021105	0.0294299	0.0284404	0.0379863	0.0853743	0.114063	0.159068	0.16871	0.303367
a99	0.037194	0.0332956	0.0240933	0.0240944	0.0325066	0.0319281	0.0333193	0.0538843	0.0840425	0.103	0.106071	0.0909327	0.0743353	0.0618918	0.0575053	0.0565038	0.0954017
a97	0.0827811	0.0478139	0.0319712	0.029794	0.0396616	0.046669	0.0363891	0.0425114	0.0614864	0.074872	0.0831723	0.0589196	0.0557299	0.0478865	0.066109	0.0725769	0.121656
a87	0.0715558	0.039882	0.0244088	0.023674	0.0297647	0.0358614	0.0275977	0.034424	0.0541274	0.0748272	0.0871906	0.0692502	0.0630657	0.0592953	0.075901	0.0862105	0.142964
a23	0.0365845	0.0213918	0.0132884	0.0145774	0.0204734	0.0273867	0.0273305	0.0378285	0.0592051	0.0902919	0.107443	0.0977784	0.075477	0.0671316	0.076926	0.093552	0.133334
a99	0.014721	0.00903531	0.00433864	0.00411979	0.00440028	0.00462409	0.00444988	0.00668868	0.00917725	0.014449	0.0196944	0.0317758	0.0467152	0.087366	0.163315	0.242015	0.333114
a97	0.0112905	0.00916416	0.0044316	0.00533472	0.00645946	0.00836636	0.00723978	0.0090874	0.0122842	0.0178522	0.0219557	0.029077	0.0387578	0.0695636	0.147661	0.246352	0.355123
</S>	0.00678397	0.00617769	0.00292892	0.0038753	0.0043582	0.00561317	0.00422058	0.00530646	0.00794274	0.0117701	0.0143609	0.0218968	0.0345252	0.064126	0.152817	0.264941	0.388356
