 	tous	le	village	ne	lui	adresse	plus	la	parole	parce	qu'	on	l'	a	surpris	en	plein	vol	</S>
a36	0.00257531	0.0025184	0.00278913	0.00356337	0.00531132	0.0076412	0.0110964	0.0142321	0.0207016	0.0266406	0.0299239	0.0345062	0.0305166	0.0310513	0.0382604	0.0867307	0.159867	0.24194	0.250135
a37	0.0031176	0.00303102	0.00315604	0.00340628	0.0044096	0.0060688	0.00812978	0.0111184	0.0144071	0.0195191	0.0233873	0.0287322	0.029379	0.0320404	0.0393299	0.0834021	0.151685	0.255061	0.28062
a96	0.00301465	0.00292222	0.00301249	0.00251874	0.00294301	0.0041395	0.00415708	0.00607127	0.0079695	0.0118732	0.0169228	0.0221608	0.0228539	0.0247464	0.0291594	0.069308	0.14652	0.276423	0.343284
a93	0.00289567	0.00317283	0.00336768	0.00282779	0.00324465	0.00430789	0.00390916	0.00608926	0.00851284	0.013723	0.0206453	0.0270681	0.0285412	0.0310287	0.0373192	0.0786341	0.145015	0.253248	0.32645
a94	0.00252749	0.00285715	0.00313845	0.00270304	0.00323459	0.00433627	0.00367006	0.00572751	0.00747952	0.0110119	0.0175958	0.0235832	0.0244857	0.0263746	0.0306043	0.0724136	0.145695	0.264277	0.348284
a88	0.00152363	0.00176278	0.00217773	0.00182387	0.00237588	0.0032593	0.00220359	0.00318494	0.00385338	0.00486262	0.00780293	0.0107365	0.0105161	0.0107711	0.0120526	0.0385645	0.112693	0.292526	0.477309
a62	0.00136086	0.00161879	0.00212247	0.00186826	0.00266918	0.00359735	0.0022837	0.00380396	0.00482075	0.00584286	0.00867791	0.0115535	0.0112521	0.0111247	0.0120078	0.037373	0.110553	0.280645	0.486825
a96	0.000662243	0.000857915	0.00118482	0.00112733	0.00166255	0.00244496	0.00156206	0.00298076	0.00412469	0.00567647	0.00902948	0.0121909	0.011395	0.0108688	0.0115743	0.0344819	0.103201	0.275538	0.509436
a94	0.00081337	0.00106189	0.0015124	0.00153622	0.00244338	0.00373073	0.00238855	0.00495964	0.00656099	0.00797816	0.0114609	0.0148165	0.0140481	0.013184	0.013655	0.0404874	0.11089	0.265384	0.483089
a26	0.00104308	0.0012953	0.00173823	0.00158182	0.00249418	0.00345529	0.0022001	0.00432815	0.00597035	0.00746771	0.0112244	0.0151336	0.0145071	0.0136752	0.0137932	0.0401878	0.112293	0.265819	0.481793
a82	0.0138861	0.0151639	0.0173471	0.0123726	0.0174426	0.0197609	0.0136475	0.0170235	0.0186198	0.019474	0.0235256	0.0304514	0.0293647	0.0250662	0.0243859	0.0486523	0.111492	0.206008	0.336316
a87	0.0673056	0.0550903	0.0610075	0.0413164	0.0461272	0.0437658	0.0354648	0.0334527	0.033329	0.0324591	0.033841	0.0392294	0.0371057	0.0331862	0.0331857	0.0467024	0.0774457	0.106615	0.143371
a23	0.0866515	0.0567744	0.0504289	0.0405715	0.0397206	0.0313827	0.0371921	0.0329626	0.0391259	0.0428096	0.0421543	0.0448477	0.0415813	0.0387917	0.0389982	0.0481098	0.076947	0.0999826	0.110967
a99	0.0448797	0.0295857	0.023483	0.0131699	0.00996584	0.0103071	0.00573693	0.00515717	0.0059574	0.0072134	0.0088714	0.0112591	0.0129492	0.0166892	0.026491	0.0559817	0.135152	0.266405	0.310745
</S>	0.0343676	0.023181	0.0189503	0.010465	0.0083578	0.00948425	0.00702098	0.00709284	0.00945514	0.0138336	0.0174872	0.0209083	0.0223472	0.025625	0.0342657	0.059263	0.119939	0.251043	0.306913
