 	nous	n'	avons	pas	cette	race	de	poule	ici	</S>
a56	0.0419816	0.0678399	0.0929943	0.132709	0.123681	0.122913	0.100717	0.09453	0.105227	0.117408
a21	0.0276542	0.0429374	0.0617771	0.117073	0.11202	0.121038	0.108185	0.114442	0.136269	0.158605
a75	0.029091	0.0367408	0.0525494	0.0881565	0.0762708	0.0697743	0.0923613	0.124921	0.18478	0.245355
a85	0.00822397	0.0105159	0.0150255	0.0304925	0.0262069	0.0336037	0.0724913	0.126509	0.259314	0.417618
a6	0.00799846	0.0113462	0.0174679	0.0322739	0.0283463	0.0329914	0.0598103	0.11786	0.240831	0.451075
a0	0.00307823	0.00406797	0.0054021	0.0131943	0.0149408	0.0431287	0.0978076	0.168319	0.270395	0.379667
a75	0.00181486	0.00185707	0.00180011	0.00538515	0.00770103	0.0290655	0.097271	0.195596	0.283874	0.375635
a61	0.00117484	0.0012563	0.00132076	0.00372401	0.00514214	0.0224513	0.0846387	0.170429	0.290659	0.419203
a43	0.00168546	0.00169916	0.00169199	0.00341604	0.0047154	0.0200168	0.0909293	0.187025	0.28908	0.399741
a11	0.000307708	0.000297488	0.000259988	0.000606788	0.000955434	0.005715	0.0410091	0.110886	0.262904	0.577059
a90	0.000409534	0.000434757	0.000362954	0.000953965	0.00201094	0.0080081	0.0397407	0.105241	0.276655	0.566183
a70	0.000166869	0.000166429	0.000163139	0.000470834	0.0008207	0.0039014	0.0256613	0.0780674	0.260033	0.630548
a98	8.95246e-05	8.98845e-05	6.82387e-05	0.000176286	0.00034301	0.00223632	0.0203631	0.0757212	0.269506	0.631407
a79	0.000134716	0.000130142	9.70565e-05	0.000186866	0.000353966	0.00193157	0.0159211	0.0568703	0.228142	0.696232
a7	7.29008e-05	6.40673e-05	4.89272e-05	8.38718e-05	0.000144258	0.000919897	0.0107617	0.0468206	0.218326	0.722757
a36	0.000103493	9.13765e-05	6.40261e-05	0.000135108	0.000243047	0.00132624	0.012393	0.0455834	0.213817	0.726243
a6	0.00236936	0.00171084	0.000889111	0.0019367	0.00364632	0.00785842	0.0353149	0.102317	0.257244	0.586713
a36	9.76488e-05	8.58252e-05	5.81019e-05	0.000120726	0.000227767	0.000868567	0.00658878	0.0312529	0.18453	0.77617
a2	0.000681381	0.000496379	0.000266147	0.000532616	0.0010853	0.00372112	0.0199598	0.0728362	0.251787	0.648634
a57	0.0208802	0.0126672	0.00757442	0.009983	0.0139616	0.0260444	0.0583903	0.131617	0.254774	0.464107
a99	0.0971079	0.062191	0.0498902	0.0455979	0.045983	0.0415331	0.0539171	0.0983065	0.182083	0.32339
a97	0.0987346	0.058586	0.0431478	0.0404896	0.0406661	0.0389173	0.0602511	0.108939	0.195961	0.314307
a99	0.0533247	0.0378632	0.0314515	0.0367696	0.0462307	0.0690487	0.0830893	0.122962	0.217723	0.301537
a97	0.0474889	0.0339716	0.0255358	0.0313786	0.0371805	0.053116	0.0656234	0.0987654	0.203558	0.403382
a3	0.0344626	0.0288948	0.0310168	0.0479939	0.0527859	0.0773551	0.0718652	0.09886	0.188106	0.36866
a97	0.04221	0.043736	0.0537203	0.0684195	0.0736538	0.107663	0.0843269	0.0906904	0.149097	0.286483
a99	0.0450502	0.0537992	0.072657	0.0807565	0.0867437	0.118882	0.0801074	0.0916947	0.137814	0.232495
a97	0.0199575	0.0158945	0.0138824	0.0191855	0.0213017	0.0307706	0.0512556	0.0873828	0.203311	0.537059
</S>	0.0319119	0.0339671	0.0421273	0.0431932	0.0418805	0.0493827	0.0576869	0.0872978	0.183846	0.428707
