 	les	poissons	qui	entrent	dans	le	tuyau	embí	finissent	dans	la	nasse	</S>
a61	0.0665454	0.0957696	0.152367	0.136744	0.136882	0.131636	0.105723	0.0765611	0.030683	0.0183653	0.0146763	0.0155824	0.0184647
a21	0.0509345	0.0825828	0.138501	0.158415	0.158178	0.139201	0.104579	0.077495	0.0290775	0.0161777	0.0134698	0.0145167	0.0168721
a47	0.0833192	0.10649	0.14334	0.14706	0.121761	0.127107	0.0998027	0.072621	0.035754	0.0221697	0.0144205	0.0122614	0.0138942
a96	0.0418288	0.0552412	0.0922535	0.151022	0.139749	0.14066	0.130753	0.106827	0.0482711	0.0301076	0.0208335	0.019972	0.0224819
a66	0.0328919	0.0457549	0.0757621	0.157676	0.16292	0.151844	0.130788	0.108678	0.052326	0.0274037	0.0177818	0.01699	0.0191846
a38	0.0137484	0.0226779	0.0387927	0.150915	0.207024	0.167302	0.131234	0.0981371	0.0506159	0.0289756	0.0256716	0.0294012	0.0355052
a31	0.0111814	0.0174787	0.0281792	0.119239	0.191309	0.16265	0.135579	0.108569	0.0670635	0.0408632	0.0347152	0.0376348	0.0455376
a24	0.0173079	0.0247211	0.0399055	0.107609	0.142356	0.13361	0.139349	0.131061	0.0886911	0.0601887	0.0393026	0.0356086	0.0402891
a9	0.0115928	0.0168507	0.0272861	0.0921686	0.140278	0.135194	0.14405	0.135185	0.0946057	0.0658279	0.0408901	0.0441655	0.0519059
a10	0.00483742	0.00786963	0.0135752	0.0633126	0.130911	0.13987	0.162079	0.125484	0.0841536	0.0729258	0.0550577	0.0676065	0.0723178
a99	0.00471697	0.00785919	0.0158624	0.0578004	0.118367	0.123422	0.182987	0.109966	0.0781304	0.0850519	0.0626339	0.076634	0.0765685
a54	0.00587656	0.00743066	0.012548	0.036465	0.0783403	0.0959254	0.146769	0.0876348	0.0866753	0.119485	0.0858693	0.114088	0.122893
a47	0.0022274	0.0028138	0.0047863	0.0144108	0.030443	0.0321684	0.0416098	0.0286478	0.0377134	0.0512694	0.117029	0.26491	0.371971
a37	0.00284191	0.00460911	0.00922662	0.0340181	0.0587937	0.0609636	0.0761293	0.0570858	0.068062	0.0747415	0.103832	0.194228	0.255469
a26	0.00517655	0.00796742	0.0150831	0.0528584	0.0791186	0.0864348	0.0986477	0.0808151	0.082753	0.0849678	0.0926313	0.147635	0.165911
a34	0.00202958	0.00328336	0.00560176	0.0222929	0.0427099	0.0567364	0.0856262	0.0666899	0.104022	0.158574	0.156679	0.162069	0.133685
a96	0.00493583	0.00772276	0.0141658	0.0452257	0.059978	0.0634214	0.0770311	0.0809379	0.0912178	0.112404	0.12184	0.165482	0.155638
a0	0.00534641	0.00863821	0.0147361	0.0414543	0.0583406	0.0548582	0.0693028	0.0752791	0.0844959	0.10536	0.12552	0.178685	0.177983
a90	0.00147377	0.00270632	0.00528111	0.0189114	0.0286589	0.0287533	0.0436348	0.0461653	0.0704182	0.115059	0.170852	0.252454	0.215631
a25	0.00151308	0.00247895	0.00445354	0.0184027	0.0390736	0.0308246	0.0396827	0.046527	0.065111	0.0976257	0.158669	0.238749	0.256889
a56	0.00143402	0.00242967	0.00455927	0.0203103	0.04018	0.0308413	0.0420849	0.0522036	0.0684086	0.0899168	0.151012	0.231372	0.265247
a43	0.00101666	0.00188593	0.00366892	0.0152078	0.031271	0.0276167	0.0392956	0.0550982	0.0706258	0.0999439	0.153659	0.232482	0.268229
a11	0.000555162	0.000942101	0.001788	0.00661614	0.0131244	0.0124631	0.0219639	0.0280193	0.0497753	0.0927091	0.156417	0.275346	0.340281
a70	0.000365506	0.000615271	0.00114	0.00498272	0.0108524	0.0104891	0.0187827	0.0223842	0.0402183	0.0831653	0.149215	0.298797	0.358994
a83	0.000521277	0.000915907	0.00162715	0.00543494	0.0116623	0.0116943	0.0191565	0.0226235	0.0405933	0.0840535	0.149462	0.298765	0.35349
a50	0.000285186	0.000447141	0.00078814	0.00295787	0.00654073	0.00718958	0.0154003	0.0165767	0.0428762	0.0935714	0.171834	0.295631	0.345902
a62	0.000539284	0.00071362	0.00108151	0.00301952	0.00636821	0.00736365	0.0187918	0.0195487	0.0506327	0.0968369	0.159382	0.265547	0.370175
a21	0.000425392	0.000611458	0.000997777	0.00304778	0.00629569	0.0082527	0.0209848	0.0199969	0.0578397	0.106647	0.172277	0.258793	0.343831
a41	0.00040605	0.000577484	0.000900363	0.00268732	0.00614664	0.00726214	0.0142221	0.015714	0.0335654	0.069828	0.128934	0.269055	0.450702
a26	0.000191401	0.000243092	0.000369142	0.00112181	0.00299754	0.00389968	0.0088083	0.00885478	0.025207	0.0535229	0.112595	0.271242	0.510948
a9	0.00238345	0.00222719	0.0016951	0.00261082	0.00544959	0.00650917	0.0153342	0.0149554	0.0531742	0.104352	0.1731	0.252675	0.365535
a99	0.00756673	0.00729035	0.00496405	0.00818927	0.0122435	0.0137374	0.0247437	0.0255474	0.0555021	0.114939	0.165476	0.237909	0.321891
a87	0.013068	0.0103461	0.0066868	0.0143954	0.0219077	0.0250402	0.036524	0.0333966	0.059939	0.103195	0.145924	0.229404	0.300174
a97	0.0138605	0.011652	0.00988019	0.0272913	0.0426174	0.0501244	0.072139	0.0491411	0.0679277	0.094934	0.124459	0.18738	0.248593
a87	0.013203	0.0092413	0.00762411	0.0160312	0.0263982	0.0354278	0.0693177	0.0446289	0.0644807	0.0876014	0.120493	0.218489	0.287063
a97	0.00976072	0.010106	0.011131	0.0230144	0.0304901	0.0404511	0.067719	0.0383003	0.0531584	0.0740589	0.109139	0.213014	0.319658
a87	0.0142461	0.0139365	0.0143774	0.0231153	0.0375333	0.0512709	0.0843886	0.0533951	0.0570345	0.0739588	0.105223	0.19571	0.275811
a97	0.0144564	0.0149495	0.0150146	0.024891	0.0322203	0.0402433	0.0605104	0.0382881	0.0475968	0.0650924	0.0970259	0.203075	0.346636
a3	0.0196718	0.0188255	0.0170289	0.0264818	0.0372086	0.0476785	0.0731923	0.0471237	0.0503189	0.0668789	0.0931635	0.186523	0.315905
a30	0.0353235	0.0284628	0.0219496	0.0281204	0.0346182	0.0469303	0.0659462	0.0415397	0.0456312	0.0673518	0.0923806	0.179961	0.311785
a38	0.0314729	0.0242736	0.0182308	0.0248306	0.0385836	0.0500315	0.0776428	0.052542	0.0597187	0.0818828	0.101811	0.173582	0.265397
</S>	0.00793874	0.00622994	0.00522916	0.00819729	0.012528	0.0173032	0.0343819	0.0236089	0.043815	0.067089	0.110816	0.222091	0.440773
