 	ses	copains	se	moquent	de	lui	parce	qu'	il	est	encore	puceau	</S>
a15	0.0015139	0.0030992	0.0220353	0.0487168	0.116183	0.109143	0.102943	0.111959	0.0739233	0.0442961	0.0474594	0.0945002	0.224228
a7	0.0022254	0.00306281	0.0239785	0.0482706	0.129583	0.130869	0.111357	0.11383	0.0697214	0.0407619	0.0405853	0.0819231	0.203832
a84	0.00597924	0.00869536	0.0361365	0.0567873	0.163351	0.156148	0.138387	0.127787	0.0719365	0.0307843	0.023055	0.045975	0.134978
a87	0.012921	0.0164173	0.0490866	0.0672979	0.14266	0.134447	0.118685	0.114418	0.0850976	0.0513858	0.0379659	0.0600144	0.109603
a10	0.0239327	0.0164399	0.0211466	0.0263046	0.0564194	0.0563695	0.061412	0.0849038	0.102803	0.109017	0.111383	0.178233	0.151636
a62	0.037583	0.0170876	0.01432	0.0152696	0.0307197	0.0311655	0.0376574	0.0559265	0.0988677	0.161294	0.175557	0.183949	0.140603
a96	0.00102015	0.000919721	0.0021183	0.00382588	0.0129216	0.0163218	0.0171132	0.0260866	0.0453471	0.120016	0.221111	0.241228	0.29197
a75	0.000540438	0.000818395	0.00230825	0.0054157	0.0146372	0.0177772	0.0206842	0.0278386	0.035676	0.0907025	0.194574	0.287166	0.301861
a92	0.000723387	0.00118678	0.00506777	0.0104378	0.0225791	0.0250457	0.0272333	0.035597	0.033267	0.053872	0.118303	0.232225	0.434462
a98	0.00119523	0.00198892	0.00835309	0.018158	0.0359582	0.0385875	0.0437201	0.0533361	0.0447461	0.0575761	0.115371	0.209626	0.371383
a6	0.00137529	0.00263798	0.013331	0.0238326	0.0555152	0.0502266	0.0412147	0.0409448	0.0330433	0.0406136	0.0861087	0.196847	0.414309
a21	0.000681534	0.0011828	0.00806677	0.0230708	0.0536307	0.0516503	0.0464845	0.049626	0.03687	0.0389716	0.0907473	0.198491	0.400527
a12	0.00115002	0.00145033	0.00530503	0.0162776	0.0382834	0.0434609	0.0487984	0.0554124	0.0385045	0.047434	0.113871	0.22813	0.361922
a31	0.000950638	0.00126884	0.00473922	0.0139333	0.0375361	0.0438671	0.0502653	0.0616695	0.0434665	0.0543257	0.131378	0.235	0.3216
a47	0.000755488	0.00132892	0.00558542	0.0138054	0.0376448	0.0410196	0.046195	0.0549391	0.0370807	0.047352	0.119731	0.23207	0.362493
a88	0.000900265	0.00181217	0.00784755	0.0135346	0.0326474	0.0328224	0.0323562	0.0339333	0.0220434	0.0352342	0.100808	0.217923	0.468137
a71	0.00055156	0.000837245	0.00371505	0.00874995	0.0232337	0.0246296	0.0274015	0.0325904	0.0227199	0.0360781	0.1089	0.249044	0.461549
a9	0.00138913	0.00175219	0.0056217	0.00969243	0.0248618	0.0274021	0.0255631	0.0276709	0.0225304	0.0427288	0.116364	0.207414	0.487009
a87	0.0118042	0.0113397	0.0154085	0.0212719	0.0374899	0.0407596	0.0424967	0.0476992	0.0393319	0.066808	0.121056	0.208552	0.335982
a23	0.032777	0.0178178	0.0234971	0.0258426	0.0430598	0.0500502	0.0603212	0.0783907	0.0990582	0.143245	0.117788	0.13123	0.176922
a99	0.0115011	0.00578503	0.00377118	0.00394891	0.00729571	0.00878725	0.0113066	0.0154383	0.0257907	0.0573602	0.0874398	0.190532	0.571043
a87	0.00374235	0.00334731	0.00371482	0.0049584	0.0102648	0.0109999	0.0120168	0.015054	0.0218666	0.0393129	0.0748338	0.213801	0.586088
a97	0.0101728	0.00607035	0.00667139	0.00877277	0.0175031	0.0162838	0.0169699	0.0200619	0.0277064	0.0340181	0.0515634	0.186335	0.597871
a10	0.0391588	0.0206206	0.0254977	0.0279247	0.0525039	0.0473329	0.0488806	0.0542423	0.0709661	0.0756977	0.0768629	0.146153	0.314158
</S>	0.0304347	0.0144496	0.0190064	0.0202274	0.0344047	0.033758	0.0359113	0.0428528	0.0602669	0.0695693	0.0789453	0.160469	0.399704
