 	les	policiers	étaient	en	train	d'	encercler	le	voleur	derrière	l'	école	</S>
a98	0.0559893	0.0589548	0.147596	0.159716	0.099312	0.0853133	0.0888694	0.056925	0.0416129	0.0380953	0.0492141	0.0591097	0.0592932
a85	0.0250166	0.0282297	0.136237	0.129945	0.0957472	0.0907549	0.103	0.0859077	0.0635508	0.0495411	0.0569673	0.0660567	0.0690457
a6	0.0183616	0.0192733	0.114188	0.111858	0.0891397	0.0899691	0.113616	0.0980791	0.0760536	0.0568963	0.0621248	0.0715599	0.0788804
a36	0.0210262	0.0229974	0.115215	0.123492	0.100854	0.101062	0.097992	0.0896427	0.0656294	0.0540358	0.0576718	0.0695256	0.0808563
a21	0.0195285	0.018148	0.082125	0.0883531	0.078008	0.0833444	0.0903763	0.0930754	0.0786766	0.0681115	0.0789043	0.101426	0.119923
a12	0.0100113	0.00752178	0.0330453	0.04053	0.0420576	0.0503337	0.0583354	0.0889202	0.106436	0.103801	0.12418	0.159066	0.175761
a75	0.00443034	0.00324182	0.0135433	0.0184501	0.0241176	0.0355143	0.0365479	0.0818376	0.127026	0.142348	0.156129	0.178118	0.178696
a47	0.00309051	0.00291406	0.0152887	0.0207006	0.0289762	0.0411935	0.0351285	0.0771863	0.117178	0.141028	0.14926	0.178425	0.189631
a56	0.0025223	0.00207578	0.0108506	0.0132471	0.0202156	0.0326706	0.0301326	0.0640073	0.0915011	0.12242	0.141825	0.197818	0.270714
a93	0.0011831	0.00110074	0.00491018	0.00613824	0.00958295	0.0159911	0.0150941	0.0389268	0.0690127	0.127215	0.16474	0.243969	0.302137
a56	0.000937131	0.000703501	0.00249895	0.00356832	0.00618819	0.0097275	0.00962371	0.0257591	0.04759	0.104197	0.152877	0.263334	0.372995
a93	0.000502533	0.000374014	0.00179376	0.00235794	0.00458347	0.00639748	0.00742969	0.0165305	0.0277993	0.0737203	0.126388	0.262991	0.469132
a90	0.000358039	0.000255518	0.00149113	0.00218476	0.00450101	0.00650839	0.00856931	0.0193728	0.0309029	0.0812327	0.1313	0.25769	0.455633
a92	0.000325496	0.000269477	0.00146663	0.00219601	0.0040219	0.00574883	0.00571688	0.0125901	0.0213944	0.0662774	0.121421	0.262878	0.495694
a37	0.000164507	0.000144478	0.00073376	0.000901351	0.00151095	0.00202428	0.00225053	0.00548399	0.0127678	0.0461818	0.106736	0.27246	0.548641
a26	0.000341058	0.000189248	0.00166254	0.00245567	0.00496727	0.00583534	0.00911156	0.0213762	0.0342186	0.0790465	0.131413	0.260475	0.448908
a90	0.0122951	0.00477476	0.0236966	0.0343723	0.0466902	0.0367188	0.0309059	0.0547871	0.0452982	0.0589053	0.0892904	0.197057	0.365208
a44	0.000369837	0.000164009	0.00181891	0.00298947	0.0062253	0.00655906	0.00848065	0.0190834	0.0318182	0.0645406	0.108099	0.24485	0.505002
a57	0.000515361	0.00020508	0.00218873	0.00309036	0.00587414	0.00630489	0.00922061	0.0204851	0.0277769	0.054541	0.0988441	0.252642	0.518312
a3	0.02326	0.00701648	0.0225766	0.0328787	0.0535375	0.0454537	0.048172	0.0724618	0.064606	0.0781782	0.102887	0.176359	0.272613
a99	0.0678526	0.0174499	0.0168756	0.0203801	0.0345459	0.0399275	0.0664769	0.107267	0.105175	0.112519	0.121272	0.149143	0.141115
a38	0.0156422	0.00758382	0.00405622	0.00459	0.00797559	0.0107592	0.0216605	0.0388661	0.0623143	0.105021	0.166828	0.267839	0.286864
a26	0.00211832	0.000967953	0.000941054	0.00125737	0.0030906	0.00462833	0.0121543	0.0351979	0.0698004	0.115638	0.174766	0.2798	0.29964
</S>	0.00129733	0.000763509	0.000881384	0.00122252	0.00270479	0.00460627	0.0142703	0.0417972	0.0746692	0.10448	0.160487	0.275866	0.316955
