 	la	manière	dont	il	ressemble	à	son	père	est	extraordinaire	</S>
a2	0.00774428	0.00566943	0.00975563	0.019455	0.0184352	0.0260112	0.0375147	0.0644648	0.122596	0.247154	0.441199
a12	0.0394709	0.0328078	0.0378325	0.0408994	0.0353192	0.0368285	0.037392	0.0516731	0.0929049	0.192522	0.402349
a96	0.00845546	0.0064522	0.00807772	0.010947	0.013175	0.0176687	0.0245525	0.0447234	0.126193	0.281546	0.458209
a61	0.00225177	0.00172731	0.00242608	0.00385721	0.00337581	0.00472859	0.00761134	0.0173902	0.0736415	0.327988	0.555002
a12	0.00164304	0.00122817	0.00188083	0.00340142	0.00273788	0.00426092	0.00703841	0.0165467	0.0682378	0.335606	0.557419
a75	0.00141908	0.00108576	0.00175328	0.00315646	0.00249062	0.00372152	0.00583042	0.0132555	0.0585042	0.343779	0.565004
a85	0.000568642	0.000394386	0.000551586	0.000992196	0.000812608	0.0012292	0.0022329	0.00493685	0.027417	0.267849	0.693016
a47	0.000185292	0.000136781	0.000194878	0.000377713	0.000316652	0.000481511	0.000974081	0.00242821	0.0166981	0.220421	0.757785
a7	0.000590182	0.000339434	0.000386248	0.000570514	0.000455138	0.000644944	0.00126368	0.00339436	0.0216871	0.221263	0.749405
a2	0.00137967	0.000730812	0.000729014	0.000779962	0.000635424	0.000764588	0.00108199	0.00257878	0.0161853	0.15999	0.815145
a57	0.0466976	0.0286556	0.0246847	0.0235587	0.0188297	0.0191331	0.0193651	0.0279649	0.0719183	0.220999	0.498193
a87	0.112119	0.0475793	0.0340401	0.0330323	0.0348397	0.0385401	0.0366162	0.0520148	0.0974246	0.188616	0.325178
a23	0.153427	0.0616758	0.0530154	0.0483521	0.0553507	0.0635914	0.0619868	0.0814396	0.136769	0.131272	0.15312
a97	0.0883662	0.0322208	0.0230021	0.0156592	0.0223775	0.0231266	0.0245255	0.0403949	0.0914633	0.153292	0.485572
a99	0.0457934	0.0158024	0.0114026	0.0108926	0.0194454	0.0276009	0.0311064	0.0333113	0.0585817	0.154372	0.591691
a87	0.0482622	0.0232095	0.0186634	0.0164229	0.0289627	0.0382059	0.0377522	0.038968	0.066917	0.147159	0.535477
a23	0.0672143	0.0325063	0.0255109	0.026725	0.0419632	0.0564605	0.0540059	0.0508534	0.0709831	0.122554	0.451223
a99	0.0348948	0.0184094	0.0167486	0.0132928	0.0190569	0.0269778	0.0296308	0.0335484	0.0620826	0.134504	0.610854
a97	0.0400569	0.0224075	0.0242036	0.0245344	0.0349683	0.0523088	0.0523896	0.0589171	0.10552	0.184585	0.400109
</S>	0.0212179	0.00925839	0.00997034	0.0118481	0.0155954	0.0250324	0.0313736	0.0338987	0.060371	0.157948	0.623486
