 	mon	épouse	a	défait	le	noeud	qu'	elle	avait	fait	à	son	pagne	</S>
a58	0.000152393	0.000106366	0.000140006	0.000350584	0.00123986	0.00446345	0.0156291	0.0195242	0.0290102	0.0338125	0.0571406	0.125015	0.233152	0.480264
a54	0.000326424	0.0002489	0.000330729	0.000933077	0.0026785	0.00590531	0.0122533	0.0129931	0.0209764	0.03243	0.0634725	0.160349	0.242696	0.444407
a36	0.000208469	0.000159305	0.000262061	0.000705478	0.00160201	0.00386372	0.0105526	0.0131715	0.0213408	0.0309953	0.0557769	0.139048	0.237831	0.484484
a26	0.000314646	0.000225542	0.00038387	0.00110232	0.00253411	0.005411	0.0107493	0.0123448	0.019576	0.0320375	0.0592401	0.144527	0.239342	0.472211
a27	0.0030905	0.0030116	0.00430149	0.00929192	0.016832	0.0302815	0.0458221	0.0522118	0.072018	0.0874729	0.117014	0.170655	0.162535	0.225461
a30	0.0191932	0.0157402	0.0164442	0.0276948	0.0385347	0.0652708	0.0801947	0.0871076	0.0926916	0.0827558	0.0874407	0.10927	0.109716	0.167946
a57	0.0586041	0.0334285	0.0239576	0.0258734	0.0267386	0.0438271	0.0578232	0.0673993	0.0768995	0.0817214	0.0888566	0.107699	0.120357	0.186815
a87	0.0839354	0.0476576	0.0252358	0.0191935	0.0156368	0.0237314	0.0377636	0.0545261	0.0699715	0.0808552	0.0922381	0.116393	0.13098	0.201882
a97	0.0795219	0.0567834	0.0331349	0.0266039	0.0185742	0.0187933	0.0317313	0.0542947	0.0758021	0.0835044	0.0976083	0.120564	0.130835	0.172249
a99	0.0465619	0.029944	0.0178205	0.0161008	0.0141735	0.0220667	0.0495275	0.080157	0.101626	0.107188	0.111674	0.111442	0.118892	0.172827
a97	0.032788	0.0189822	0.0122433	0.0145241	0.0147245	0.0239447	0.055204	0.0883113	0.106526	0.107042	0.111811	0.113764	0.127962	0.172173
a87	0.0110317	0.00753223	0.00698992	0.00863137	0.00866845	0.0234497	0.0653568	0.0957068	0.10968	0.111848	0.113513	0.116457	0.127834	0.193301
a23	0.00861287	0.00659452	0.0072761	0.00897854	0.00849172	0.024648	0.0686676	0.0986126	0.107423	0.106412	0.111188	0.118493	0.132687	0.191916
a99	0.0111303	0.00873094	0.00896507	0.00925487	0.00818823	0.017442	0.0530823	0.0933563	0.104782	0.0994044	0.110219	0.123492	0.150931	0.20102
a87	0.0138009	0.0103177	0.0096135	0.00981547	0.00924847	0.0186894	0.0489042	0.0892519	0.104662	0.108194	0.117813	0.1259	0.146277	0.187512
a30	0.0140996	0.0100122	0.00809787	0.00786098	0.00876821	0.0226474	0.0549721	0.0839051	0.0934186	0.0996386	0.112377	0.127305	0.155573	0.201324
</S>	0.0160868	0.01017	0.00931621	0.00995997	0.0127144	0.0280601	0.0526808	0.0866102	0.0903884	0.0950593	0.110088	0.126371	0.161165	0.19133
