 	sa	manière	de	contrôler	là	laissera	passer	plusieurs	tricheurs	</S>
a97	0.0178041	0.0154007	0.018967	0.0442945	0.102457	0.242931	0.157215	0.138066	0.121238	0.141626
a87	0.0538439	0.0327109	0.0306116	0.0684523	0.0978938	0.165264	0.148347	0.146109	0.126673	0.130095
a23	0.0881843	0.0461233	0.0320499	0.0609636	0.0701149	0.093941	0.188424	0.188044	0.132489	0.0996651
a99	0.0228039	0.0152189	0.0133515	0.0263163	0.039826	0.0841193	0.216067	0.227035	0.185835	0.169427
a83	0.00841209	0.0047197	0.005297	0.0137398	0.0277096	0.0567723	0.208115	0.252079	0.21863	0.204526
a50	0.00301658	0.0015438	0.00230779	0.0112751	0.024246	0.0578935	0.195612	0.240938	0.212269	0.250898
a88	0.00123938	0.000616463	0.000856017	0.00644875	0.0212516	0.0614878	0.144817	0.213056	0.244354	0.305873
a50	0.000710417	0.000426482	0.00062338	0.00433935	0.0184677	0.0630412	0.157491	0.207633	0.240536	0.306732
a88	0.00154848	0.000922815	0.00116291	0.00622351	0.0284773	0.0899441	0.172292	0.210432	0.230413	0.258585
a24	0.000729355	0.000515053	0.000668344	0.00318397	0.0128807	0.0482633	0.143594	0.191764	0.256758	0.341643
a88	0.00119034	0.000768292	0.00111936	0.00538739	0.0153501	0.0665608	0.133101	0.15998	0.238854	0.377688
a71	0.000898588	0.000639125	0.000911777	0.00402574	0.0111152	0.0492231	0.114619	0.149041	0.243589	0.425937
a53	0.000914126	0.000746	0.00112059	0.00445387	0.0099825	0.0394836	0.104519	0.142694	0.254858	0.441229
a69	0.00024839	0.000169396	0.000266048	0.00128439	0.00396578	0.0207774	0.0920968	0.153311	0.256558	0.471323
a58	0.000147009	0.000107332	0.000205477	0.00113042	0.00518356	0.0244562	0.086489	0.137829	0.250101	0.49435
a84	0.000145404	0.00011085	0.000185805	0.000705715	0.00246497	0.00912101	0.038579	0.0824495	0.256318	0.60992
a82	0.0041934	0.00324748	0.00336836	0.00524574	0.0088234	0.0176942	0.0565282	0.0997529	0.258575	0.542571
a87	0.0351161	0.019801	0.0151223	0.020222	0.0261422	0.0651308	0.103774	0.13403	0.203477	0.377185
a99	0.0758334	0.0486434	0.0433139	0.0640142	0.0887266	0.16942	0.123315	0.113768	0.115531	0.157434
a97	0.0271926	0.0124753	0.0112469	0.02184	0.0512167	0.0991378	0.116881	0.150033	0.225623	0.284353
a87	0.0273628	0.0123476	0.0135501	0.0380725	0.070043	0.108599	0.0978122	0.10859	0.201093	0.32253
a23	0.0358495	0.019139	0.0235469	0.0642525	0.0801724	0.118893	0.109813	0.112114	0.170172	0.266048
a87	0.0150861	0.00738297	0.00794966	0.0237888	0.0435567	0.0743121	0.112194	0.162902	0.245042	0.307786
</S>	0.0128194	0.00634679	0.00741457	0.0236463	0.0361166	0.0577272	0.0936941	0.133008	0.264761	0.364466
