 	elle	cultive	les	aubergine	dans	son	jardin	de	case	</S>
a38	0.00875995	0.0116441	0.0151636	0.0140814	0.0198263	0.0198556	0.045652	0.143252	0.279642	0.442122
a24	0.00563832	0.00805945	0.0100324	0.00772585	0.0119438	0.0132893	0.0324532	0.121727	0.283118	0.506012
a41	0.00807408	0.00955659	0.0123339	0.00976594	0.0125133	0.0121252	0.0281502	0.114346	0.275633	0.517502
a21	0.00596165	0.00730408	0.00947018	0.0068619	0.00947687	0.00997004	0.025084	0.112516	0.286041	0.527314
a24	0.0112759	0.0129759	0.0146425	0.0105743	0.0131772	0.0127321	0.0298538	0.103996	0.245118	0.545654
a98	0.00658816	0.00667149	0.00769517	0.00584215	0.00742819	0.00724242	0.0166267	0.0819586	0.248773	0.611174
a71	0.00802242	0.00923554	0.0112489	0.00808401	0.0089518	0.00814076	0.0170646	0.0836981	0.250209	0.595344
a25	0.00731281	0.00857277	0.0094548	0.00691476	0.0102756	0.0116275	0.0227474	0.0922469	0.243704	0.587143
a87	0.00285711	0.00397714	0.00441802	0.00236726	0.00459185	0.00689646	0.0177551	0.0913017	0.256974	0.608862
</S>	0.00172416	0.00148864	0.00186676	0.00106714	0.00201323	0.00345407	0.0166332	0.115372	0.272836	0.583544
