 	on	lui	a	fait	une	injection	à	l'	hôpital	du	fait	qu'	on	n'	a	pas	pu	le	faire	à	la	maison	</S>
a93	0.0147123	0.0155404	0.0244414	0.0337696	0.0588868	0.206057	0.12937	0.113589	0.101806	0.072193	0.0511622	0.0443608	0.0253343	0.0179185	0.0147272	0.0117359	0.0106524	0.00920497	0.00860412	0.00794469	0.00798082	0.00896136	0.0110467
a54	0.0111068	0.0115188	0.0201802	0.0302696	0.05491	0.184187	0.127786	0.118746	0.106162	0.0769821	0.0566332	0.0520421	0.0286107	0.019924	0.0155458	0.011908	0.010624	0.00904807	0.00880811	0.00817156	0.00899739	0.0119731	0.0158656
a92	0.00754924	0.00857994	0.0183075	0.0367069	0.06247	0.137153	0.101221	0.0994422	0.0984243	0.0827808	0.0690122	0.0634992	0.0391538	0.027141	0.0210809	0.0164917	0.0148357	0.012444	0.0120868	0.0117562	0.0137533	0.018997	0.0271133
a37	0.00995361	0.0112312	0.0213818	0.0384181	0.057601	0.138585	0.0918712	0.0803709	0.0791873	0.067446	0.0619266	0.0624254	0.0457892	0.0360084	0.0296857	0.0238762	0.0204988	0.016336	0.0152427	0.0152856	0.018404	0.0238644	0.0346111
a44	0.00543962	0.00575642	0.0113612	0.024083	0.0430376	0.121832	0.0953763	0.0966346	0.0979398	0.0843725	0.0789552	0.0817582	0.0564955	0.0412524	0.0320202	0.0235147	0.0185767	0.0146256	0.012995	0.0118012	0.0119921	0.0135052	0.0166749
a70	0.00389549	0.00417773	0.00798291	0.0165085	0.030349	0.0972891	0.0926708	0.102962	0.104799	0.0961491	0.0891467	0.0868308	0.058687	0.0415509	0.0311412	0.0228948	0.0185594	0.0152144	0.0140242	0.0130234	0.0134443	0.0164933	0.0222065
a54	0.00207657	0.00229361	0.00427939	0.00801916	0.0152042	0.0717705	0.092144	0.112321	0.118733	0.111869	0.103138	0.0943797	0.0592627	0.0398776	0.0293024	0.0213938	0.0174698	0.0144303	0.0136813	0.0127366	0.0136451	0.017672	0.0242993
a36	0.00201987	0.00232333	0.00407786	0.00794696	0.0139788	0.0478995	0.0586786	0.0758024	0.0863745	0.0843006	0.0884302	0.0826277	0.0723808	0.0591591	0.0486685	0.0407544	0.0347231	0.0267033	0.02496	0.0238254	0.0267876	0.0348692	0.0527081
a0	0.00213751	0.00270977	0.0046982	0.00789348	0.0122315	0.0441158	0.0789631	0.107581	0.120653	0.113508	0.0995553	0.0858068	0.0634299	0.0455476	0.0352432	0.0289313	0.0234492	0.0184274	0.0169743	0.0160701	0.0175814	0.0223066	0.0321858
a11	0.0023513	0.00304736	0.00573084	0.0100655	0.0157224	0.0384925	0.0750983	0.112927	0.136525	0.122254	0.104412	0.0948021	0.0655996	0.0456127	0.0329013	0.0260675	0.0182521	0.0134698	0.011892	0.0108372	0.0122435	0.0168171	0.0248783
a93	0.00215629	0.00252546	0.00455916	0.0070316	0.0106282	0.0283628	0.0628191	0.102617	0.130186	0.122565	0.114087	0.103418	0.0703323	0.0501548	0.0368385	0.0280082	0.0205545	0.0152125	0.0137349	0.0124918	0.0138874	0.0193933	0.0284361
a13	0.00127221	0.00151468	0.00272816	0.00385926	0.00627063	0.0204337	0.0437491	0.0747881	0.0989154	0.101772	0.107337	0.0978953	0.0743607	0.0561035	0.0458452	0.0380364	0.0351716	0.0281487	0.0275528	0.0259576	0.027173	0.0335193	0.0475955
a38	0.0015611	0.00186647	0.00350708	0.00610511	0.0104443	0.0294237	0.0598281	0.103735	0.141672	0.131398	0.127341	0.11094	0.0738181	0.0487502	0.0334739	0.0233367	0.0171031	0.0124231	0.0105585	0.00928109	0.00979802	0.0138004	0.0198346
a83	0.00182564	0.00176481	0.00298406	0.00500104	0.00879074	0.0204645	0.0412173	0.0776604	0.110722	0.103752	0.105627	0.0918919	0.0768571	0.0612002	0.049935	0.0422492	0.0336319	0.0239405	0.0216853	0.0189969	0.0213811	0.0306544	0.0477673
a9	0.00114632	0.00134224	0.00245377	0.00397106	0.00698304	0.0182575	0.0345805	0.0700617	0.11107	0.108163	0.118688	0.0984826	0.0743013	0.0549076	0.0432009	0.0355339	0.0313625	0.0246187	0.0237898	0.0228459	0.0262557	0.0366848	0.0512999
a38	0.00421793	0.00397473	0.0056699	0.00859863	0.0158066	0.0332887	0.0469178	0.0825277	0.125969	0.112682	0.117559	0.0859487	0.068891	0.0512097	0.0376847	0.0295077	0.0232147	0.0186364	0.0163493	0.0158023	0.0181797	0.0289273	0.0484361
a75	0.00957817	0.0068217	0.00807592	0.0101452	0.0165081	0.0261804	0.0359088	0.0633179	0.095188	0.0879656	0.0966522	0.0757243	0.070458	0.0579519	0.0476791	0.0420818	0.0344365	0.026588	0.0241978	0.023426	0.0281977	0.0448837	0.0680331
a6	0.00140866	0.00113999	0.00161603	0.00232338	0.00369608	0.0112623	0.0150489	0.0241988	0.0308659	0.0352078	0.0448354	0.0372548	0.0450268	0.0426779	0.0416297	0.0477364	0.0552164	0.0513499	0.061448	0.0665825	0.087511	0.121894	0.17007
a37	0.00109592	0.00124687	0.00196697	0.00327378	0.00528671	0.0119766	0.0157168	0.0260483	0.0349184	0.0385356	0.0516011	0.0512184	0.0668477	0.0649817	0.0582487	0.0608423	0.0661059	0.053903	0.0559425	0.0575577	0.0683932	0.0846593	0.119633
a61	0.000651794	0.000828296	0.00157537	0.00257856	0.00457412	0.0112971	0.0215522	0.0435002	0.0643246	0.065394	0.0748343	0.0629987	0.0663797	0.0588758	0.0522441	0.0494545	0.0531275	0.0450853	0.0472024	0.0494325	0.0553738	0.0703761	0.0983393
a88	0.000754353	0.000881092	0.00148613	0.00212636	0.00363456	0.00775662	0.0164583	0.0372014	0.0650741	0.0664387	0.0831829	0.0727308	0.0686765	0.0561451	0.0477883	0.0418076	0.0415139	0.0375265	0.0414148	0.0476805	0.0596525	0.0867388	0.11333
a71	0.00058649	0.000710141	0.00120075	0.0017889	0.00328686	0.00759939	0.015606	0.0350455	0.0610905	0.0625447	0.0774413	0.0629765	0.0586521	0.0491579	0.0431641	0.03926	0.0393531	0.0385278	0.0461261	0.0564733	0.0760263	0.105349	0.118034
a9	0.000586842	0.000606668	0.00104082	0.00183303	0.0039708	0.0121179	0.0198816	0.0407096	0.0719285	0.0713598	0.0925886	0.0703994	0.0637888	0.0502691	0.0416217	0.0374232	0.0358213	0.0366833	0.0429166	0.0498032	0.0667111	0.0877978	0.10014
a99	0.00592335	0.00473023	0.00534277	0.006995	0.0109485	0.0245976	0.0329333	0.0498481	0.0770872	0.075472	0.0852986	0.0606342	0.0615181	0.0531408	0.0508678	0.0527466	0.0505365	0.0458657	0.0462038	0.0409249	0.0438172	0.0523045	0.0622632
a87	0.0208468	0.01081	0.00924267	0.00910795	0.0104006	0.0128548	0.0197992	0.0316724	0.0474334	0.0476506	0.0562452	0.0499151	0.0564156	0.0543811	0.0525995	0.0564918	0.0613069	0.0590011	0.0569341	0.0577377	0.059823	0.0713082	0.0880224
a23	0.0405742	0.0198753	0.0137927	0.0114463	0.0111428	0.0138563	0.0226147	0.0293254	0.0311013	0.0293366	0.0311689	0.0311277	0.0390594	0.0409915	0.0431132	0.0517656	0.0679917	0.075589	0.0699464	0.076833	0.0712991	0.0836663	0.0943828
a99	0.00836697	0.00402722	0.00358449	0.00316564	0.00280614	0.00397883	0.00895767	0.0129025	0.0139773	0.0160994	0.0252309	0.0264218	0.0348813	0.0377399	0.035752	0.0425764	0.0665696	0.0760705	0.0719504	0.0879384	0.101647	0.148395	0.166961
a18	0.000657093	0.000412383	0.000587346	0.00080252	0.0012691	0.00382782	0.0101646	0.0182895	0.0236641	0.0266908	0.0438333	0.0381004	0.0474696	0.0462118	0.0413623	0.0494659	0.0653472	0.0589905	0.0684433	0.0709523	0.0919628	0.134271	0.157224
a83	0.000257034	0.000178865	0.000274628	0.000389248	0.000702708	0.00289599	0.0105585	0.0198094	0.0284876	0.03282	0.0491335	0.0376976	0.0408398	0.0359561	0.0314517	0.0357796	0.0493186	0.0498115	0.0627911	0.0711628	0.0955729	0.14751	0.196601
a36	0.000204704	0.000177916	0.000281129	0.000385812	0.000636659	0.00233411	0.00819447	0.0157102	0.0250512	0.0290565	0.0426867	0.0330722	0.0327244	0.0270817	0.0240939	0.0263715	0.0389839	0.0468122	0.0642863	0.0815557	0.114024	0.171485	0.21479
a26	0.000197068	0.0001917	0.000309462	0.000438802	0.00074807	0.00263409	0.00736613	0.0155071	0.0279031	0.032185	0.045317	0.0324539	0.0303825	0.0245135	0.0221342	0.0240566	0.0347306	0.042621	0.0608444	0.0771639	0.116217	0.181561	0.220524
a82	0.00163443	0.00143774	0.00216776	0.00345966	0.0055372	0.0140585	0.0239746	0.0381068	0.0558566	0.0517691	0.0605148	0.0445246	0.045148	0.0399817	0.0388297	0.0432783	0.051847	0.054288	0.0640353	0.0664782	0.0832411	0.103343	0.106487
a87	0.00955647	0.00617469	0.00726847	0.00889257	0.0114225	0.0195899	0.0323706	0.0427654	0.0528022	0.045885	0.0479503	0.0411161	0.0466521	0.0456946	0.0477438	0.0584753	0.0655833	0.0611699	0.0614064	0.0565774	0.0624001	0.0800966	0.0884061
a23	0.0258682	0.0146422	0.0124001	0.0130593	0.0135886	0.014508	0.0267665	0.0397091	0.0458632	0.0407182	0.0407233	0.0395998	0.0465178	0.0460091	0.0476521	0.056983	0.0673173	0.0658523	0.0555022	0.0582732	0.0572766	0.0775067	0.0936637
a40	0.00846452	0.00371635	0.00303287	0.0023344	0.00206817	0.00240553	0.00608141	0.01086	0.0133797	0.0151334	0.0237164	0.0289745	0.0414155	0.045801	0.0423281	0.0479275	0.0640973	0.06257	0.0576439	0.0667587	0.0782588	0.143902	0.22913
a37	0.00254456	0.00141298	0.00152035	0.00159973	0.00171676	0.00334505	0.010341	0.0172239	0.0211763	0.0252726	0.035124	0.0292884	0.0366594	0.0353409	0.0371017	0.0451461	0.0681541	0.061194	0.0689176	0.0729428	0.0861388	0.136315	0.201524
a26	0.000247249	0.00020997	0.000280622	0.000347132	0.000485032	0.00164646	0.00548829	0.00951054	0.0144686	0.0168086	0.0264631	0.0225049	0.026438	0.0256745	0.0260643	0.0316267	0.0501546	0.0546345	0.0735266	0.0878562	0.117669	0.177798	0.230097
a37	0.000170779	0.000162823	0.000267215	0.000332939	0.000488345	0.00133047	0.00438821	0.00937393	0.0167939	0.0205286	0.033968	0.0267505	0.0267033	0.0218454	0.0189728	0.0212453	0.0320158	0.0394967	0.0590238	0.0771262	0.126995	0.207144	0.254876
a70	0.00015932	0.000130816	0.000186902	0.000222931	0.000346164	0.0010162	0.00352208	0.00834533	0.0156205	0.0185755	0.0283562	0.0197491	0.0202731	0.0168405	0.0155719	0.018885	0.0308751	0.0399105	0.0600888	0.0805248	0.129803	0.209968	0.281029
a13	0.00033443	0.000371674	0.000589658	0.000676593	0.000914838	0.0021103	0.00544964	0.0116691	0.0217116	0.0244763	0.0358887	0.0275001	0.0270727	0.0228876	0.0199969	0.0221935	0.0315685	0.03905	0.0568583	0.0742828	0.122115	0.204228	0.248054
a83	0.000448671	0.000433661	0.000649706	0.000828524	0.00121237	0.00332897	0.00803978	0.0174792	0.0308639	0.0315262	0.0428513	0.0293404	0.0282317	0.0237245	0.0207841	0.0240749	0.03374	0.039462	0.0538823	0.0667392	0.111606	0.188558	0.242195
a34	0.000218991	0.00019304	0.000252094	0.000288687	0.000417778	0.00112588	0.00271033	0.0064427	0.0136089	0.0162942	0.0255761	0.0174018	0.0193634	0.017534	0.0161105	0.0202583	0.0296094	0.0361634	0.0559274	0.0726154	0.12789	0.219291	0.300706
a12	0.000190719	0.000198209	0.00026077	0.000308998	0.000400018	0.000790835	0.00191932	0.00417858	0.00851339	0.0108677	0.0182815	0.015616	0.0189027	0.0181442	0.0167999	0.0196758	0.0270281	0.0335292	0.0535694	0.0745058	0.132785	0.233114	0.310419
a75	0.000401015	0.00040965	0.000499886	0.000538041	0.00062977	0.00107532	0.00283927	0.00550224	0.00938665	0.010814	0.0164243	0.0157934	0.0192295	0.0193827	0.018654	0.021347	0.0278003	0.0334538	0.0502681	0.0703836	0.128966	0.235368	0.310833
a85	0.000127354	0.000136579	0.000188527	0.0002775	0.00043408	0.000993904	0.00230538	0.00506397	0.00911176	0.010345	0.0164273	0.0165707	0.0223238	0.0237471	0.0228092	0.0269365	0.0335219	0.0358922	0.0531852	0.0710561	0.127876	0.229139	0.29153
a6	0.000172122	0.000214557	0.000369471	0.00062137	0.00104905	0.00236235	0.00480138	0.00988225	0.0154556	0.0169694	0.0247179	0.0285475	0.0385561	0.0418348	0.0367157	0.0393146	0.0395681	0.0351131	0.049292	0.0564716	0.0997365	0.19475	0.263485
a47	0.00010565	0.000129478	0.000210171	0.000332932	0.000616784	0.00151553	0.0032139	0.00687843	0.0119747	0.0124747	0.0181981	0.020286	0.027627	0.0308557	0.0293545	0.0320742	0.0334743	0.0311494	0.0435365	0.0514852	0.100099	0.222086	0.322323
a7	0.00017473	0.000230875	0.000405655	0.000600585	0.000968737	0.0023148	0.00410896	0.00845294	0.0142913	0.0150123	0.0221428	0.0257798	0.0355422	0.0406592	0.0368422	0.0402532	0.0413657	0.0373901	0.0510381	0.0574449	0.100739	0.188432	0.27581
a69	0.0002403	0.000257753	0.000390004	0.000529847	0.000945227	0.00190544	0.00328751	0.00810442	0.0143573	0.013776	0.0187001	0.0146532	0.0165536	0.0147378	0.0120703	0.0132021	0.0146182	0.0167312	0.026818	0.0370627	0.0846717	0.228785	0.457602
a44	0.000117195	0.000124114	0.000186176	0.000247832	0.000395407	0.000785468	0.00179902	0.0047187	0.00849068	0.0088326	0.0141386	0.0139979	0.0202791	0.0209135	0.01879	0.0213904	0.0214145	0.0205184	0.030194	0.0390154	0.0869493	0.23725	0.429451
a54	9.12709e-05	9.93725e-05	0.000153684	0.000214404	0.000365848	0.000653401	0.0013733	0.00401304	0.00816462	0.00812369	0.0122425	0.0106728	0.0124548	0.0118243	0.00986545	0.0108137	0.0117673	0.0130407	0.0209085	0.0330192	0.0841417	0.255118	0.490878
a47	9.5671e-05	9.49782e-05	0.000151416	0.000218763	0.000379867	0.000942531	0.00192971	0.00507866	0.0101362	0.011712	0.0214057	0.0218806	0.0302034	0.029572	0.0240865	0.0249553	0.0226588	0.0226545	0.0327605	0.0401493	0.0850737	0.227691	0.386168
a79	0.000136473	0.000162395	0.000280092	0.000383367	0.000589928	0.00133706	0.00275586	0.00684517	0.0123602	0.0125345	0.0198578	0.0223378	0.0310674	0.0326457	0.0265952	0.0278518	0.0259637	0.0252323	0.0342693	0.0409788	0.0843352	0.205085	0.386395
a69	0.000169852	0.000205295	0.000320104	0.00040378	0.000554411	0.00121054	0.00264725	0.00619659	0.0107388	0.0116854	0.0192714	0.0231888	0.0344756	0.0387626	0.0320696	0.0337198	0.0306783	0.0276506	0.0366346	0.0422517	0.0824791	0.190632	0.374053
a4	0.000119668	0.000148686	0.000277797	0.000413105	0.000624943	0.00115377	0.00197962	0.0047854	0.0083512	0.00825953	0.0129983	0.0123783	0.0154452	0.0153098	0.0122163	0.0135204	0.0133358	0.0138717	0.0211974	0.0294895	0.0760728	0.248469	0.489581
a13	0.000362552	0.000401248	0.000688762	0.000910095	0.00125565	0.0020624	0.00314417	0.00630305	0.00967282	0.0107252	0.0171472	0.0149038	0.0189191	0.0194569	0.0180261	0.0210998	0.0220158	0.0247221	0.03771	0.049721	0.108028	0.24218	0.370544
a62	0.00287772	0.00287012	0.00389492	0.0045741	0.00584906	0.00723947	0.00882265	0.0153677	0.0225384	0.0236818	0.0340634	0.0306638	0.0404411	0.0417685	0.0409794	0.0476179	0.0429483	0.039841	0.0525621	0.051105	0.0792067	0.149726	0.25136
a88	0.00073748	0.000747037	0.00103661	0.00130898	0.00183869	0.00333688	0.00468838	0.0094645	0.0158155	0.017309	0.0263201	0.0224615	0.0256847	0.0237988	0.0212698	0.0241467	0.0250929	0.0259238	0.0361405	0.0418324	0.0815566	0.201851	0.387638
a71	0.000937781	0.000914385	0.00120838	0.00148913	0.00196515	0.00378912	0.00539733	0.0113753	0.0187495	0.0185698	0.0262146	0.0214382	0.0247297	0.0231722	0.021074	0.0253417	0.0269009	0.0258239	0.0356999	0.0418454	0.0831158	0.200003	0.380245
a26	0.00835932	0.00794754	0.00908878	0.00765763	0.0078453	0.0120377	0.0133256	0.0230207	0.0328104	0.0289615	0.0354957	0.029846	0.0374296	0.0384577	0.0376968	0.0474306	0.0474648	0.0410335	0.0511507	0.0512522	0.0741862	0.12838	0.229122
a57	0.024765	0.0154028	0.0146823	0.010563	0.00847878	0.00901067	0.00973836	0.0147525	0.0193129	0.0181353	0.0227477	0.021305	0.0270433	0.0291601	0.0294402	0.0383398	0.0437033	0.0431533	0.0518785	0.0595998	0.0853213	0.156112	0.247354
a87	0.0404085	0.0215982	0.0173626	0.0118735	0.00807507	0.00609633	0.00682895	0.0102609	0.0140006	0.013838	0.0180913	0.0196072	0.0296066	0.035418	0.0355645	0.0467861	0.0531354	0.0502758	0.0514925	0.0599569	0.0774707	0.143026	0.229227
a10	0.0586223	0.035647	0.0237695	0.0161464	0.0101383	0.00754458	0.0112483	0.0165333	0.0214266	0.0226337	0.0271841	0.0300729	0.0419944	0.0489112	0.048144	0.0575167	0.0588849	0.0539045	0.0465747	0.0542709	0.0618385	0.100428	0.146565
a87	0.0323885	0.0187392	0.0130692	0.0101925	0.00770086	0.00727225	0.0152014	0.0245807	0.0318112	0.0339104	0.0403187	0.0485318	0.0585841	0.0586927	0.049874	0.0555831	0.0571058	0.0527866	0.0438668	0.0491379	0.0554286	0.0912706	0.143953
</S>	0.0317749	0.0227404	0.0188867	0.016888	0.014173	0.0118681	0.0228105	0.0318942	0.0363193	0.0374416	0.0397829	0.0460289	0.0504692	0.0475829	0.0396761	0.043146	0.0449967	0.0416682	0.0370781	0.042539	0.0536812	0.0975617	0.170992
