 	la	manière	dont	mon	fils	s'	est	noyé	c'	est	par	envoûtement	</S>
a94	0.0108669	0.0141494	0.0291019	0.0664294	0.106398	0.126363	0.148175	0.121191	0.123	0.084567	0.0578034	0.0489542	0.0630006
a75	0.0139061	0.016465	0.0315663	0.0648017	0.0973482	0.110438	0.127069	0.109436	0.121944	0.0962623	0.0711716	0.0609109	0.078681
a79	0.00662792	0.00585583	0.0115783	0.0332686	0.0568564	0.0737577	0.0959008	0.121948	0.124671	0.131081	0.107118	0.0936993	0.137638
a15	0.00295096	0.00268978	0.00635027	0.0229902	0.0480681	0.0737875	0.107056	0.145645	0.150902	0.143139	0.105028	0.0837277	0.107665
a47	0.00468933	0.00396728	0.0085425	0.0250909	0.0491921	0.0697576	0.0902165	0.108323	0.126661	0.137274	0.111936	0.0964765	0.167873
a92	0.00573989	0.00487461	0.0101084	0.0260047	0.0471057	0.0637295	0.0806386	0.0999618	0.118644	0.133595	0.109156	0.101378	0.199064
a85	0.00217204	0.00207899	0.00452661	0.0121278	0.0237341	0.0392723	0.0602276	0.094685	0.113878	0.166301	0.145023	0.137935	0.198038
a6	0.00248836	0.00203332	0.00407552	0.0111596	0.0218472	0.0351886	0.0560995	0.0914156	0.116852	0.145109	0.114116	0.134207	0.265408
a36	0.00276467	0.00267217	0.00515433	0.0118891	0.0229526	0.0358174	0.0558636	0.0884397	0.112368	0.158185	0.145456	0.143918	0.21452
a12	0.00532376	0.00321448	0.00561013	0.0139094	0.0273325	0.0367348	0.0451152	0.0561729	0.064556	0.104867	0.128599	0.176275	0.332289
a96	0.00199371	0.00146993	0.00303394	0.00948324	0.0173062	0.0250456	0.0334011	0.0490757	0.0565291	0.10442	0.14286	0.22332	0.332062
a62	0.00207326	0.00158557	0.00271119	0.00711012	0.0140125	0.0200501	0.0248444	0.0316097	0.0404614	0.0754827	0.116927	0.24748	0.415652
a0	0.00179626	0.00148831	0.00241049	0.00588845	0.0108862	0.0160771	0.0207605	0.0252844	0.0349083	0.0701901	0.115356	0.2689	0.426054
a93	0.00270967	0.00226087	0.0038758	0.00854745	0.0149559	0.0207472	0.0239725	0.0288048	0.0417172	0.0766049	0.128317	0.269224	0.378263
a70	0.00143319	0.00131718	0.00255234	0.006531	0.0123435	0.0178865	0.0213108	0.0254482	0.0355709	0.0633289	0.110356	0.266834	0.435088
a83	0.000706551	0.000642651	0.00123655	0.0034229	0.00707278	0.0115386	0.0146186	0.018037	0.0259251	0.0510041	0.0930366	0.258023	0.514736
a50	0.000641785	0.000650097	0.00140064	0.00377206	0.00723293	0.0111236	0.0140075	0.0173508	0.0251673	0.0476982	0.0897698	0.250256	0.53093
a0	0.00112377	0.0011561	0.00258636	0.00576733	0.0100896	0.0141799	0.0175562	0.023552	0.0328979	0.0575395	0.0975495	0.239588	0.496414
a24	0.00204126	0.00168207	0.00325992	0.00733576	0.0133379	0.0197351	0.0234181	0.0302717	0.0412023	0.0688057	0.11168	0.232413	0.444817
a9	0.00188966	0.00141457	0.00287502	0.00704157	0.0137031	0.0209527	0.0246967	0.033019	0.0446504	0.0728594	0.110653	0.213486	0.452759
a99	0.0294946	0.0145133	0.0157514	0.0242007	0.0354127	0.0432155	0.0478506	0.0600011	0.0629655	0.0844746	0.112629	0.173566	0.295925
a87	0.0689367	0.0279199	0.0261314	0.0362107	0.0491323	0.0525436	0.0584253	0.0724294	0.0703616	0.0828617	0.102558	0.139001	0.213488
a23	0.125697	0.0508151	0.0364678	0.0468826	0.0519262	0.0463291	0.0466096	0.0552869	0.0552514	0.0761557	0.114085	0.129778	0.164716
a87	0.0583631	0.0240308	0.0214827	0.0299901	0.0410632	0.0357438	0.0387109	0.0524963	0.0506678	0.083161	0.119033	0.172699	0.272558
a23	0.0138272	0.00716459	0.0109972	0.0197334	0.0331281	0.030971	0.03746	0.0639697	0.0657004	0.0780928	0.103079	0.164325	0.371551
</S>	0.0251717	0.0120575	0.0151547	0.0278623	0.0458275	0.0403968	0.0476457	0.0770841	0.0791657	0.0954173	0.114029	0.147753	0.272435
