 	cet	homme	qui	vient	du	vil	lage	d'	okoungou	a	une	barbe	touffue	</S>
a90	0.0291813	0.0368912	0.0355363	0.0450262	0.0710894	0.115957	0.12938	0.137214	0.0974846	0.0780174	0.0538737	0.050334	0.0539465	0.0660682
a98	0.0123746	0.0156503	0.0146207	0.0188061	0.0364833	0.089899	0.110354	0.098045	0.0787002	0.0949621	0.0986985	0.100519	0.106699	0.124188
a92	0.0129447	0.0177476	0.017029	0.0228336	0.0338929	0.0798098	0.147008	0.134839	0.099508	0.114724	0.0864925	0.0904725	0.060795	0.0819028
a21	0.0129448	0.0162687	0.0158313	0.0217733	0.0354066	0.0770314	0.128514	0.0949488	0.0761731	0.10099	0.0930265	0.105586	0.0857382	0.135767
a5	0.0108791	0.01226	0.00960161	0.0116889	0.0199733	0.045509	0.0647198	0.0477932	0.0614284	0.107949	0.131948	0.14173	0.137585	0.196934
a12	0.00628554	0.00676694	0.00523938	0.00647032	0.0106624	0.0239963	0.035079	0.0278989	0.0443913	0.100581	0.134959	0.173202	0.178518	0.24595
a21	0.00742154	0.00810666	0.00642591	0.00752378	0.0111474	0.0212319	0.0301979	0.0250363	0.0482433	0.119015	0.141462	0.164507	0.173199	0.236482
a47	0.00697028	0.0072766	0.00590239	0.00681854	0.00892685	0.0142005	0.0188143	0.015754	0.0330523	0.106644	0.147281	0.18252	0.195993	0.249846
a88	0.0108823	0.0121969	0.00963129	0.0107924	0.0135768	0.0212797	0.029717	0.0264974	0.0538406	0.155684	0.157476	0.150217	0.144867	0.203341
a75	0.00338926	0.00372702	0.00301029	0.00328998	0.00436983	0.00700109	0.00912471	0.00874681	0.0256099	0.118588	0.16947	0.205043	0.193599	0.245031
a6	0.000725853	0.00068738	0.000509969	0.000588839	0.000986004	0.00247646	0.00453601	0.00422455	0.0109065	0.081276	0.146198	0.210441	0.230285	0.306158
a41	0.00115768	0.00111046	0.000837793	0.000908796	0.00142005	0.0035047	0.00559656	0.00548044	0.0137205	0.0843296	0.167609	0.234913	0.219477	0.259934
a0	0.00174036	0.0015552	0.00114275	0.0012122	0.00177233	0.00355562	0.00602693	0.00610379	0.0113954	0.080226	0.155671	0.213765	0.194286	0.321548
a56	0.000542624	0.000531234	0.000373971	0.000361135	0.000518172	0.00128248	0.00244073	0.00325959	0.00819302	0.0385075	0.0829877	0.146473	0.244307	0.470222
a93	0.000603494	0.000549204	0.000379755	0.000353436	0.0005651	0.00127799	0.00200424	0.00241393	0.00802636	0.0496176	0.105061	0.168055	0.249664	0.41143
a4	0.000514485	0.000432896	0.000280213	0.000258921	0.000435543	0.000942686	0.00142126	0.00178088	0.0053481	0.0303589	0.0716738	0.135926	0.270949	0.479678
a57	0.00049251	0.000436912	0.000268245	0.000238754	0.000368494	0.000740434	0.00109792	0.00158604	0.00432343	0.0249286	0.0609812	0.13297	0.297926	0.473641
a3	0.000617843	0.00048088	0.000283635	0.000202956	0.000241253	0.000870743	0.00183296	0.00277436	0.00591765	0.0301161	0.057443	0.144197	0.307905	0.447116
a10	0.0135552	0.00873662	0.0058522	0.00345609	0.00331548	0.00552536	0.0111379	0.0220001	0.0333108	0.0926587	0.125887	0.209666	0.238936	0.225963
a87	0.0704221	0.0458148	0.0331153	0.018113	0.0156638	0.0190437	0.0223615	0.0343129	0.0383328	0.0814688	0.105014	0.150212	0.186105	0.18002
a97	0.0635312	0.0425308	0.0322651	0.0214196	0.0186271	0.0224334	0.0235028	0.0335002	0.0376738	0.0873764	0.0998335	0.129969	0.183905	0.203432
a99	0.0722534	0.0485069	0.0376312	0.0273948	0.0235064	0.0385989	0.0367969	0.0537625	0.0592033	0.071905	0.0686839	0.0905632	0.161586	0.209608
a97	0.0205202	0.0128008	0.00920671	0.00708332	0.00614013	0.010059	0.0108166	0.0188243	0.0252414	0.0424663	0.0617654	0.0975548	0.261685	0.415837
</S>	0.031407	0.0240153	0.0188263	0.0173631	0.0176006	0.0320967	0.0272713	0.0445628	0.0476689	0.0551569	0.0588997	0.094894	0.208241	0.321996
