 	le	gaz	qui	s'	exhale	de	l'	huile	de	palme	chauffée	fait	tousser	le	cuisinier	</S>
a25	0.00142175	0.0014774	0.00222882	0.00746076	0.0368583	0.0892379	0.104219	0.111163	0.118484	0.096665	0.0717753	0.0778533	0.0824296	0.0708218	0.0619085	0.0659961
a92	0.000723036	0.000667684	0.00127504	0.00515226	0.028268	0.0895785	0.112944	0.129699	0.126118	0.0920679	0.0615302	0.0648427	0.0891611	0.0753201	0.0593715	0.0632813
a98	0.000658551	0.000621407	0.000944409	0.00258991	0.0105284	0.0458347	0.0793631	0.107454	0.112848	0.0915845	0.0713174	0.0827046	0.122763	0.101316	0.0836328	0.085839
a92	0.000493144	0.000484797	0.000868029	0.00283573	0.0108716	0.0469281	0.0815409	0.112426	0.122726	0.0992916	0.0674835	0.0753627	0.120989	0.103011	0.075682	0.0790058
a98	0.000339934	0.000336029	0.000529598	0.0015583	0.00640693	0.024671	0.048497	0.0796023	0.0928556	0.080726	0.0685261	0.0869733	0.155537	0.134481	0.109266	0.109693
a47	0.000184404	0.000166597	0.00031172	0.00134471	0.00666495	0.0313761	0.0585175	0.0921172	0.110131	0.0947456	0.0680712	0.0758678	0.112697	0.123952	0.107321	0.116532
a36	0.000210818	0.000182536	0.000311124	0.00114385	0.004791	0.0258403	0.0518547	0.0839107	0.101229	0.0930059	0.0718307	0.0814023	0.149936	0.135668	0.0977397	0.100944
a37	0.00103224	0.000781682	0.000926179	0.0020689	0.00830558	0.0269014	0.0391592	0.056409	0.0724186	0.081924	0.0681979	0.105458	0.176241	0.136638	0.114215	0.109322
a70	0.00145357	0.000927614	0.00102427	0.0025736	0.00965942	0.0327079	0.0433226	0.0565896	0.0715117	0.0773583	0.0636085	0.0959899	0.175719	0.136721	0.114783	0.116051
a13	0.00147214	0.000864781	0.00080425	0.00194103	0.00849654	0.0253893	0.0348279	0.0466836	0.0600821	0.0744857	0.0541927	0.0952629	0.160896	0.146862	0.143539	0.1442
a57	0.00402102	0.00275743	0.00267143	0.00477123	0.014462	0.0324263	0.041513	0.0502784	0.0606656	0.0711136	0.0526775	0.0908422	0.171443	0.143733	0.140848	0.115776
a3	0.0221409	0.0148894	0.0116432	0.0149843	0.0251041	0.0368706	0.0450652	0.0549596	0.0684147	0.0753633	0.055583	0.0806915	0.206525	0.119902	0.0964004	0.0714626
a82	0.0228834	0.0241098	0.0128771	0.0126543	0.0181332	0.0285337	0.040483	0.0632913	0.0835098	0.0960739	0.0833514	0.0901546	0.182101	0.10897	0.0694349	0.0634386
a3	0.0202285	0.0183115	0.00974858	0.00906921	0.0175063	0.0371757	0.0551217	0.0802521	0.0943821	0.104683	0.0926011	0.0910059	0.143462	0.0996682	0.0688465	0.0579383
a87	0.0157192	0.0142946	0.0080208	0.00717567	0.0154054	0.0332997	0.0503402	0.0766477	0.092597	0.105715	0.0929427	0.0936234	0.131894	0.106267	0.0864381	0.0696191
a82	0.0182327	0.0187406	0.0108154	0.0104012	0.0212549	0.0431434	0.0601157	0.0832686	0.0918899	0.0975879	0.0930011	0.0831705	0.112835	0.0967747	0.0806092	0.0781593
a26	0.0261322	0.0166718	0.010007	0.0148868	0.0284212	0.0545962	0.0724572	0.0846685	0.0828239	0.0802241	0.0828928	0.0642725	0.0912213	0.0979839	0.093955	0.0987856
a57	0.0331667	0.0180007	0.0117424	0.0190356	0.0374606	0.0665205	0.085453	0.0917745	0.084866	0.0750266	0.0721456	0.0506425	0.0873226	0.0830758	0.0841376	0.0996292
a38	0.0394711	0.0245033	0.0161119	0.0225902	0.0338509	0.0548979	0.0703651	0.0807417	0.0809913	0.0757526	0.0829573	0.0558887	0.0862151	0.0871389	0.0838615	0.104663
a99	0.0140215	0.00944319	0.00736991	0.0105874	0.0180202	0.0312559	0.0426664	0.0583217	0.0675083	0.0710441	0.0826194	0.0643091	0.131381	0.125345	0.125211	0.140896
a82	0.0105269	0.00606724	0.00523336	0.00861332	0.0216398	0.0437469	0.0556751	0.0646988	0.0653644	0.0675251	0.0718318	0.0600142	0.113222	0.109406	0.131804	0.164631
a87	0.00940421	0.00537939	0.00523617	0.00946569	0.0199718	0.0397027	0.0540832	0.066559	0.0693304	0.06993	0.0714904	0.0553344	0.104876	0.101627	0.127327	0.190284
</S>	0.0293087	0.0150076	0.0105123	0.0133613	0.0236516	0.0534009	0.0719761	0.0869227	0.0784691	0.0729189	0.0730351	0.0525157	0.0944447	0.0857783	0.0937454	0.144952
