 	tout	le	bois	de	chauffe	que	j'	ai	acheté	est	déjà	rongé	par	les	termites	</S>
a83	0.00163426	0.00136075	0.00119002	0.00126316	0.00165489	0.00346737	0.00508684	0.0085787	0.012359	0.0148378	0.0184437	0.0192593	0.0261657	0.0775136	0.262566	0.544619
a70	0.000744544	0.000643779	0.000619192	0.000715274	0.000976715	0.00223163	0.0032264	0.00508242	0.00694885	0.00802134	0.00978606	0.0102997	0.0153505	0.0553859	0.237383	0.642584
a83	0.000680568	0.000595049	0.000630304	0.000804786	0.00122158	0.00290699	0.00379774	0.00490744	0.00577354	0.00632417	0.00764725	0.00807628	0.0121038	0.0464024	0.244507	0.653621
a0	0.000802481	0.000663046	0.000629928	0.000639254	0.000880893	0.00182388	0.00270737	0.00444976	0.00657904	0.00808399	0.0105859	0.0136106	0.0220213	0.0817347	0.253853	0.590935
a83	0.00117587	0.00106619	0.00105777	0.00111011	0.0015584	0.00304123	0.00443634	0.00713309	0.0102455	0.0108822	0.01171	0.0114562	0.0164042	0.0588436	0.178507	0.681373
a0	0.00257482	0.00242082	0.00253784	0.00251007	0.00317819	0.00534396	0.00694157	0.0100306	0.0139888	0.0138527	0.0138431	0.0121971	0.0189738	0.0657156	0.163026	0.662865
a9	0.0097073	0.0084752	0.00858682	0.00854733	0.0102829	0.0156759	0.0163956	0.0179344	0.0218903	0.0197365	0.0177679	0.012214	0.017973	0.0564907	0.131165	0.627157
a10	0.0539	0.0395308	0.0364697	0.0315552	0.0316513	0.0443988	0.0364052	0.0303421	0.0306651	0.0262846	0.0269183	0.023969	0.0397493	0.080026	0.129109	0.339025
a87	0.0887855	0.0651133	0.052263	0.0453858	0.0456452	0.0526294	0.0479016	0.0390574	0.0382385	0.037162	0.0438462	0.0438063	0.0716382	0.100677	0.0906607	0.13719
a23	0.0724286	0.0604384	0.0558595	0.0516495	0.0581179	0.0714167	0.0706358	0.0613286	0.0663786	0.0610703	0.0659081	0.0592391	0.0711556	0.0587607	0.0489281	0.0666844
a87	0.0701848	0.0528045	0.0490534	0.0491822	0.0505752	0.0598111	0.0654245	0.045848	0.0422195	0.03799	0.0367446	0.0323644	0.0470844	0.0662489	0.10686	0.187604
</S>	0.0282629	0.0236901	0.0226694	0.0202421	0.0196513	0.0226278	0.0257377	0.0235715	0.0264202	0.0283194	0.0318292	0.0340744	0.0490983	0.0806425	0.184583	0.378581
