 	les	femmes	qui	sont	revenues	du	campement	ont	ramené	beaucoup	de	silures	enroulés	et	fumés	</S>
a54	0.000372145	0.000638645	0.000694577	0.000722926	0.000759621	0.000807165	0.00104141	0.00322193	0.00360041	0.00577747	0.00602405	0.0137578	0.0180044	0.0931922	0.216281	0.635105
a47	0.000122524	0.000182364	0.000187839	0.000203974	0.000226718	0.000235763	0.00035482	0.000920604	0.000956537	0.00152741	0.00162589	0.00528295	0.00851609	0.0696141	0.193865	0.716177
a0	0.000374464	0.0005009	0.000519286	0.000532597	0.000619703	0.000621821	0.000931331	0.00209288	0.00264537	0.00361582	0.00367317	0.00960618	0.0129847	0.0868021	0.194519	0.67996
a94	0.000495594	0.000794748	0.000970366	0.000982901	0.00107672	0.00128621	0.00190709	0.00299999	0.00393013	0.00536915	0.00540114	0.0115891	0.0123851	0.0699183	0.173715	0.707178
a71	0.000527236	0.000863596	0.00121439	0.00122436	0.00140256	0.00136447	0.00239105	0.00323898	0.0038561	0.00554671	0.00552244	0.0114049	0.0104991	0.056158	0.166225	0.728561
a3	0.00296792	0.00409707	0.00617373	0.00684903	0.00768427	0.0100149	0.0117008	0.0154042	0.0196063	0.0235054	0.0225089	0.0351397	0.0304605	0.109388	0.213353	0.481146
a97	0.031073	0.0244661	0.0253581	0.0321647	0.0252633	0.0456521	0.0479066	0.0454663	0.0766944	0.0696348	0.0720236	0.0780292	0.0589316	0.0997562	0.117683	0.149898
a87	0.0447191	0.0307652	0.0320789	0.0452111	0.0346656	0.0518584	0.0489935	0.054534	0.0644297	0.0704774	0.101018	0.111526	0.0829693	0.0755156	0.0777291	0.0735089
a23	0.0460374	0.0255917	0.0233181	0.0304598	0.0268017	0.0327664	0.0408891	0.0605436	0.065547	0.0714229	0.100561	0.103067	0.0785226	0.0678997	0.0957461	0.130826
a87	0.0200962	0.0116869	0.010215	0.0126693	0.00956921	0.0113675	0.0167656	0.0183123	0.0145109	0.019781	0.0334215	0.0473854	0.0454414	0.0736507	0.155822	0.499305
a23	0.0130239	0.00621815	0.00590067	0.0104833	0.00984499	0.0120779	0.0142442	0.00786076	0.00582759	0.00752144	0.0119515	0.0162118	0.0173819	0.0368563	0.151211	0.673385
a99	0.015584	0.00827344	0.00874571	0.0133137	0.010752	0.0106295	0.0146051	0.00964848	0.00684529	0.0100048	0.0188985	0.0309919	0.0337016	0.0627355	0.157173	0.588098
a3	0.0137686	0.00765404	0.0091426	0.0150124	0.0130257	0.0165366	0.0175419	0.0104815	0.00802973	0.0108952	0.0186475	0.0293334	0.0385838	0.0723687	0.180776	0.538202
</S>	0.0165473	0.0103495	0.0145203	0.028656	0.0232137	0.0250893	0.0237014	0.0140753	0.0102725	0.0131069	0.0180783	0.025638	0.0296668	0.0545712	0.141887	0.550627
