 	les	lampes	sont	sur	la	table	prends-les	et	apporte-les	moi	</S>
a98	0.000363937	0.000919879	0.00127321	0.00227288	0.00458158	0.00244713	0.00828481	0.0235999	0.0833771	0.287845	0.585034
a92	0.000392008	0.000946649	0.0012971	0.00210947	0.0040501	0.00242728	0.00801974	0.0256049	0.0843847	0.263153	0.607616
a21	0.000807061	0.00130558	0.00159326	0.00248032	0.00417171	0.00301788	0.00957914	0.0315495	0.10825	0.291291	0.545954
a85	0.00144739	0.00192275	0.00226195	0.00436692	0.00657037	0.00518772	0.0125605	0.0283542	0.0940752	0.270989	0.572264
a37	0.000757435	0.00147225	0.00204965	0.00359395	0.00553861	0.00327893	0.00805004	0.0218898	0.0900214	0.284256	0.579092
a85	0.00035364	0.000661909	0.000819266	0.00125185	0.00229776	0.00130274	0.00362674	0.013317	0.0634148	0.236735	0.67622
a5	0.000563214	0.00126232	0.00161615	0.00221285	0.00299825	0.00163194	0.00331289	0.00933162	0.0523328	0.220418	0.70432
a37	0.00193521	0.00272476	0.00297141	0.00423638	0.00562592	0.00332678	0.00815755	0.020087	0.0645458	0.22223	0.664159
a61	0.000941492	0.00176124	0.00205852	0.00250289	0.00380682	0.00184459	0.00448613	0.0162293	0.0555428	0.200891	0.709935
a21	0.000955512	0.00163829	0.00189992	0.00234285	0.00362574	0.00175903	0.00456206	0.0170849	0.0604582	0.211876	0.693797
a5	0.00191427	0.00256106	0.00279535	0.00290638	0.00365886	0.00190057	0.00469494	0.0177696	0.0640542	0.220372	0.677372
a36	0.00057574	0.000887568	0.00112599	0.0012037	0.00190879	0.000773932	0.00221717	0.0101287	0.050674	0.190462	0.740042
a27	0.00388101	0.00421943	0.00543672	0.00502222	0.00574231	0.00192713	0.00555801	0.0246871	0.126259	0.267577	0.54969
a30	0.0479046	0.0331967	0.0315916	0.0263277	0.0234759	0.0200272	0.0398473	0.105266	0.217319	0.223193	0.231851
a87	0.164982	0.0779711	0.0565507	0.0396177	0.0253518	0.0265557	0.0484817	0.108145	0.148358	0.149415	0.154572
a23	0.19518	0.123996	0.0807985	0.0586856	0.0318479	0.0290837	0.0387388	0.0727953	0.104448	0.11704	0.147386
a87	0.0808176	0.0567969	0.0477815	0.0385857	0.0344642	0.0156602	0.0324595	0.0612403	0.134627	0.184943	0.312625
</S>	0.0157954	0.00804434	0.00695438	0.00609448	0.00849095	0.00463112	0.0162605	0.0513596	0.12419	0.241206	0.516973
