 	je	te	remercie	pour	le	bien	que	tu	m'	as	fait	</S>
a13	0.00175014	0.00193907	0.0116888	0.0227981	0.0398251	0.0492616	0.0772075	0.0807611	0.0947519	0.134085	0.198172	0.28776
a11	0.000683309	0.000660921	0.00258951	0.00812011	0.0162908	0.0241908	0.0480524	0.061053	0.0829113	0.139509	0.239613	0.376326
a34	0.000616092	0.000570638	0.00179746	0.00598898	0.0117592	0.017814	0.0377894	0.0490089	0.0716303	0.13391	0.260247	0.408868
a70	0.00072833	0.000770316	0.00247023	0.00701865	0.0138842	0.0210483	0.0440425	0.053318	0.0736005	0.134991	0.256548	0.391579
a44	0.000635057	0.000682196	0.00246129	0.0069531	0.0130508	0.0189549	0.039261	0.0465161	0.0623562	0.117867	0.245735	0.445528
a7	0.000428848	0.000423582	0.00167892	0.00494127	0.00925469	0.0133618	0.0284406	0.0346075	0.0497372	0.105082	0.251019	0.501024
a44	0.000321436	0.000302659	0.0010806	0.00375087	0.00615994	0.00834281	0.0167153	0.0210672	0.0343846	0.0901714	0.26582	0.551884
a36	0.000747795	0.000641583	0.00218306	0.00626271	0.0102108	0.0145114	0.0285535	0.036246	0.0548127	0.120714	0.270046	0.455071
a26	0.00203615	0.00178262	0.00396484	0.0084913	0.0103379	0.0133394	0.023527	0.0295219	0.0476768	0.112651	0.264096	0.482576
a2	0.0224563	0.0147324	0.01499	0.0210957	0.0237935	0.0305107	0.0495407	0.0558003	0.0710419	0.11303	0.212915	0.370094
a57	0.0776445	0.0364262	0.0250876	0.0289152	0.0292827	0.0333663	0.0498735	0.0561499	0.0692262	0.100686	0.17771	0.315633
a87	0.165516	0.0609602	0.0275924	0.0264828	0.0271616	0.029178	0.0487057	0.0597053	0.0742416	0.100483	0.158553	0.22142
a23	0.128006	0.064763	0.0226831	0.0238034	0.0267904	0.0304803	0.0578767	0.0745511	0.0912482	0.114831	0.159175	0.205791
a87	0.141551	0.0510982	0.0230213	0.0220393	0.0277831	0.0351978	0.0637782	0.0821958	0.0921384	0.115866	0.150103	0.195228
a23	0.0757525	0.0344552	0.0240493	0.0280347	0.0369563	0.0433273	0.0736587	0.0892215	0.0959208	0.122546	0.156305	0.219772
a87	0.0949602	0.0382883	0.0189346	0.021112	0.0283738	0.0354306	0.0656385	0.0804949	0.090205	0.115236	0.161425	0.249901
</S>	0.124784	0.0453401	0.0260172	0.0270838	0.0321262	0.0377972	0.0624362	0.0745737	0.084184	0.108954	0.152953	0.223751
