 	qui	est	celui	qui	a	enlèvé	la	feuille	que	j'	avais	affichée	</S>
a41	0.0123073	0.0258192	0.0474849	0.067723	0.0780281	0.102924	0.099244	0.0912968	0.102295	0.0969172	0.0892863	0.0904747	0.0961998
a0	0.0205339	0.038446	0.0569143	0.0767477	0.0823852	0.114432	0.090638	0.0926489	0.0878506	0.0852031	0.0838131	0.0829334	0.0874535
a96	0.00407748	0.00873445	0.0171483	0.0279093	0.0420341	0.0813363	0.115291	0.11571	0.129945	0.106675	0.0924617	0.107002	0.151675
a94	0.0041275	0.00682461	0.0131134	0.0204817	0.0300115	0.0728185	0.112745	0.105895	0.12165	0.116321	0.0990363	0.129163	0.167812
a98	0.0016527	0.00315685	0.0060137	0.0087664	0.0130555	0.0402272	0.0794661	0.0880544	0.108971	0.109853	0.104866	0.173504	0.262413
a66	0.00478299	0.00942772	0.0141017	0.0172582	0.0210241	0.0624347	0.0840707	0.110705	0.113826	0.110662	0.108763	0.135213	0.207731
a38	0.000842933	0.00137337	0.00206179	0.00264072	0.00273496	0.0127321	0.0310848	0.0543136	0.0754808	0.0942467	0.114789	0.219038	0.38866
a5	0.00111266	0.0016065	0.00230945	0.00290025	0.0028947	0.0116871	0.0307398	0.0624313	0.0817625	0.102401	0.125237	0.211671	0.363247
a93	0.00201331	0.00250492	0.00295894	0.00417514	0.00414265	0.0193077	0.0419064	0.0708788	0.0770357	0.0864695	0.103243	0.200895	0.384469
a94	0.000929594	0.00142644	0.0020903	0.00283748	0.00344299	0.0158706	0.0348116	0.0564413	0.065452	0.0802828	0.101913	0.204694	0.429808
a96	0.000974015	0.00137023	0.00166141	0.00214244	0.00194825	0.00968449	0.0240363	0.0473506	0.057001	0.0753885	0.112321	0.222096	0.444027
a75	0.000758704	0.00113708	0.00145064	0.00187672	0.00172352	0.00750398	0.0201888	0.0430536	0.0568289	0.0765916	0.123236	0.228856	0.436794
a6	0.0011184	0.0018544	0.00257513	0.00368451	0.00371947	0.0207853	0.0377606	0.0692857	0.0735394	0.0868815	0.115878	0.209076	0.373841
a37	0.00135784	0.0024797	0.0035055	0.00499665	0.00471166	0.0234574	0.0338467	0.0752326	0.0754832	0.0872132	0.117347	0.190897	0.379471
a96	0.000947232	0.00152377	0.00204402	0.00288082	0.00241253	0.0115183	0.0248119	0.0505029	0.0599384	0.0677901	0.102645	0.196942	0.476043
a70	0.00146992	0.00227971	0.0028235	0.00396329	0.00314403	0.0123567	0.0284141	0.0533294	0.0644703	0.0720753	0.114097	0.204441	0.437135
a11	0.00147102	0.00224951	0.00280316	0.00383708	0.00312703	0.0105569	0.0239761	0.0446998	0.0615411	0.0819571	0.136707	0.218949	0.408124
a36	0.00217302	0.00310601	0.00379692	0.00472354	0.00367558	0.0106708	0.0228765	0.0425525	0.0660129	0.0934537	0.151299	0.211003	0.384656
a26	0.00491405	0.00627418	0.00795149	0.00990801	0.0082738	0.0195826	0.0352927	0.060548	0.0822537	0.110014	0.161875	0.187577	0.305535
a82	0.0171052	0.0152926	0.0193927	0.0239911	0.0275696	0.0551143	0.0738263	0.145382	0.143236	0.117768	0.111654	0.115369	0.134299
a30	0.0309393	0.0243656	0.0261902	0.0320124	0.0401537	0.0845856	0.0909253	0.176261	0.15821	0.118955	0.082036	0.0721655	0.0632005
a97	0.0467061	0.0336697	0.0317916	0.040529	0.0511096	0.0885231	0.086352	0.181729	0.157525	0.110993	0.0743402	0.0538742	0.0428575
a3	0.0465975	0.0399904	0.037413	0.040881	0.0470559	0.0842043	0.09583	0.183092	0.155325	0.103599	0.0708511	0.0516071	0.0435537
a97	0.0505461	0.0488469	0.0455107	0.0474637	0.0506758	0.0856686	0.0964511	0.16677	0.142147	0.0970553	0.0703342	0.0533062	0.0452248
</S>	0.0609972	0.0612265	0.0484049	0.0448838	0.0475154	0.101538	0.102316	0.161491	0.127118	0.0862654	0.0628626	0.049351	0.0460302
