 	les	marques	laissées	par	les	femmes	qui	se	sont	battues	dans	la	savane	m'	ont	stupéfait	</S>
a56	0.00263664	0.00202664	0.00357384	0.00583347	0.00602242	0.0126241	0.0242357	0.0267267	0.0490258	0.0609562	0.0671257	0.0829555	0.0891898	0.0913114	0.116877	0.148614	0.210265
a96	0.00311744	0.0024484	0.00379592	0.00660124	0.00713943	0.014235	0.0268262	0.0282434	0.049817	0.0601154	0.067037	0.0855461	0.0924592	0.0942721	0.115057	0.150899	0.19239
a75	0.00223787	0.00165361	0.00288279	0.00410595	0.00424857	0.00768912	0.0164952	0.0196618	0.0377062	0.0493236	0.0587596	0.075565	0.0796214	0.0838402	0.118113	0.178353	0.259742
a66	0.00464289	0.00504759	0.00569529	0.00888088	0.00886015	0.0141092	0.0246202	0.023875	0.0362237	0.0447338	0.0506696	0.064307	0.064579	0.0692014	0.0918329	0.177944	0.304778
a38	0.000806252	0.000633918	0.000881435	0.00111426	0.00119228	0.00225311	0.00493292	0.00649766	0.0127562	0.0183586	0.0251887	0.035078	0.0417161	0.0504487	0.0859505	0.253335	0.458856
a21	0.000830251	0.000749285	0.000904903	0.000903117	0.000984632	0.0017682	0.00442803	0.00523256	0.0104261	0.0151953	0.0181218	0.0274341	0.0329421	0.0418799	0.0815312	0.273861	0.482807
a96	0.00206936	0.00164391	0.00240181	0.003744	0.00387033	0.00571426	0.0106474	0.0113652	0.0184866	0.0213045	0.0254976	0.0328108	0.0393431	0.0493699	0.0975685	0.251976	0.422187
a75	0.000696126	0.000610109	0.0009354	0.00120781	0.00108195	0.00151681	0.00334759	0.00472217	0.0102211	0.0141842	0.0194295	0.0277106	0.0289417	0.0350518	0.0788927	0.243631	0.527819
a47	0.00198098	0.00260839	0.00361358	0.00544812	0.00524079	0.00728554	0.012559	0.0126223	0.018124	0.0233507	0.0309331	0.0402456	0.0447742	0.0519122	0.0972451	0.239096	0.40296
a44	0.00162117	0.00198066	0.00266248	0.00324529	0.0035595	0.00565252	0.00881582	0.00912406	0.0128562	0.0167792	0.0251183	0.0319404	0.0419672	0.0566398	0.1221	0.293336	0.362602
a66	0.000689189	0.000734389	0.00121007	0.00142192	0.00156804	0.00269757	0.00513161	0.00578555	0.00916589	0.0125516	0.0193976	0.0259251	0.0343218	0.0469417	0.109541	0.29401	0.428907
a38	0.00103647	0.00124352	0.00141204	0.00169829	0.00218186	0.0038622	0.00593806	0.00750871	0.0128255	0.0177774	0.0246427	0.0286217	0.0359843	0.0468069	0.089743	0.272331	0.446387
a82	0.00326651	0.00265704	0.00281047	0.0029166	0.00308558	0.00485853	0.00705235	0.00798631	0.012021	0.0161247	0.0220304	0.0251395	0.0363923	0.0476948	0.0916383	0.268365	0.445961
a9	0.0159978	0.00927712	0.00923359	0.00799241	0.00659154	0.00848981	0.0108037	0.0112145	0.0152283	0.0208242	0.0367834	0.0418078	0.0701758	0.0890979	0.125545	0.215702	0.305235
a87	0.0552415	0.0329754	0.0257723	0.0200002	0.0193008	0.0249091	0.0247929	0.0261343	0.0284931	0.0358116	0.0606388	0.0619405	0.0830647	0.0912852	0.0980773	0.133217	0.178346
a97	0.0697851	0.051263	0.031221	0.0273313	0.0286515	0.0323496	0.0313818	0.0340918	0.0364183	0.045525	0.0603123	0.0619095	0.0795657	0.0859656	0.0822748	0.101243	0.140711
a87	0.0745806	0.0720274	0.0375682	0.0322302	0.0307355	0.0242212	0.0238301	0.0259065	0.0259161	0.0347528	0.0425426	0.044535	0.0545538	0.0649264	0.0749126	0.129058	0.207703
a23	0.0739203	0.0581365	0.0401133	0.0343401	0.0304983	0.0237152	0.0226439	0.0237457	0.0237763	0.028305	0.0363636	0.0396478	0.0508046	0.0596939	0.0721769	0.138288	0.24383
a9	0.0191993	0.0144865	0.0157615	0.0121829	0.00942105	0.0071643	0.00733133	0.00787295	0.00802749	0.0107673	0.0216821	0.0239633	0.0370017	0.0570881	0.103932	0.236526	0.407592
a57	0.0350441	0.0185014	0.0259717	0.0168696	0.0117345	0.00872307	0.00852696	0.00886095	0.00864196	0.0103071	0.0185009	0.0217429	0.034552	0.0526081	0.0910051	0.240992	0.387418
</S>	0.0586478	0.0298001	0.0370529	0.0212165	0.0136256	0.00944352	0.00883621	0.00897843	0.00862248	0.0101029	0.0172906	0.0209655	0.0333012	0.0507689	0.0812216	0.219437	0.370689
