 	le	repas	que	tu	m'	as	donné	est	pourri	car	il	a	été	préparé	depuis	hier	</S>
a61	0.00254422	0.00168049	0.00371574	0.00675694	0.0158279	0.0344619	0.0605413	0.103779	0.242464	0.201753	0.0948715	0.0642357	0.0458437	0.0307118	0.0222678	0.0255737	0.0429717
a31	0.00595799	0.00535058	0.0108364	0.0167117	0.0265841	0.037639	0.0550551	0.093883	0.219348	0.154949	0.0951727	0.0741699	0.0525702	0.0395202	0.0284987	0.0330125	0.0507408
a96	0.00685624	0.00613093	0.011683	0.0174137	0.0282357	0.0394857	0.0555231	0.0872908	0.219707	0.163926	0.0980855	0.0742876	0.0521773	0.0374854	0.0263843	0.0301119	0.0452158
a62	0.00619145	0.0053976	0.0118597	0.017813	0.0288046	0.0408828	0.0567711	0.0828903	0.204533	0.156617	0.0972449	0.0782829	0.057344	0.042509	0.0301222	0.0334495	0.0492866
a0	0.00584013	0.00540254	0.0114469	0.0167034	0.026405	0.0368946	0.0527286	0.0824033	0.212736	0.158623	0.100559	0.0784542	0.0568293	0.0442492	0.0319802	0.0336984	0.0450466
a21	0.00362599	0.00303828	0.00651829	0.0104596	0.0186825	0.0298163	0.0454681	0.0705675	0.214244	0.179885	0.111122	0.084698	0.0629411	0.0444841	0.0295984	0.0327428	0.0521082
a12	0.0152253	0.0147289	0.0239113	0.0300246	0.0388431	0.0440146	0.051565	0.0680984	0.129105	0.110456	0.0890396	0.0838938	0.0687518	0.0585944	0.0501733	0.0574747	0.0661005
a88	0.00685078	0.00657017	0.0134198	0.0202708	0.0319323	0.0411557	0.0535002	0.0730503	0.157035	0.125481	0.0890733	0.0778439	0.0609326	0.0554739	0.0486967	0.0587515	0.0799622
a62	0.00312567	0.00261289	0.00568605	0.00979926	0.0195285	0.0315853	0.0456245	0.0668609	0.172068	0.143111	0.10001	0.0846384	0.0660397	0.0556025	0.0440957	0.0552114	0.0943998
a88	0.00475589	0.00469411	0.00857972	0.0130928	0.0236822	0.0335916	0.045184	0.0616033	0.147548	0.127859	0.0980802	0.0862827	0.0714684	0.0679399	0.0589782	0.0631562	0.0835039
a71	0.00271449	0.00224132	0.00411736	0.00635832	0.0137673	0.0270957	0.04083	0.0592556	0.144972	0.135053	0.099068	0.088711	0.0745672	0.0674003	0.0596851	0.0681589	0.106005
a10	0.00344318	0.00241484	0.00372874	0.00492439	0.00991917	0.0250313	0.0413264	0.0622016	0.139319	0.15356	0.107721	0.0896909	0.0721363	0.0621403	0.0573532	0.065292	0.0997979
a87	0.00601465	0.00384281	0.00496571	0.00627465	0.010742	0.0223913	0.0372554	0.0569231	0.147454	0.16334	0.112544	0.0938558	0.0755685	0.0714737	0.0578033	0.055707	0.0738446
a10	0.0258545	0.0123639	0.0105117	0.00961304	0.0115569	0.0166852	0.0231104	0.0350278	0.0827406	0.129526	0.115216	0.131224	0.118907	0.104258	0.0645848	0.0517737	0.0570462
a50	0.0368852	0.0150878	0.0111767	0.0103777	0.0128632	0.0213963	0.031671	0.0424563	0.0711663	0.108773	0.0950804	0.110764	0.110189	0.111022	0.0819764	0.0648356	0.0642799
a75	0.00507629	0.00199554	0.00208712	0.00245396	0.00403216	0.0109184	0.0229943	0.043383	0.099198	0.142806	0.108997	0.108422	0.0965704	0.0920582	0.0730237	0.0770993	0.108884
a96	0.00062476	0.000465657	0.000721164	0.00111239	0.00214305	0.00388609	0.0055064	0.0105498	0.0251304	0.0296561	0.0326715	0.0391535	0.0432245	0.0585994	0.0932102	0.203817	0.449528
a62	0.000686551	0.000501707	0.000773538	0.00122139	0.00245897	0.00442768	0.00711838	0.0133188	0.0344049	0.0353534	0.0335744	0.0369251	0.0389096	0.0641467	0.101324	0.204475	0.420379
a21	0.00168038	0.00139779	0.00188491	0.00271021	0.00501815	0.00847826	0.0139874	0.0259797	0.06351	0.0595742	0.0560347	0.0594699	0.0613161	0.101289	0.139174	0.174064	0.224431
a85	0.00259445	0.0022718	0.00264259	0.0033702	0.00482993	0.00654996	0.00914877	0.0150173	0.0378338	0.0393587	0.038359	0.0426882	0.0466054	0.07423	0.130489	0.222114	0.321897
a37	0.00245943	0.0027694	0.00546796	0.00810221	0.0115807	0.0150659	0.0174195	0.024831	0.0568787	0.0509252	0.0459095	0.0487876	0.0525802	0.0634011	0.0961869	0.191604	0.306031
a61	0.000762336	0.000644973	0.00129689	0.00231662	0.00496842	0.00874075	0.0134221	0.0215614	0.0651342	0.0584958	0.0473479	0.0469238	0.0457132	0.0681294	0.111843	0.183432	0.319267
a83	0.000446314	0.000376524	0.000657614	0.00121233	0.00275681	0.00533648	0.00923941	0.0168887	0.0592429	0.0572187	0.044562	0.0438446	0.0438892	0.0661812	0.109051	0.186269	0.352827
a75	0.000431305	0.0003488	0.000614066	0.000982513	0.00211866	0.00436032	0.00742494	0.0129823	0.0433504	0.0422587	0.0341097	0.0345223	0.0360695	0.0572126	0.112313	0.216573	0.394328
a47	0.000683828	0.000673416	0.0011922	0.00196739	0.00326146	0.00498484	0.00681143	0.0111147	0.0334333	0.0316419	0.0320706	0.0368554	0.0433898	0.0780697	0.149126	0.234493	0.330231
a44	0.000408262	0.000424041	0.000755669	0.00136718	0.00283015	0.00531141	0.00740306	0.013323	0.0465954	0.039749	0.0365098	0.0381841	0.0410723	0.0664773	0.124564	0.227147	0.347878
a2	0.000300561	0.000251499	0.000363056	0.00057981	0.00127904	0.00295644	0.0048719	0.00887388	0.0284901	0.026534	0.0231202	0.0249146	0.027099	0.0498711	0.114851	0.240197	0.445448
a53	0.00330254	0.00217005	0.00212469	0.00203841	0.00258904	0.00473788	0.00755359	0.0103504	0.0229709	0.0274795	0.0206146	0.0210768	0.0230911	0.0437119	0.106294	0.242057	0.457838
a90	0.000301549	0.000226226	0.000333559	0.000487957	0.00079556	0.00190034	0.00346099	0.00589979	0.0141503	0.0157663	0.0163111	0.0175547	0.0195236	0.0362172	0.0891762	0.221358	0.556537
a69	0.000139094	0.00012146	0.00018543	0.000257797	0.000482565	0.00116113	0.00196186	0.00360508	0.0111842	0.0109306	0.0114808	0.0132171	0.0155078	0.0299582	0.0778281	0.22142	0.600559
a7	0.000106461	9.51308e-05	0.000161636	0.000258001	0.00052196	0.00131395	0.00213717	0.00378807	0.0103121	0.010397	0.0105508	0.0129132	0.0153618	0.0298509	0.0760611	0.229287	0.596884
a84	0.00027242	0.000175335	0.000306513	0.000461365	0.000842775	0.00238826	0.00439653	0.00667954	0.0108497	0.0172029	0.0170577	0.0169637	0.0178446	0.0296722	0.0748579	0.229731	0.570297
a87	0.0159371	0.012293	0.0129592	0.0110114	0.0109756	0.0115541	0.0122163	0.012461	0.0167616	0.0262019	0.0337299	0.0444216	0.0525088	0.0772432	0.141089	0.229077	0.279559
a23	0.0727249	0.0337739	0.0235757	0.0159763	0.0126017	0.011112	0.0110595	0.00979027	0.011857	0.0412047	0.0760955	0.116043	0.130976	0.135415	0.113571	0.094386	0.0898374
a87	0.031399	0.0138456	0.00826491	0.00643097	0.00509204	0.00590099	0.00734707	0.00799744	0.0105585	0.0300283	0.0558514	0.0804144	0.105351	0.146599	0.138857	0.154304	0.191759
</S>	0.00762025	0.00367407	0.00240359	0.0019983	0.00181505	0.00238112	0.00309426	0.00384855	0.00509637	0.0152511	0.0267729	0.0437022	0.0633006	0.0958979	0.129889	0.214218	0.379037
