 	au	bout	d'	un	moment	le	voyageur	a	eu	chaud	et	ôta	son	manteau	</S>
a98	0.000711524	0.000633944	0.00116528	0.0022353	0.00287379	0.00697901	0.0324849	0.0712727	0.0647422	0.0688933	0.0735115	0.0790393	0.0907916	0.175362	0.329304
a88	0.000968053	0.000854809	0.00205635	0.00444704	0.00603203	0.0144896	0.0514528	0.0930125	0.0794993	0.076716	0.0885632	0.100226	0.0932071	0.141809	0.246666
a75	0.000697845	0.000603872	0.00115113	0.00206052	0.00259384	0.00580206	0.02664	0.0650442	0.0616798	0.0676504	0.0754218	0.0845122	0.087074	0.156195	0.362874
a15	0.00231769	0.00192761	0.00423233	0.00838986	0.00907252	0.020451	0.0694902	0.112934	0.0866842	0.080205	0.0986752	0.132467	0.0798248	0.099395	0.193934
a44	0.0011268	0.00115016	0.00293423	0.00666259	0.00819832	0.0180387	0.061039	0.0932012	0.0697626	0.0755484	0.0865324	0.118768	0.09529	0.128668	0.23308
a54	0.000499358	0.000418575	0.000891333	0.00198448	0.00247698	0.0063423	0.0292263	0.0633121	0.0517077	0.0559234	0.0655584	0.0906144	0.0909551	0.155845	0.384245
a79	0.00106978	0.000843901	0.00159081	0.00329603	0.00403587	0.0094866	0.0356343	0.0742918	0.062308	0.0711644	0.0897825	0.122703	0.0924798	0.128001	0.303312
a54	0.000888206	0.000761777	0.00161191	0.00324176	0.00417584	0.0113311	0.0514035	0.103503	0.0826643	0.0831526	0.103287	0.127932	0.0947689	0.11502	0.216258
a36	0.0010771	0.000886187	0.00179701	0.00349606	0.00414761	0.010829	0.0467277	0.0917433	0.070009	0.0749315	0.0954257	0.129539	0.0942753	0.118015	0.2571
a40	0.000341959	0.00024182	0.000370032	0.000688902	0.000686794	0.00152834	0.0074307	0.0223787	0.0196748	0.0283909	0.0349628	0.0577529	0.0736446	0.159479	0.592428
a36	0.00125074	0.000839636	0.00128361	0.00213346	0.00209253	0.00477805	0.0184843	0.0433751	0.0394663	0.0500962	0.0696578	0.102559	0.0868521	0.134464	0.442668
a11	0.000602262	0.000412581	0.000521194	0.000795924	0.000716035	0.00148991	0.00574212	0.0172008	0.0162242	0.0261072	0.0344871	0.0640278	0.0797361	0.169544	0.582393
a90	0.000476846	0.000316834	0.000398118	0.000621359	0.000575893	0.00110189	0.00411888	0.0113092	0.0105864	0.0200914	0.0241514	0.0471128	0.0734164	0.186697	0.619026
a15	0.000434264	0.000308318	0.00050921	0.000934169	0.00106463	0.00250526	0.0113587	0.0294044	0.0263713	0.0377239	0.0508247	0.0829617	0.0909468	0.171954	0.492698
a69	0.000691671	0.000536175	0.000864965	0.00152353	0.00146217	0.00392567	0.0192083	0.0464858	0.0364913	0.0455719	0.0626815	0.106699	0.0976102	0.151908	0.42434
a58	0.000233213	0.000197611	0.000288794	0.000485229	0.000443436	0.00117474	0.00679678	0.019269	0.0151613	0.0216722	0.0280363	0.0580357	0.0667426	0.156219	0.625244
a54	0.00032795	0.000240691	0.000271922	0.000352827	0.000295788	0.000563508	0.002208	0.00666542	0.00604589	0.012314	0.014689	0.0371848	0.0579272	0.166934	0.693978
a79	0.000377193	0.000306863	0.000431889	0.000658342	0.000570447	0.00134482	0.00641351	0.0173799	0.0145709	0.0228659	0.0318078	0.0744405	0.0708084	0.164065	0.593958
a44	0.000373677	0.000361813	0.000585305	0.000942041	0.000962028	0.002713	0.0148437	0.0384274	0.0308082	0.0429267	0.0578789	0.0943317	0.0869621	0.151957	0.475927
a70	6.61369e-05	6.0586e-05	9.79134e-05	0.000173995	0.000174114	0.000398064	0.00213683	0.00653676	0.00528413	0.0103247	0.0125134	0.0265104	0.0479869	0.158006	0.729731
a54	0.000136938	0.000116834	0.000187446	0.000279919	0.000252615	0.000438019	0.00175098	0.00555564	0.00507155	0.0133982	0.0151233	0.0331233	0.0563018	0.164503	0.70376
a44	0.000186734	0.000167796	0.000279014	0.000531085	0.000481944	0.00114823	0.00502932	0.0143434	0.0113053	0.0199148	0.0255772	0.0496066	0.0582321	0.157155	0.656041
a38	0.000193897	0.0001737	0.000226163	0.00033767	0.000304672	0.000652108	0.00251562	0.00622686	0.00523517	0.0111484	0.0141549	0.03789	0.0570491	0.178424	0.685467
a50	0.00030794	0.000232562	0.00026573	0.000370329	0.000311864	0.000611056	0.00222905	0.00578148	0.00514834	0.0136668	0.0174597	0.046299	0.0756446	0.201231	0.630441
a83	0.000257588	0.000219455	0.00026244	0.000361216	0.000322306	0.000614186	0.00218265	0.00544405	0.00522496	0.0135414	0.0169619	0.0397442	0.0580798	0.166252	0.690532
a9	0.000372485	0.000294843	0.000302806	0.000361	0.000319433	0.000659186	0.00276053	0.00785878	0.00751384	0.018724	0.0235314	0.0544561	0.069586	0.178399	0.634861
a99	0.00401887	0.00240169	0.00221861	0.00221684	0.00177889	0.00336718	0.0127874	0.024792	0.0185316	0.0326785	0.0440832	0.100793	0.0888632	0.172523	0.488946
a97	0.0177103	0.00881079	0.00659822	0.00553234	0.00422177	0.00745319	0.0214582	0.0327677	0.0243263	0.0415966	0.0551156	0.125002	0.110309	0.16191	0.377187
a87	0.0925627	0.045395	0.0304098	0.0207277	0.0137097	0.021754	0.0414517	0.056252	0.0459738	0.0563123	0.0767244	0.119497	0.089638	0.0961661	0.193426
a23	0.103225	0.0595661	0.0448017	0.0345484	0.0254151	0.0437167	0.0759422	0.0882577	0.0776175	0.0618483	0.0830724	0.104393	0.0612634	0.0522984	0.0840351
a87	0.107346	0.0641159	0.0390056	0.0312631	0.0205604	0.0302625	0.0564625	0.0572355	0.0459079	0.049419	0.0687959	0.0931567	0.0830435	0.0899494	0.163476
a23	0.0717023	0.0478827	0.0340376	0.0377935	0.0237382	0.0474035	0.085284	0.064629	0.0437961	0.0397242	0.0532274	0.0966343	0.0746846	0.0802264	0.199236
a87	0.0807029	0.0577237	0.0397562	0.0363416	0.0239023	0.0364232	0.0662106	0.0681016	0.0553134	0.0536887	0.0744032	0.0998819	0.0815666	0.0823623	0.143622
a23	0.0816002	0.0683151	0.0544647	0.0584622	0.0362579	0.0575955	0.0828202	0.0654267	0.0495897	0.0382645	0.0542179	0.0848042	0.0644984	0.0651235	0.138559
a87	0.0872823	0.067511	0.0536676	0.0588775	0.0398024	0.0630535	0.0867725	0.0751061	0.0611446	0.0484192	0.0648459	0.0804935	0.060831	0.0585719	0.093621
</S>	0.108918	0.0843624	0.0701648	0.0766379	0.0490506	0.0696301	0.0732131	0.0540639	0.0416113	0.0307272	0.0400065	0.0548227	0.0521303	0.0600622	0.134599
