 	ils	sont	tombés	d'	accord	que	celui	qui	arriverait	à	faire	ôter	son	manteau	au	voyageur	serait	vu	comme	le	plus	fort	</S>
a58	0.00197302	0.00145689	0.00288893	0.00512927	0.0099155	0.0184322	0.0179369	0.0381622	0.0311369	0.0729594	0.0630328	0.0586385	0.093991	0.100444	0.0659553	0.0561189	0.0322639	0.0302742	0.0374005	0.0366211	0.0471165	0.0742851	0.103867
a40	0.0020199	0.00134689	0.00215915	0.0040786	0.00791731	0.0140689	0.0134282	0.0326506	0.0244243	0.0609786	0.0523347	0.0521808	0.0901538	0.093114	0.054939	0.0487337	0.029835	0.0237285	0.0361238	0.039233	0.0567199	0.0989408	0.160891
a37	0.00459842	0.00369247	0.00610562	0.00855555	0.0133173	0.0196427	0.0219457	0.0352646	0.0308403	0.0652248	0.0599359	0.0572714	0.0754159	0.0994607	0.0687864	0.0569053	0.0313907	0.0315383	0.0408925	0.0393382	0.0513306	0.075012	0.103535
a54	0.00122956	0.000956554	0.00190563	0.00361965	0.00697995	0.0122882	0.0133343	0.0286769	0.0235706	0.0565757	0.0494677	0.0480936	0.079134	0.0964805	0.0571149	0.050639	0.0241172	0.0198973	0.0314609	0.0352803	0.0570514	0.109431	0.192695
a47	0.00230808	0.00203658	0.00345865	0.00423916	0.00741516	0.0138329	0.0152343	0.032533	0.0263552	0.0671128	0.0620813	0.0589874	0.0807401	0.109088	0.0726609	0.0615577	0.0284034	0.027598	0.0347134	0.0320817	0.0483195	0.0837317	0.125511
a7	0.00172069	0.00161219	0.00274649	0.00292991	0.0051882	0.0101367	0.0114954	0.0282951	0.0235324	0.0692241	0.0660556	0.0598296	0.0935798	0.101113	0.064396	0.0605752	0.0264378	0.0254533	0.0317518	0.029008	0.0456961	0.0868527	0.15237
a2	0.00159593	0.00125711	0.00203484	0.00253623	0.00414464	0.00698449	0.00787791	0.0193433	0.0130458	0.0411551	0.0381783	0.0369522	0.067536	0.074777	0.039983	0.0399469	0.0190198	0.0165252	0.0282613	0.0290474	0.0595211	0.142029	0.308247
a27	0.00307597	0.00226867	0.00331547	0.0030964	0.00350261	0.0050578	0.00540412	0.011946	0.00819675	0.0262089	0.0262033	0.0293764	0.0562958	0.0658726	0.0326346	0.0328238	0.0155788	0.0144542	0.0311941	0.0352342	0.0741739	0.169838	0.344248
a62	0.0130064	0.00778827	0.00918703	0.00578191	0.00491615	0.00678495	0.00734204	0.0143506	0.011131	0.0299395	0.0316707	0.0366327	0.0684446	0.0802042	0.0413595	0.0437231	0.022959	0.0206563	0.042857	0.0492394	0.088417	0.154304	0.209305
a96	0.000962007	0.000608504	0.000889059	0.00120803	0.00217238	0.00379711	0.00404824	0.00933856	0.00761546	0.021871	0.0209111	0.0225209	0.0439824	0.0565744	0.0264937	0.027098	0.0130555	0.0109735	0.0261433	0.0318582	0.0737675	0.192114	0.401998
a54	0.000816496	0.000517378	0.000851398	0.00124037	0.00240124	0.00428435	0.00457894	0.0108101	0.00881852	0.0243071	0.0229975	0.0252929	0.0464296	0.059337	0.0289721	0.0295058	0.0160475	0.0133238	0.0302822	0.036285	0.0817704	0.192529	0.358602
a44	0.00145019	0.00116383	0.00231319	0.0028438	0.00467197	0.00773936	0.00892569	0.0190022	0.0137301	0.0382979	0.036288	0.0362642	0.0511404	0.0716388	0.0444336	0.0415079	0.0202333	0.018951	0.0304138	0.0325032	0.0648804	0.159584	0.292023
a26	0.000753568	0.00057129	0.00101469	0.00146573	0.00270282	0.00484051	0.00524959	0.0122598	0.00948382	0.027405	0.0255168	0.0265244	0.0464981	0.0609421	0.0328536	0.0335731	0.0146769	0.0132284	0.0266773	0.030667	0.0677189	0.181891	0.373485
a96	0.000821956	0.000505962	0.000811017	0.000923613	0.00127912	0.00221654	0.00249199	0.00642369	0.00415631	0.0144629	0.0146515	0.0168164	0.039259	0.0482525	0.0200672	0.0247865	0.0109447	0.00861031	0.0234265	0.0318569	0.0770173	0.212525	0.437694
a70	0.00108386	0.000647031	0.000776107	0.000917048	0.00158805	0.00266971	0.00321773	0.00754524	0.00569809	0.0144797	0.0166265	0.0207276	0.0380096	0.0512006	0.0260931	0.029254	0.0137634	0.0118265	0.0302611	0.039828	0.0884395	0.207652	0.387695
a99	0.00079239	0.000477465	0.000820937	0.000945143	0.00143092	0.00247006	0.00276462	0.00681569	0.00462576	0.013992	0.0157971	0.0183746	0.0417941	0.0519066	0.0233648	0.0273683	0.0128787	0.0102862	0.0279424	0.0380489	0.0864393	0.220092	0.390572
a83	0.00145307	0.000863334	0.00162053	0.00160945	0.00197907	0.00323265	0.00341847	0.0094584	0.00588052	0.0202031	0.0204678	0.0217691	0.0547986	0.0587426	0.0252913	0.0317066	0.0150905	0.0118161	0.0320695	0.0423357	0.0899235	0.20199	0.34428
a53	0.000989308	0.00061035	0.000916925	0.00103722	0.00164878	0.00279647	0.00328988	0.00777718	0.00578343	0.0158913	0.01784	0.0207534	0.0420148	0.0532734	0.0256159	0.0300753	0.0140469	0.0110648	0.0281504	0.0374274	0.084582	0.204929	0.389486
a4	0.000690112	0.000446352	0.000692413	0.000849629	0.00165706	0.00297649	0.00337346	0.00925959	0.00691671	0.0194046	0.0201757	0.0262798	0.0434396	0.0579671	0.0288089	0.0324207	0.0152707	0.0126884	0.0310223	0.0372136	0.0829153	0.199561	0.365971
a57	0.000432497	0.00029927	0.000577033	0.000855464	0.0017186	0.00323232	0.00360239	0.00869446	0.00782802	0.0202949	0.0201706	0.0244888	0.0420063	0.068697	0.035395	0.0383773	0.0171785	0.013518	0.0301293	0.0365958	0.0747252	0.195618	0.355566
a54	0.000362815	0.000243673	0.000553627	0.000711264	0.00118671	0.00215966	0.00228475	0.00663178	0.00482585	0.0154283	0.0163084	0.0173116	0.0406425	0.0498713	0.0241941	0.0292956	0.0123915	0.00994538	0.0250604	0.0314234	0.0736847	0.215146	0.420337
a44	0.000659193	0.000552916	0.00137082	0.00153289	0.00229275	0.00380061	0.00402167	0.00890574	0.00644619	0.02064	0.0197093	0.0211699	0.0354639	0.0611552	0.0311096	0.0343029	0.0137968	0.0131213	0.0280579	0.0319885	0.0722319	0.186533	0.401137
a26	0.000610715	0.000390439	0.000789729	0.000797861	0.0011998	0.00194604	0.00220457	0.00550852	0.00366741	0.0112972	0.0118108	0.0142638	0.0296647	0.037171	0.0178758	0.0219671	0.00956338	0.00848522	0.0249956	0.0323224	0.0836888	0.235273	0.444506
a57	0.00194117	0.0011722	0.002028	0.00189144	0.00229132	0.00366167	0.00402896	0.00916979	0.00530904	0.0161751	0.0143984	0.0129055	0.0348097	0.0362863	0.0166591	0.023322	0.0104954	0.00840191	0.0249042	0.0357077	0.0769145	0.219552	0.437975
a30	0.0229603	0.0129918	0.0140907	0.00914932	0.00767456	0.00995545	0.0102093	0.0158525	0.0103526	0.0214069	0.0192306	0.0163474	0.0368516	0.0359625	0.0218282	0.0336865	0.0251914	0.0214161	0.0452706	0.0592236	0.0897098	0.176603	0.284035
a57	0.0455679	0.0262394	0.0253272	0.0160029	0.0133802	0.0158856	0.0157617	0.0218128	0.0162933	0.0278684	0.0250577	0.0216191	0.0385305	0.0365061	0.0268992	0.0440795	0.039436	0.0330464	0.0582988	0.0707978	0.0855952	0.12729	0.168705
a87	0.0778219	0.0472666	0.0343696	0.0181749	0.0139823	0.0160307	0.0149751	0.0200294	0.017761	0.0282041	0.0267801	0.0228027	0.0322841	0.030372	0.0285522	0.0483164	0.058456	0.0453974	0.0713783	0.0746103	0.0762888	0.0891468	0.106999
a23	0.0791012	0.0545873	0.0349454	0.0173573	0.0123767	0.0161727	0.0138461	0.0209963	0.0192187	0.0335734	0.0347344	0.0268818	0.0321257	0.0254456	0.0307505	0.0513665	0.0607306	0.0513544	0.0680652	0.0613182	0.070534	0.0852414	0.0992767
a87	0.0788647	0.0476704	0.0226247	0.0143465	0.0140072	0.0194094	0.0157447	0.0240397	0.0219639	0.0353807	0.0344538	0.0344765	0.0442799	0.0345015	0.0371725	0.0519107	0.0504196	0.060605	0.0615197	0.0550384	0.0594676	0.0698311	0.112272
a23	0.0652095	0.043604	0.019753	0.0144941	0.0165546	0.022948	0.0194684	0.0267084	0.0292019	0.0441416	0.0438098	0.0415288	0.0517823	0.0385687	0.0408954	0.057962	0.0499011	0.0545036	0.0575782	0.0478333	0.0503361	0.0578685	0.105349
a87	0.0756044	0.051715	0.0259108	0.0217771	0.0231854	0.0310942	0.0246897	0.0283432	0.0334709	0.0408166	0.0433795	0.0378083	0.0429955	0.0353175	0.0445523	0.060744	0.057114	0.0555166	0.0509217	0.0438976	0.0409881	0.0471034	0.0830541
</S>	0.0742973	0.050827	0.0246131	0.0189443	0.0206312	0.0276408	0.0215923	0.0260117	0.0312752	0.040444	0.0404903	0.0356786	0.0443583	0.0332041	0.0393809	0.0590176	0.0573586	0.0564595	0.056817	0.0469935	0.0461048	0.0516719	0.0961878
