 	en	se	livrant	à	n'	importe	quel	homme	tu	finiras	avec	un	diable	</S>
a93	0.0219109	0.0134429	0.0119337	0.0239544	0.0254013	0.0235543	0.0255791	0.0625273	0.0829094	0.109806	0.0933948	0.0750074	0.104096	0.326482
a62	0.00265619	0.00179135	0.00263512	0.00602301	0.00649608	0.010013	0.0114603	0.0329436	0.0467554	0.0741959	0.0764521	0.0693566	0.135005	0.524216
a88	0.000432349	0.000457657	0.000568162	0.00145222	0.00255611	0.00717106	0.00900269	0.0271569	0.0351115	0.0404614	0.0445859	0.0486949	0.167372	0.614977
a71	0.000311723	0.000335468	0.000606298	0.00169087	0.00294518	0.00790433	0.0112356	0.0328594	0.041647	0.0491971	0.0496883	0.0493265	0.148949	0.603303
a9	0.0011517	0.00097379	0.00218826	0.00813374	0.00992318	0.013834	0.0189812	0.0587761	0.078758	0.110524	0.0785139	0.0625486	0.127681	0.428012
a99	0.0135717	0.0104832	0.0111353	0.0232322	0.023628	0.0235786	0.0301333	0.0730054	0.0948692	0.10634	0.0866029	0.0785753	0.139451	0.285394
a87	0.0398965	0.0193104	0.0140003	0.0299938	0.0309218	0.0283571	0.0317879	0.0686058	0.0757766	0.0882917	0.0933351	0.0935552	0.164304	0.221864
a23	0.0614558	0.0281848	0.0172058	0.0411185	0.0397124	0.038216	0.0304037	0.0530708	0.0485264	0.0535542	0.0825787	0.098643	0.17068	0.23665
a99	0.0260664	0.0129605	0.00877969	0.0192456	0.0198304	0.0274185	0.0172013	0.0257938	0.0256436	0.0310135	0.0601063	0.0888208	0.28782	0.3493
a97	0.0127651	0.00609799	0.00519337	0.015866	0.0160583	0.0304327	0.0167189	0.0392303	0.0419076	0.0573046	0.0986764	0.117226	0.249755	0.292768
a27	0.0257699	0.0136619	0.0101798	0.0267554	0.0249764	0.0341093	0.0193417	0.0414439	0.0444076	0.0593866	0.0837448	0.0836281	0.191939	0.340656
</S>	0.0270506	0.0154893	0.0123404	0.0333391	0.032044	0.0389346	0.0223684	0.0494383	0.0504458	0.0678664	0.0884825	0.0816173	0.165739	0.314844
