 	quel	est	parmi	vous	la	personne	qui	fait	partir	les	gens	en	europe	</S>
a75	0.012191	0.0135792	0.0212952	0.0420998	0.0957592	0.144051	0.173183	0.153435	0.107263	0.067111	0.0453342	0.0400743	0.0357753	0.0488486
a85	0.0217561	0.0203258	0.0286943	0.0434285	0.0945916	0.150792	0.178231	0.147198	0.115772	0.0744186	0.0455557	0.0327168	0.0217235	0.0247965
a21	0.0296434	0.0293164	0.0393583	0.0563352	0.110981	0.16732	0.177987	0.129839	0.0934893	0.0564874	0.0355448	0.0280056	0.0215555	0.0241373
a88	0.0192708	0.0185867	0.0248401	0.0372585	0.0741424	0.142805	0.194419	0.17651	0.13646	0.0743368	0.0392119	0.0275865	0.0177937	0.0167797
a71	0.0104253	0.0089553	0.0109995	0.0156247	0.0335353	0.0822309	0.152913	0.182525	0.17667	0.123449	0.0775059	0.0539295	0.0331449	0.0380908
a38	0.00510706	0.00506505	0.0062967	0.00932265	0.0173547	0.0380541	0.081588	0.120372	0.130697	0.101275	0.0918851	0.0894294	0.120523	0.18303
a90	0.00980688	0.00851376	0.0105577	0.0145016	0.0235156	0.0428712	0.0780406	0.10622	0.118296	0.0929075	0.0934376	0.093183	0.117551	0.190597
a25	0.0116934	0.00871773	0.0103144	0.0131357	0.020551	0.0373262	0.0706167	0.0995519	0.123464	0.10738	0.112728	0.114945	0.117257	0.152318
a56	0.0112718	0.00937357	0.011163	0.014707	0.0214332	0.0320845	0.0510097	0.0744769	0.104809	0.110953	0.124862	0.133383	0.137619	0.162854
a0	0.00568231	0.00438882	0.00492505	0.00655203	0.0110706	0.0213566	0.0407706	0.0612502	0.0857696	0.0928766	0.134798	0.166061	0.189521	0.174978
a75	0.00408734	0.00315228	0.0032901	0.00407893	0.00676304	0.0131972	0.0251425	0.0411649	0.0635743	0.0754756	0.126883	0.169171	0.24207	0.221949
a5	0.00747514	0.00553079	0.00575473	0.00673964	0.00881182	0.012354	0.0192248	0.0240548	0.0330548	0.0358885	0.0662802	0.107923	0.235684	0.431223
a66	0.00535758	0.00390783	0.00413522	0.00515278	0.00843669	0.0157332	0.0271991	0.0369558	0.0503263	0.054531	0.09344	0.135831	0.24168	0.317314
a61	0.00108852	0.00102993	0.00109544	0.00139561	0.00211993	0.0039748	0.00710963	0.0107552	0.0152281	0.0167944	0.0337911	0.0572148	0.24656	0.601843
a24	0.00171562	0.0011918	0.00125254	0.00161695	0.00250996	0.00476874	0.0090088	0.014406	0.0230979	0.0284547	0.0611028	0.0968725	0.271343	0.482659
a62	0.0015476	0.00116819	0.00104713	0.0011091	0.00157137	0.00336713	0.00675047	0.0116374	0.0210563	0.0263188	0.054868	0.0819237	0.24884	0.538795
a75	0.00076318	0.000668954	0.000623748	0.000696398	0.00108147	0.00256996	0.00581661	0.010905	0.0193932	0.0238135	0.047383	0.0733915	0.250087	0.562806
a36	0.00092852	0.000709267	0.000714096	0.00089481	0.0014378	0.00296418	0.00556418	0.0080869	0.0120286	0.0132957	0.0281263	0.0464059	0.222317	0.656527
a27	0.000695913	0.000517837	0.000441113	0.000410009	0.000493765	0.000791428	0.0017716	0.00269499	0.00408267	0.00430451	0.0130376	0.0306959	0.219243	0.720819
a82	0.00812701	0.00473556	0.00309435	0.00208359	0.00176564	0.002048	0.00292773	0.00304079	0.00454878	0.00542687	0.016959	0.0364778	0.201329	0.707436
a97	0.0282924	0.0226037	0.0152729	0.00960063	0.00737406	0.00671784	0.00783533	0.00805135	0.0157501	0.0225657	0.0585705	0.0978925	0.25218	0.447293
a87	0.0567967	0.0504614	0.0342286	0.019212	0.0142295	0.0134559	0.0189264	0.025512	0.0460519	0.0541576	0.0874734	0.114379	0.194135	0.270981
a23	0.0670121	0.0542778	0.0341624	0.0204482	0.0180899	0.0210219	0.0289322	0.0357898	0.0511409	0.0566163	0.0764704	0.0998356	0.169524	0.266678
a87	0.0174544	0.0144594	0.0108946	0.00891178	0.00790637	0.00794139	0.0107362	0.0138489	0.0247724	0.0309947	0.0547228	0.0820364	0.197853	0.517467
a97	0.00425087	0.00386703	0.00255822	0.00204658	0.00235402	0.00328586	0.00479242	0.0062003	0.012115	0.0157513	0.0300016	0.0471044	0.178777	0.686895
</S>	0.0120488	0.0108798	0.00622814	0.00417139	0.00503189	0.00681513	0.00960964	0.0120284	0.019712	0.0234955	0.0372426	0.0534926	0.165422	0.633822
