 	un	match	de	foot-ball	a	eu	lieu	hier	à	nganya	</S>
a96	0.00118377	0.00199509	0.00422824	0.015731	0.0236366	0.050309	0.0872276	0.153415	0.148635	0.163243	0.350396
a75	0.000893847	0.00140746	0.00310412	0.0104702	0.0150038	0.0310088	0.0600081	0.118983	0.11311	0.168781	0.47723
a6	0.00149637	0.0024498	0.00456336	0.0138562	0.0180176	0.0368299	0.06274	0.11697	0.116881	0.167821	0.458375
a5	0.00130846	0.0021721	0.00381013	0.0103165	0.0147877	0.0324568	0.0556343	0.111501	0.0996896	0.123469	0.544855
a21	0.00110874	0.00168534	0.0031075	0.00839897	0.00978773	0.019349	0.0396224	0.0844517	0.0801009	0.14455	0.607837
a5	0.000758748	0.00106283	0.00197604	0.00404939	0.00494573	0.00990989	0.021827	0.0541913	0.052996	0.139181	0.709102
a85	0.000704251	0.00101089	0.00196388	0.00418763	0.00494172	0.0092416	0.019111	0.0480693	0.0472183	0.136593	0.726958
a47	0.00180938	0.00239426	0.00388903	0.00717479	0.0109699	0.0248283	0.0378637	0.076661	0.0743414	0.108254	0.651814
a36	0.00316056	0.00358016	0.00449996	0.00482177	0.00720443	0.0169554	0.027982	0.0525417	0.046137	0.0850217	0.748095
a2	0.00611247	0.00541321	0.00710331	0.00706614	0.0101539	0.019067	0.0306361	0.0563801	0.0499848	0.107995	0.700088
a53	0.0403607	0.0294241	0.0355577	0.0374229	0.0523988	0.0600983	0.0676249	0.105188	0.109498	0.134807	0.32762
a20	0.00217027	0.0017923	0.00272549	0.00292285	0.00603013	0.0140486	0.0220475	0.0461299	0.0506687	0.168612	0.682852
a7	0.000836137	0.00113293	0.00199925	0.00270072	0.004334	0.0103079	0.0192894	0.0471676	0.0476208	0.104273	0.760338
a84	0.00100304	0.000960493	0.00165412	0.00199413	0.00410866	0.00897081	0.018716	0.045997	0.0461796	0.178827	0.69159
a87	0.0118033	0.00850713	0.00914742	0.010161	0.0185197	0.0287814	0.0459879	0.0913467	0.082449	0.220413	0.472883
a23	0.0431733	0.0207564	0.0180918	0.0186314	0.0403867	0.0561862	0.0812934	0.125129	0.127904	0.167208	0.30124
a87	0.0315358	0.0156296	0.0191184	0.012104	0.0293787	0.0567694	0.0971335	0.104968	0.107691	0.179424	0.346248
</S>	0.0203633	0.0109632	0.0169588	0.0120424	0.0269525	0.0544003	0.0824304	0.0750818	0.0674388	0.129616	0.503753
