 	donne-lui	un	pain	parmi	les	pains	que	j'	ai	ramenés	</S>
a36	0.098518	0.0938095	0.104455	0.115297	0.133217	0.123699	0.118583	0.0742055	0.0423308	0.0385687	0.0573159
a7	0.0940087	0.0856649	0.0987723	0.100879	0.123998	0.115687	0.137356	0.0927436	0.0541334	0.0489046	0.0478523
a90	0.0991073	0.104038	0.115314	0.101986	0.12473	0.112753	0.126461	0.0895771	0.0498944	0.0410565	0.0350839
a15	0.067598	0.0642845	0.0821588	0.0852094	0.116053	0.117871	0.151593	0.118741	0.0754412	0.0532093	0.0678424
a20	0.0421889	0.0407371	0.056445	0.0576875	0.0852779	0.0894864	0.144769	0.13163	0.100913	0.0950832	0.155783
a58	0.0380479	0.0412874	0.0635333	0.0570259	0.087177	0.0819888	0.135762	0.139303	0.105104	0.0871801	0.16359
a84	0.0564927	0.0730807	0.0909674	0.0661682	0.0934829	0.0823503	0.101811	0.116028	0.0837147	0.07516	0.160744
a10	0.0859452	0.0940069	0.102027	0.0813656	0.101816	0.103388	0.112788	0.104247	0.0624949	0.0635846	0.0883364
a54	0.0552678	0.0425829	0.0453673	0.0426502	0.0466059	0.0734064	0.0745354	0.0899466	0.103969	0.229255	0.196414
a47	0.0164234	0.0108332	0.0106608	0.00950142	0.00921737	0.0138785	0.0172154	0.034531	0.0911643	0.26636	0.520215
a37	0.00466988	0.00415789	0.0063774	0.00591818	0.0105208	0.0143208	0.0332434	0.0577717	0.0829733	0.257587	0.52246
a79	0.00775886	0.00929066	0.0138268	0.0123421	0.0226514	0.0273491	0.0545332	0.0895941	0.115568	0.25921	0.387875
a7	0.00494952	0.00533982	0.00915122	0.00858754	0.0159428	0.0195778	0.0530645	0.0894903	0.110652	0.284109	0.399135
a79	0.0117559	0.0154939	0.0203797	0.0165419	0.0274255	0.0289881	0.0452653	0.0774041	0.113882	0.247066	0.395798
a98	0.0114954	0.0124549	0.0171429	0.0154827	0.0234999	0.0254738	0.0512065	0.0836849	0.1162	0.256014	0.387344
a47	0.00370076	0.00403441	0.00648675	0.00585784	0.00998726	0.0106213	0.024596	0.0421375	0.0627974	0.226947	0.602834
a85	0.00265525	0.002456	0.00341216	0.00289733	0.00399357	0.00351072	0.00651105	0.0160611	0.0415955	0.161079	0.755828
a92	0.00116427	0.001278	0.00190198	0.0015073	0.00252022	0.0024366	0.00494618	0.013815	0.0325057	0.134815	0.80311
a21	0.00246908	0.00271384	0.00389087	0.00325737	0.00467845	0.00441442	0.00779512	0.0180457	0.0434582	0.163951	0.745326
a5	0.00870216	0.00822139	0.0100905	0.00789045	0.0104159	0.00956764	0.0127325	0.0247921	0.0413002	0.122651	0.743636
a36	0.00654835	0.00560556	0.00718321	0.00537032	0.00612105	0.00464405	0.00799495	0.0216286	0.0374031	0.122115	0.775385
a37	0.00628418	0.00620188	0.00708766	0.00421127	0.00411751	0.00237679	0.00372796	0.0124392	0.0346195	0.163658	0.755276
a26	0.00591235	0.00649352	0.00748697	0.0046312	0.004559	0.0025573	0.00334568	0.00957399	0.0344876	0.185321	0.735631
a36	0.0424015	0.0334013	0.0303429	0.0196613	0.0167343	0.0153703	0.0229382	0.0543354	0.0957194	0.179668	0.489427
a2	0.0941506	0.0526751	0.0460882	0.0350738	0.0290884	0.0357462	0.0540792	0.0956248	0.117273	0.139016	0.301184
a57	0.187837	0.0775277	0.0790731	0.0715888	0.0537024	0.0567724	0.0737357	0.0950262	0.0803389	0.0777557	0.146642
a87	0.167566	0.0922533	0.100003	0.0887238	0.0709627	0.0762628	0.0861011	0.111749	0.0923479	0.0556379	0.0583922
a23	0.116121	0.0747935	0.0816016	0.0675676	0.0614586	0.0772482	0.102403	0.14317	0.122935	0.07328	0.0794211
a87	0.111523	0.0477514	0.0650435	0.0457879	0.0430116	0.0520031	0.0753013	0.102929	0.0871434	0.092068	0.277438
a23	0.0527108	0.0262342	0.0392547	0.0299331	0.0296617	0.0359459	0.0384561	0.0516103	0.0513392	0.098796	0.546058
a87	0.0525829	0.028338	0.0438011	0.0332056	0.0339672	0.0400064	0.0521997	0.07866	0.0865153	0.129314	0.42141
a23	0.0680962	0.0324977	0.0494047	0.0394265	0.0353341	0.0406404	0.0448848	0.0626284	0.0663338	0.115108	0.445646
</S>	0.0573256	0.0297286	0.0466488	0.0396535	0.0361639	0.0408251	0.05249	0.0867579	0.109054	0.146907	0.354446
