 	nous	avons	tué	un	serpent	à	deux	têtes	dans	le	jardin	</S>
a70	0.0379306	0.0597586	0.07257	0.108723	0.138315	0.15046	0.134708	0.0894697	0.0620239	0.0514688	0.0455945	0.0489774
a83	0.0175493	0.0273583	0.0369898	0.0697279	0.113588	0.152643	0.147832	0.112967	0.089513	0.0794562	0.0689928	0.0833829
a66	0.0135746	0.0193472	0.0254583	0.0506499	0.091226	0.141459	0.147475	0.120192	0.112018	0.102226	0.0799249	0.0964488
a93	0.00411488	0.00548671	0.00833883	0.0204327	0.0556645	0.155887	0.22016	0.192386	0.12649	0.0849507	0.0587707	0.0673181
a13	0.00916909	0.0118908	0.0153537	0.0297434	0.0566712	0.103631	0.118258	0.108177	0.12711	0.154673	0.12513	0.140193
a38	0.00360281	0.00444023	0.005987	0.0128051	0.0322175	0.103009	0.163391	0.159638	0.144722	0.13632	0.103393	0.130474
a56	0.00273037	0.00327017	0.00373397	0.00641155	0.0137809	0.0509992	0.110582	0.128177	0.126886	0.146142	0.155085	0.252202
a75	0.00357147	0.00304521	0.00325984	0.00536136	0.00924974	0.0265605	0.046718	0.0591655	0.0816497	0.140513	0.222586	0.39832
a92	0.00192657	0.00210435	0.00241683	0.00388095	0.00670435	0.0185608	0.0364285	0.0405758	0.0563913	0.115176	0.260741	0.455094
a56	0.00233813	0.0027616	0.00292781	0.00481952	0.00833405	0.0233653	0.0470757	0.0485976	0.063479	0.117012	0.24279	0.436499
a75	0.00176568	0.00170442	0.00184254	0.00318808	0.00614089	0.020007	0.0460573	0.0511003	0.0768972	0.166943	0.285207	0.339146
a79	0.00142742	0.00174533	0.00164723	0.00244867	0.00409905	0.0113742	0.031041	0.034459	0.0511558	0.125976	0.286944	0.447682
a44	0.00130639	0.0014551	0.00122157	0.00171557	0.00273858	0.00792757	0.0236854	0.0248497	0.0371297	0.0973623	0.290162	0.510446
a93	0.000584935	0.000673615	0.000610523	0.000821972	0.00131063	0.00413361	0.0145816	0.0185753	0.028753	0.0887593	0.298106	0.54309
a98	0.000695654	0.000718923	0.000718694	0.00101518	0.00166953	0.00552143	0.0172734	0.0216054	0.0327148	0.0901802	0.289017	0.53887
a79	0.000111928	0.000148032	0.000154169	0.000191875	0.000301056	0.00104615	0.00486295	0.00711152	0.0125979	0.0556931	0.274967	0.642815
a7	0.000148777	0.000216309	0.000257048	0.000355357	0.000593302	0.00206189	0.0087944	0.0105502	0.0140012	0.0521231	0.268743	0.642155
a84	0.00031149	0.00040781	0.000397106	0.000353182	0.000424651	0.000923038	0.0029432	0.00487062	0.0114595	0.058779	0.249176	0.669954
a57	0.018162	0.0211478	0.0195786	0.0147312	0.0125638	0.0143697	0.0214329	0.0247639	0.0477957	0.12031	0.265994	0.419151
a87	0.124144	0.122304	0.0825367	0.0560417	0.045892	0.0377724	0.0420411	0.0449052	0.0535399	0.101037	0.141613	0.148173
a23	0.132643	0.124077	0.101307	0.0734865	0.0634536	0.0561178	0.0633567	0.0711806	0.0670686	0.0755255	0.0872358	0.0845482
a87	0.0823913	0.0794296	0.0751042	0.0443285	0.0382199	0.0333765	0.0396078	0.0447673	0.0675878	0.11588	0.171966	0.207341
a23	0.0303361	0.0364149	0.0366233	0.0228904	0.0255679	0.0330488	0.0479282	0.0456537	0.047637	0.0900103	0.214027	0.369863
a87	0.0403989	0.0484284	0.0487161	0.0306177	0.0317704	0.0426714	0.057962	0.0539044	0.0657158	0.113068	0.198592	0.268155
a23	0.0250536	0.0328429	0.0320138	0.0195676	0.021115	0.0312735	0.0418699	0.0402711	0.050037	0.0969093	0.218232	0.390814
</S>	0.0340164	0.0469736	0.048619	0.0297884	0.0293187	0.0385173	0.0485778	0.0471593	0.0698719	0.124885	0.207471	0.274801
