 	dans	le	partage	du	gibier	de	chasse	un	gigot	revient	de	droit	au	notable	de	la	localité	</S>
a85	0.0180326	0.0198988	0.0361385	0.142196	0.127185	0.160879	0.200639	0.0826679	0.0597449	0.0376654	0.0351837	0.0254692	0.0162227	0.00944594	0.00761446	0.00717356	0.00637334	0.00746956
a21	0.00625672	0.00681261	0.0174092	0.120692	0.128788	0.178462	0.223336	0.0949502	0.0721567	0.0476191	0.0385442	0.0246162	0.0145542	0.0066563	0.00458328	0.0038302	0.00449811	0.00623499
a75	0.00890713	0.00960662	0.0233029	0.120887	0.128653	0.159223	0.196531	0.0966966	0.0760097	0.0468224	0.0492492	0.0330455	0.0182076	0.00960992	0.00737813	0.0054324	0.00469343	0.0057434
a93	0.00283048	0.00381247	0.0124973	0.100657	0.126227	0.189048	0.246636	0.0987193	0.0695909	0.0507773	0.0351335	0.0210272	0.0140673	0.00695146	0.00454565	0.00359613	0.00548105	0.00840182
a13	0.00297975	0.00282252	0.00559374	0.0519168	0.103386	0.178932	0.229476	0.11877	0.093969	0.0617699	0.0550493	0.0340727	0.0209546	0.00958715	0.00679148	0.00523469	0.00667608	0.0120185
a9	0.00210819	0.00142237	0.00169012	0.0111956	0.041731	0.102477	0.192818	0.161794	0.103727	0.0785489	0.0686597	0.0758007	0.0497731	0.0263776	0.0202921	0.0160258	0.0177261	0.0278332
a24	0.0053259	0.00329725	0.00277757	0.00761886	0.0255708	0.0637019	0.150697	0.152465	0.0825146	0.0742669	0.0693289	0.0883439	0.0636277	0.0480883	0.0392381	0.0344228	0.0391827	0.0495323
a62	0.00608488	0.00268269	0.00203687	0.00677265	0.0216855	0.0527285	0.126536	0.13538	0.0929759	0.0878942	0.0697993	0.0884363	0.0702603	0.0482972	0.0420714	0.0360333	0.0459263	0.0643979
a21	0.0035535	0.00225482	0.00390191	0.0217349	0.043272	0.0832929	0.145456	0.139071	0.0818303	0.0760395	0.0664067	0.0868545	0.0716847	0.0467297	0.0395858	0.0245082	0.0227784	0.0410446
a85	0.00249276	0.00190045	0.00402503	0.0267012	0.0478527	0.0894859	0.155777	0.142901	0.0841543	0.0810038	0.0702694	0.0804133	0.0632645	0.0435241	0.0374509	0.0232166	0.0173829	0.0281839
a47	0.00111211	0.000940704	0.00256979	0.0269394	0.0604378	0.112121	0.205073	0.146895	0.0884248	0.0920944	0.0593866	0.0491314	0.040219	0.0227125	0.0172879	0.0138254	0.0200968	0.0407326
a36	0.000566128	0.000533638	0.00191602	0.0174093	0.0438374	0.079204	0.152583	0.155909	0.098639	0.115883	0.0634747	0.0600098	0.0590464	0.0295663	0.0210716	0.0154193	0.0277751	0.0571573
a57	0.000913748	0.000642033	0.00152992	0.0121563	0.0297703	0.0566422	0.112472	0.139796	0.0830505	0.107981	0.0583114	0.0943682	0.0902648	0.053493	0.0354101	0.0228425	0.0330087	0.0673477
a87	0.00272458	0.00159652	0.00218104	0.0106286	0.028328	0.0541429	0.111621	0.12284	0.0537391	0.08532	0.0504853	0.100765	0.0864027	0.0665924	0.0410219	0.0292762	0.0493445	0.102991
a23	0.00867749	0.00513743	0.00545139	0.0113859	0.0170696	0.0295906	0.05856	0.0665477	0.0324887	0.0675009	0.0460644	0.0860088	0.0871657	0.101453	0.0849161	0.0689129	0.0914177	0.131652
a62	0.004788	0.002211	0.00210765	0.00440906	0.00662771	0.0158579	0.0259274	0.026582	0.0200319	0.032186	0.0228174	0.0394954	0.0447086	0.0558427	0.0651519	0.0922008	0.211611	0.327444
a83	0.00105663	0.000815424	0.00151667	0.00699458	0.0138418	0.0240826	0.0402374	0.0417494	0.0259127	0.0365686	0.0277225	0.0505491	0.0558714	0.0612999	0.0699496	0.114596	0.17364	0.253596
a9	0.000864765	0.000700418	0.00122364	0.00503545	0.0114265	0.0202883	0.033741	0.0375364	0.0247902	0.0369222	0.0274784	0.0551073	0.0694321	0.0766678	0.0798119	0.118484	0.178279	0.222211
a82	0.000717906	0.000375774	0.000527497	0.00192346	0.00501802	0.0141387	0.0383038	0.0439912	0.0236068	0.0452382	0.0270656	0.069993	0.0840326	0.0914127	0.0785739	0.105977	0.178622	0.190481
a93	0.0058744	0.00210267	0.00208868	0.00589129	0.0104516	0.0213328	0.049917	0.0518831	0.027687	0.0602113	0.0384435	0.0621912	0.0688614	0.0828522	0.0764115	0.0966176	0.156911	0.180272
a75	0.00228855	0.00122072	0.0013181	0.00309922	0.00372012	0.00522097	0.00620748	0.00706441	0.00570539	0.00979349	0.00588607	0.0150195	0.0248113	0.033694	0.0495863	0.122475	0.250579	0.45231
a61	0.000834432	0.000714178	0.00240086	0.0118218	0.0199302	0.029222	0.0425462	0.0417527	0.0191552	0.0291443	0.018132	0.0324107	0.0393635	0.0390935	0.0412171	0.0740972	0.186274	0.371891
a47	0.000400138	0.000353532	0.000765891	0.00359242	0.0075449	0.0145478	0.025125	0.0234731	0.0118447	0.0202772	0.0156501	0.0337503	0.0412979	0.0544389	0.0676589	0.152051	0.261364	0.265864
a70	0.000430599	0.000345177	0.000607351	0.00325085	0.00794069	0.0143059	0.0229969	0.0249644	0.014219	0.0223204	0.0175063	0.0420046	0.0536959	0.0639813	0.0789817	0.160479	0.241996	0.229974
a61	0.000298417	0.000262878	0.000501738	0.00206063	0.00488001	0.0106402	0.0191958	0.0187122	0.00974909	0.0182323	0.0126759	0.0302729	0.0394526	0.051576	0.0596362	0.135456	0.300629	0.285768
a21	0.000262317	0.000223609	0.00040489	0.00153593	0.00383532	0.00885085	0.0180119	0.0188469	0.00905966	0.0196718	0.0132785	0.0313874	0.0434841	0.0608018	0.0689587	0.156782	0.290159	0.254446
a12	0.000311025	0.000224295	0.000359494	0.00204757	0.00469447	0.00864828	0.0172566	0.0175392	0.00772758	0.0152087	0.0107252	0.0261798	0.0343524	0.0577827	0.0787251	0.18761	0.295543	0.235064
a96	0.000275532	0.000209892	0.000372433	0.00160865	0.00408417	0.00758266	0.0167027	0.0157471	0.00699079	0.0152271	0.00849484	0.0198344	0.0289149	0.04587	0.0537673	0.136228	0.302886	0.335204
a21	0.000212971	0.000154929	0.000281045	0.00110776	0.00336359	0.00628081	0.0145808	0.0141326	0.00624521	0.0172962	0.007415	0.0153463	0.0242275	0.0297329	0.0287304	0.0758212	0.261169	0.493902
a85	0.000195145	0.000124537	0.000200233	0.00137931	0.00348443	0.00662302	0.0163306	0.0152563	0.00554509	0.0123708	0.0065837	0.0163194	0.0221596	0.0360993	0.0428767	0.113801	0.303321	0.39733
a5	0.000259789	0.000154551	0.000259129	0.00288582	0.0106311	0.0159862	0.027855	0.0242402	0.0116474	0.0185616	0.00861237	0.0151445	0.0193336	0.0201943	0.0193287	0.0587694	0.28427	0.461866
a18	0.000162583	0.000106542	0.000218221	0.0013554	0.00504265	0.00860496	0.0182339	0.0192179	0.00792516	0.0176078	0.00815687	0.0170586	0.0216132	0.0304463	0.0346842	0.0896069	0.260057	0.459901
a70	0.000280867	0.000160866	0.000227098	0.0010214	0.00294758	0.00380627	0.00691042	0.00644933	0.00403535	0.0093368	0.00355711	0.00637486	0.0111773	0.0140989	0.0141456	0.0453068	0.25876	0.611404
a24	0.000241974	0.000110743	0.000163386	0.000767163	0.00213302	0.00319574	0.00690705	0.00795122	0.00486149	0.0100493	0.00381844	0.00736914	0.0116667	0.0152437	0.0144299	0.046216	0.267124	0.597751
a83	0.000814049	0.000299995	0.000378571	0.00125797	0.00355471	0.00489832	0.00999521	0.0103285	0.0064173	0.0105324	0.0043463	0.00703683	0.00972173	0.0121306	0.0123429	0.0397916	0.219775	0.646378
a38	0.000325123	0.000139798	0.000211768	0.000802761	0.00196706	0.00303992	0.00664932	0.0067522	0.00412565	0.0073521	0.00274215	0.00459849	0.00674069	0.00907198	0.00922081	0.0330669	0.230943	0.67225
a27	0.000783214	0.000254113	0.000301216	0.00109189	0.00283015	0.00410602	0.00877813	0.007926	0.00459368	0.00786707	0.00326965	0.00511892	0.0074218	0.0102281	0.0115997	0.0397128	0.229826	0.654291
a30	0.00972051	0.00298615	0.00207724	0.00366985	0.00686141	0.00703399	0.00833557	0.00759414	0.00622482	0.0085934	0.00551949	0.00924327	0.0148458	0.0248546	0.0368147	0.0962775	0.260326	0.489022
a10	0.0586814	0.0181186	0.00652294	0.00653667	0.00741211	0.00624342	0.00531384	0.00474495	0.00554731	0.00851996	0.00704216	0.0122214	0.0218385	0.0432244	0.0630179	0.126801	0.233271	0.364943
a87	0.101497	0.0486993	0.011982	0.0101901	0.00999913	0.00823847	0.00676606	0.00622257	0.00795786	0.0148222	0.012937	0.026584	0.039347	0.0610968	0.070358	0.119037	0.184141	0.260124
a23	0.102794	0.0498418	0.0137702	0.0151357	0.0170005	0.0164056	0.0175063	0.0185485	0.0204488	0.0464934	0.0332636	0.0501844	0.0551213	0.0615387	0.060844	0.0880694	0.132051	0.200983
a87	0.0603835	0.0267334	0.00625712	0.00801482	0.00819934	0.00769047	0.00645917	0.00778574	0.0108874	0.02406	0.0129151	0.0150567	0.0230571	0.027652	0.0325415	0.0770116	0.223905	0.42139
</S>	0.027631	0.0110696	0.00333176	0.00829095	0.01086	0.0119154	0.0116643	0.010154	0.0103007	0.0208925	0.0107826	0.0121961	0.0167713	0.0213171	0.0218747	0.045787	0.195065	0.550096
