 	la	chèvre	est	sortie	de	la	forêt	avec	les	épis	de	l'	herbe	bongi	sur	l'	échine	</S>
a90	0.00297247	0.00342462	0.00723553	0.0131715	0.0249909	0.0419396	0.0615627	0.0936581	0.0878593	0.116382	0.122112	0.12882	0.101247	0.0557218	0.0455232	0.033236	0.0284285	0.0317143
a57	0.00478804	0.0061324	0.00786182	0.0131072	0.0241108	0.0390399	0.0476654	0.0661165	0.0555306	0.0734476	0.0656969	0.0642078	0.0559326	0.0486593	0.068728	0.0918035	0.131833	0.135338
a82	0.0030341	0.00373357	0.00614945	0.0116477	0.019301	0.0354816	0.0538008	0.0811113	0.0776111	0.115111	0.11347	0.116485	0.0950986	0.0554496	0.0536988	0.0453105	0.0504099	0.0630957
a53	0.0040533	0.00605738	0.00994737	0.0236778	0.0425498	0.0580379	0.0691159	0.090748	0.0702687	0.11241	0.0963792	0.080338	0.0677172	0.0454707	0.0425907	0.0370183	0.0595916	0.0840285
a90	0.00620696	0.00686781	0.00729989	0.0133346	0.0227044	0.035512	0.0415322	0.0546606	0.0484271	0.0699808	0.058206	0.0583501	0.0580556	0.0516378	0.0753579	0.0950835	0.142049	0.154734
a70	0.0030289	0.00404139	0.00568434	0.0103133	0.0184827	0.0316413	0.0385283	0.0565352	0.0477127	0.0750386	0.0638629	0.0648238	0.0651372	0.051402	0.0716579	0.0974249	0.139828	0.154856
a75	0.00187293	0.0023836	0.00365361	0.00862939	0.0131529	0.0226209	0.0280409	0.0419453	0.039175	0.0695626	0.0604617	0.0693682	0.0802421	0.0706316	0.0839548	0.0954854	0.142164	0.166655
a92	0.00408122	0.00536667	0.00680058	0.0112855	0.0158541	0.0248161	0.0299963	0.0430746	0.0363401	0.0552279	0.0452393	0.042988	0.0410026	0.0375091	0.0579949	0.095304	0.198788	0.248331
a98	0.00378189	0.00542391	0.00669103	0.0102085	0.014434	0.0186183	0.0216251	0.031874	0.0251809	0.0373061	0.0299607	0.028198	0.0291343	0.0318069	0.0538107	0.0953386	0.227334	0.329273
a44	0.00729923	0.0100289	0.0119498	0.0170159	0.0195756	0.025058	0.0274641	0.0345833	0.0287511	0.0403024	0.0322636	0.0305727	0.0316011	0.0353974	0.0476702	0.0786657	0.208712	0.313089
a57	0.00229812	0.0028172	0.00380903	0.00862083	0.0117626	0.0175885	0.0224647	0.0365782	0.0339057	0.057582	0.0515531	0.0523121	0.0516542	0.0504239	0.0700171	0.0925672	0.17781	0.256235
a53	0.000968658	0.00109797	0.00150039	0.00364918	0.00462262	0.00666711	0.00975337	0.0164481	0.0157345	0.0290151	0.0279393	0.0293513	0.0321405	0.0459143	0.0777606	0.102343	0.221618	0.373477
a76	0.00178162	0.00206088	0.00255334	0.00538567	0.00804585	0.0127183	0.0165064	0.0257027	0.0228077	0.0386867	0.0337361	0.0359758	0.048414	0.0653507	0.101897	0.121922	0.189044	0.267412
a94	0.00306482	0.0034723	0.00420137	0.00826193	0.0104539	0.0125308	0.0165099	0.0261898	0.0246467	0.0380411	0.0338063	0.0360251	0.0402508	0.0422656	0.0643956	0.0923123	0.204212	0.33936
a70	0.000479727	0.000547659	0.000817271	0.00355862	0.00379631	0.00466148	0.00639496	0.0100309	0.0105967	0.0194839	0.0157526	0.0164943	0.0208505	0.0300929	0.0564616	0.0902936	0.223682	0.486005
a61	0.000320621	0.000308018	0.000491206	0.0019457	0.00225479	0.00267823	0.00353005	0.00571555	0.00655931	0.0130967	0.0112735	0.0129319	0.0174452	0.0254435	0.0485075	0.0876698	0.253203	0.506626
a83	0.000399548	0.000343664	0.000525581	0.00226887	0.0023892	0.00258891	0.00354717	0.00529907	0.00584793	0.0107125	0.00885208	0.00927809	0.0108429	0.0181746	0.0328756	0.0670366	0.264217	0.554801
a70	0.000237493	0.000191736	0.000275064	0.00127075	0.00127149	0.00152771	0.00209679	0.00381517	0.00440178	0.00761205	0.00667075	0.00750992	0.0101032	0.0218829	0.0438867	0.0950073	0.294429	0.49781
a94	0.000447147	0.000271787	0.000453535	0.00168093	0.0018447	0.00224316	0.00321529	0.00590608	0.00674184	0.0106037	0.00967469	0.0102495	0.0128121	0.0252627	0.0495149	0.103629	0.297513	0.457936
a76	0.000630658	0.000313231	0.000571858	0.00248354	0.00272395	0.00270919	0.00363728	0.00575129	0.00606796	0.00893496	0.00736689	0.0078965	0.0105538	0.0243202	0.0527339	0.106051	0.283621	0.473633
a69	0.000374413	0.000297702	0.000525761	0.00257492	0.00264985	0.00239914	0.00342871	0.00480936	0.00491318	0.00724464	0.00656237	0.00712755	0.00796215	0.0163967	0.0366897	0.0756614	0.227754	0.592628
a58	0.000139615	0.000154113	0.000281143	0.00159726	0.00185944	0.00188655	0.00217745	0.00345428	0.00306753	0.00475232	0.00364838	0.00361578	0.00443888	0.00793653	0.0164158	0.0374187	0.202283	0.704874
a82	0.00035135	0.000277835	0.000469182	0.00156317	0.00168048	0.00169563	0.00194924	0.00297158	0.00226183	0.00307599	0.00229705	0.00205637	0.00263132	0.00759683	0.025836	0.0811956	0.321936	0.540155
a53	0.00902049	0.0053336	0.00562775	0.0137963	0.0119981	0.00795045	0.00881592	0.0102274	0.00890087	0.0102603	0.0074509	0.00681766	0.00835439	0.0204787	0.0678481	0.138493	0.253585	0.40504
a69	0.000680907	0.000289987	0.000389717	0.00136769	0.00104581	0.000918399	0.00141115	0.00223807	0.00274798	0.00352744	0.00288716	0.00332777	0.00468398	0.0119114	0.0372371	0.0919237	0.291052	0.54236
a4	0.000246449	0.000157989	0.000275951	0.00159544	0.0014852	0.00123161	0.00147294	0.00237073	0.00217195	0.0023251	0.00189299	0.00179877	0.00201517	0.00511057	0.0150358	0.0470425	0.272315	0.641456
a57	0.000367524	0.000244796	0.000459302	0.00194427	0.00162012	0.00130757	0.00158599	0.00249475	0.00224869	0.00254637	0.00196579	0.00188778	0.00221149	0.00636136	0.0205907	0.063405	0.303492	0.585267
a87	0.000746242	0.000540569	0.000736526	0.00319939	0.00273269	0.00208759	0.00203603	0.0026818	0.0022379	0.00289269	0.0017726	0.00157989	0.00230014	0.00636503	0.0221816	0.066949	0.289538	0.589422
a23	0.0127387	0.00788716	0.00815066	0.0295039	0.0254326	0.0166793	0.0155248	0.017857	0.0150181	0.0133106	0.00974311	0.00817725	0.00822375	0.0141211	0.030739	0.0592137	0.203707	0.503972
a97	0.0101068	0.00667784	0.00599278	0.0203982	0.016516	0.0127041	0.0142369	0.0189158	0.0172139	0.0188542	0.0129846	0.0115921	0.0142014	0.0244004	0.0447339	0.079748	0.187574	0.483149
</S>	0.00827817	0.0065135	0.00534498	0.0198195	0.0179109	0.0157778	0.0174145	0.0171848	0.0132672	0.0140764	0.00927236	0.00693767	0.00666712	0.00985155	0.0151854	0.0327475	0.161671	0.62208
