 	la	manière	dont	il	pleure	dans	la	maison	il	se	pourrait	que	son	père	soit	mort	</S>
a25	0.051489	0.057506	0.0766421	0.103896	0.107449	0.101002	0.0792466	0.0690457	0.0490327	0.0493871	0.0711902	0.0500417	0.0234386	0.0182886	0.0251835	0.0307168	0.0364444
a92	0.0228583	0.0246028	0.0441266	0.0932943	0.104018	0.103704	0.0898053	0.0875246	0.060239	0.0635483	0.11189	0.0778929	0.030101	0.0206388	0.0207905	0.0207793	0.0241858
a56	0.0353893	0.0316366	0.0463467	0.0857523	0.112779	0.106251	0.0905184	0.0830037	0.0570697	0.0576052	0.0873719	0.0676603	0.0284188	0.0192423	0.0244805	0.0307727	0.0357011
a75	0.0234835	0.0221372	0.0335481	0.0695254	0.109742	0.108178	0.0990573	0.0935988	0.0702217	0.0684033	0.0881779	0.0771541	0.0284849	0.0161431	0.0219877	0.0319873	0.0381698
a5	0.02709	0.0195728	0.0302937	0.0456593	0.0679829	0.0655014	0.062423	0.0678341	0.0873025	0.0872191	0.0706401	0.0816509	0.0517717	0.0366319	0.0496039	0.0701357	0.078687
a18	0.0245231	0.0215247	0.0287707	0.0396561	0.0582176	0.0573258	0.0582812	0.0708043	0.0929291	0.096685	0.0809437	0.0879022	0.0460414	0.0298375	0.0457966	0.0745269	0.0862342
a47	0.0127656	0.00927897	0.0193932	0.0442421	0.0995926	0.113416	0.103035	0.101981	0.125702	0.10315	0.0562226	0.0467401	0.0274742	0.0139055	0.0163633	0.039119	0.0676188
a62	0.0123881	0.00889208	0.0185802	0.0402999	0.081208	0.090645	0.0895323	0.103245	0.136567	0.120621	0.0640709	0.0609955	0.0330894	0.0151027	0.0196917	0.0419992	0.063072
a21	0.0217873	0.0140218	0.0248352	0.0404986	0.070524	0.0789889	0.0701717	0.0813149	0.112809	0.119248	0.0585805	0.0753019	0.0522463	0.0267098	0.0323072	0.054472	0.0661826
a12	0.042647	0.0274091	0.0403121	0.0520962	0.0792856	0.0867752	0.0710267	0.0699648	0.0935697	0.0927244	0.0519418	0.0608172	0.0586916	0.0401038	0.0371275	0.0466624	0.0488448
a88	0.0271614	0.0180009	0.0272887	0.0384335	0.067224	0.0813973	0.0717935	0.079353	0.098648	0.105068	0.0505004	0.0679091	0.0624716	0.041674	0.0413631	0.0568909	0.0648222
a71	0.0146152	0.00840924	0.0153703	0.0285644	0.065374	0.0815629	0.0786066	0.0873448	0.133923	0.117956	0.0458199	0.0578554	0.0573895	0.0378141	0.0390587	0.0573645	0.0729721
a9	0.00864726	0.00518966	0.00813972	0.0197684	0.0537338	0.068174	0.0791488	0.080769	0.151095	0.112984	0.0386547	0.0386016	0.0483564	0.0390846	0.0438754	0.0791932	0.124585
a87	0.00388744	0.00269708	0.00375339	0.00868005	0.0212419	0.0278891	0.0525397	0.0861681	0.182284	0.154043	0.0623392	0.0670675	0.0684425	0.0521684	0.0557987	0.0639859	0.0870139
a23	0.00875891	0.00369862	0.00390107	0.0082189	0.0155415	0.0225591	0.0447262	0.0819127	0.132504	0.148303	0.0730023	0.0781104	0.0774115	0.0748165	0.0833926	0.0565516	0.0865905
a62	0.0022527	0.00111656	0.00102234	0.0017723	0.00308694	0.00560823	0.0121626	0.0234151	0.0414892	0.068743	0.0310942	0.0516428	0.0681571	0.0993384	0.161475	0.161756	0.265868
a61	0.00100619	0.000751568	0.00103321	0.00280364	0.0067476	0.00889905	0.011635	0.0150979	0.0281588	0.0338276	0.0142537	0.0282631	0.0484775	0.0794201	0.181674	0.197902	0.340049
a5	0.00368603	0.00275016	0.00398882	0.00816535	0.0152284	0.0182603	0.0213888	0.026015	0.0380083	0.0438016	0.0283875	0.0456583	0.0616581	0.0921498	0.170706	0.170663	0.249484
a18	0.00664286	0.00481831	0.00578765	0.00889301	0.0139432	0.0156214	0.0168789	0.0200139	0.0359806	0.0436035	0.0263772	0.045194	0.0715127	0.104113	0.160175	0.16919	0.251255
a75	0.00118412	0.000840812	0.00139488	0.00297354	0.00663206	0.00911977	0.0122229	0.0189365	0.0369563	0.0422051	0.0167328	0.0278921	0.0458426	0.0624493	0.137601	0.212447	0.364569
a6	0.00253833	0.00183207	0.00295887	0.00672715	0.0132159	0.0166756	0.0162385	0.0189259	0.0471311	0.0519822	0.0159399	0.0332488	0.0601437	0.0707048	0.125149	0.208522	0.308067
a37	0.00117462	0.000853305	0.0013141	0.00298048	0.0066361	0.00859858	0.00864558	0.010442	0.0294443	0.0309586	0.00782986	0.0186973	0.0397554	0.0518208	0.129248	0.256401	0.3952
a44	0.000652215	0.000427603	0.000625539	0.00160526	0.00439884	0.0061362	0.00713255	0.0101946	0.0237505	0.0238558	0.00595865	0.0102714	0.0230497	0.0355337	0.0977245	0.247086	0.501597
a93	0.000677225	0.000407219	0.000670386	0.0017256	0.00461519	0.00654417	0.00791785	0.0113764	0.0233282	0.0231961	0.00570121	0.00939285	0.0199646	0.0302661	0.0833538	0.240401	0.530462
a90	0.000757005	0.000411428	0.000785797	0.00200993	0.00493136	0.00737109	0.00979081	0.0144683	0.0269697	0.0261367	0.0075476	0.0123967	0.0244286	0.0357544	0.0878968	0.241635	0.496709
a15	0.000564872	0.000309118	0.000598877	0.00153308	0.00407028	0.00612314	0.0076017	0.0117094	0.0237948	0.0248865	0.00696887	0.0122377	0.0220601	0.0301422	0.0721859	0.232375	0.542839
a7	0.000315733	0.000176178	0.000255396	0.00057052	0.00165879	0.00276098	0.0033245	0.00477157	0.0118982	0.0129897	0.00256903	0.00426532	0.0083997	0.0144403	0.0558653	0.2328	0.642939
a84	0.00118468	0.000661367	0.000960464	0.00179203	0.00395087	0.00675609	0.00957257	0.0131693	0.0276152	0.0252264	0.00566941	0.00750773	0.0128605	0.020668	0.0676534	0.259762	0.53499
a57	0.0242893	0.0119263	0.0111912	0.0133173	0.0161856	0.0240598	0.0292898	0.0449606	0.0778322	0.0707462	0.0251255	0.0306916	0.0463439	0.0625397	0.0996597	0.185304	0.226538
a87	0.094684	0.039668	0.0301189	0.0301445	0.0284569	0.0391151	0.0409746	0.0558024	0.0816774	0.084398	0.0399292	0.0429095	0.0641752	0.077181	0.0719934	0.0875733	0.0911985
a23	0.123772	0.0689524	0.0559674	0.0390609	0.0248829	0.0352047	0.0431292	0.0585606	0.0870831	0.10276	0.0549258	0.0458292	0.0548528	0.0663041	0.0404485	0.0450884	0.0531781
a87	0.0140553	0.00875711	0.0059546	0.00459644	0.0044556	0.00794451	0.010906	0.0186627	0.0460426	0.0696757	0.033017	0.0508401	0.109684	0.178695	0.152113	0.128758	0.155843
</S>	0.00241168	0.00155984	0.00129152	0.00159803	0.00239995	0.00477857	0.0073589	0.015348	0.038706	0.0571874	0.0214705	0.0340857	0.0611176	0.109764	0.171946	0.183704	0.285272
