 	l'	enfant	n'	a	pas	pu	faire	un	plongeon	car	il	a	peur	de	l'	eau	</S>
a66	0.0056501	0.00543067	0.00792686	0.0139322	0.0229448	0.0422293	0.080566	0.115247	0.164381	0.0868359	0.0771433	0.0575884	0.0481397	0.0347231	0.0422831	0.0648861	0.130092
a11	0.00641511	0.00571154	0.00641236	0.00925329	0.0155753	0.0335903	0.0723726	0.119221	0.179661	0.105734	0.10078	0.0709235	0.0522232	0.0302916	0.0323219	0.0493358	0.110178
a21	0.00576812	0.00516773	0.00545279	0.00783613	0.0137989	0.0327179	0.0783221	0.127899	0.16954	0.104164	0.0980024	0.0699707	0.0510425	0.0335722	0.0374832	0.0551052	0.104157
a18	0.00819642	0.00726243	0.00894383	0.0137909	0.0196834	0.0315191	0.0578913	0.0805808	0.109951	0.0652742	0.0695761	0.0612822	0.061286	0.0591621	0.0773882	0.110542	0.15767
a11	0.00341718	0.00318271	0.00375554	0.00585928	0.0101096	0.0232796	0.0509488	0.0799017	0.119791	0.0734585	0.084863	0.0685794	0.0649292	0.055071	0.0718805	0.0977544	0.183218
a24	0.00444873	0.00407616	0.00445512	0.00640098	0.0103644	0.0230344	0.0543417	0.0868202	0.122142	0.084238	0.0925106	0.0774447	0.076966	0.0638508	0.0731436	0.0842826	0.13148
a21	0.00179182	0.00171759	0.00217712	0.00368396	0.0065497	0.0141644	0.0317445	0.0484758	0.0711559	0.0457128	0.0609826	0.0576776	0.0672761	0.0788399	0.125719	0.15806	0.224271
a5	0.00275321	0.00262925	0.00374131	0.00648755	0.0103958	0.0167909	0.0286804	0.0379003	0.0532907	0.0351214	0.0472725	0.0476066	0.0575323	0.0805483	0.140956	0.189782	0.238512
a18	0.00163031	0.00165698	0.00223278	0.00390956	0.00677314	0.0133142	0.0257112	0.0332528	0.0428047	0.0307618	0.0411986	0.0395166	0.0495124	0.0721336	0.145623	0.198404	0.291564
a61	0.00163834	0.00153	0.00172723	0.0025385	0.00424089	0.00957194	0.0193997	0.0298986	0.045534	0.0318882	0.0438291	0.0387747	0.0453381	0.065731	0.140013	0.200044	0.318303
a75	0.000944053	0.00100693	0.00148402	0.00271182	0.00498672	0.00986586	0.0195841	0.027574	0.0382811	0.0256614	0.0359471	0.0342511	0.0415276	0.0651401	0.151044	0.230892	0.309099
a85	0.00109551	0.0011514	0.00157308	0.00273025	0.00444093	0.00786592	0.0145745	0.0198305	0.0285117	0.0201207	0.0276072	0.0267896	0.0366192	0.0588902	0.148435	0.236511	0.363254
a44	0.00201301	0.00203591	0.00269011	0.00446415	0.00664631	0.0105212	0.0177146	0.0241948	0.035023	0.0226354	0.0313964	0.0300497	0.0391845	0.060942	0.133901	0.221836	0.354752
a90	0.00102584	0.000953072	0.000994275	0.00141003	0.00218707	0.00383523	0.00750127	0.0109904	0.015775	0.0102001	0.0135564	0.0123944	0.0164327	0.028329	0.0969722	0.225261	0.552182
a76	0.00124819	0.00117614	0.00137697	0.0021507	0.0035165	0.00580328	0.0117563	0.018335	0.028278	0.0197002	0.028176	0.0289617	0.0389993	0.0566172	0.133564	0.234164	0.386176
a90	0.00171033	0.00159682	0.00191659	0.00311653	0.00503815	0.00804383	0.0161153	0.0229999	0.0338071	0.0208837	0.0260685	0.0234653	0.0303693	0.0416767	0.102688	0.21878	0.441724
a44	0.00108407	0.00110123	0.00129944	0.00199284	0.00321286	0.00556267	0.0128336	0.0210824	0.0324468	0.0183732	0.0239297	0.0212482	0.0265172	0.0346879	0.0902882	0.20982	0.49452
a98	0.000621483	0.000614062	0.000673648	0.000966482	0.0015636	0.00272531	0.00522655	0.00741937	0.00994586	0.00588841	0.00810548	0.00790506	0.0110637	0.0210546	0.0855775	0.241725	0.588924
a15	0.00133166	0.00127712	0.00140342	0.00198921	0.00295194	0.0046321	0.00905367	0.0134575	0.0203763	0.0118673	0.0147938	0.0128028	0.016622	0.0242437	0.0752256	0.209112	0.57886
a94	0.00107241	0.00109645	0.00123885	0.00165778	0.00244312	0.00373226	0.00686191	0.0100654	0.0155183	0.0087842	0.0116117	0.0102584	0.0134361	0.0208804	0.0714435	0.204289	0.61561
a98	0.000992143	0.00105497	0.00118925	0.00160917	0.00248974	0.00379992	0.0060135	0.00807328	0.0110607	0.00681119	0.009056	0.00797868	0.0102991	0.0199373	0.0824323	0.23463	0.592573
a15	0.00111265	0.00108706	0.00108579	0.00124529	0.00169677	0.00227362	0.0035774	0.00503778	0.0078613	0.00506015	0.0072792	0.00666709	0.0099063	0.0197595	0.0744822	0.218051	0.633816
a7	0.00184349	0.00173534	0.00158855	0.00163442	0.00208176	0.00248482	0.00356829	0.00509467	0.00777479	0.00554298	0.0085949	0.00850383	0.0124111	0.0247645	0.0887872	0.2342	0.58939
a26	0.00757463	0.00684471	0.00555455	0.00562118	0.0062221	0.00749595	0.00952146	0.0109838	0.0123245	0.0105952	0.0160721	0.0157269	0.0218872	0.0422566	0.116653	0.241397	0.463269
a57	0.0522985	0.0390695	0.0280114	0.0250648	0.0250868	0.0283692	0.0314322	0.0323409	0.0336555	0.0275062	0.0410583	0.0369812	0.039775	0.0496599	0.0830031	0.15046	0.276227
a87	0.0969417	0.0521614	0.0308967	0.0243869	0.0218268	0.0203264	0.0229204	0.0275134	0.0339573	0.0303048	0.0399951	0.0442169	0.0566225	0.0706575	0.0992126	0.138041	0.190018
a23	0.0822381	0.043698	0.0249031	0.0219532	0.0251294	0.0263158	0.0375953	0.0525861	0.0695387	0.0570195	0.0675796	0.0688875	0.067648	0.0738203	0.0825796	0.0929637	0.105544
a99	0.0477614	0.0241971	0.0143304	0.0106477	0.00950695	0.00872067	0.00992667	0.0127761	0.0162184	0.014204	0.0190098	0.0219669	0.030884	0.0556726	0.125039	0.231893	0.347245
a97	0.0412899	0.0245058	0.0169656	0.013993	0.0136648	0.0137608	0.0170507	0.0185751	0.0206506	0.0166565	0.0219248	0.0248884	0.0323517	0.0545973	0.117763	0.219579	0.331783
a57	0.0320439	0.0210342	0.0135668	0.0120605	0.0144119	0.0156959	0.0183684	0.0188611	0.0207811	0.0180378	0.022191	0.0230642	0.0296529	0.0430583	0.0953986	0.215554	0.386219
</S>	0.0558849	0.0319199	0.0203157	0.019267	0.0247965	0.0279806	0.0346321	0.0373647	0.0394075	0.0353812	0.037181	0.0373953	0.0415577	0.046022	0.0783779	0.153302	0.279214
