 	avant	de	manger	la	nourriture	d'	hier	il	faut	la	réchauffer	</S>
a75	0.0215965	0.0218356	0.0302724	0.043425	0.0643272	0.090638	0.132978	0.114234	0.0899239	0.0762517	0.127339	0.187178
a44	0.0192025	0.0211724	0.0303452	0.0427925	0.0601683	0.0828316	0.118526	0.111249	0.10494	0.103416	0.144069	0.161287
a54	0.0136951	0.0129437	0.0191734	0.0303141	0.047551	0.0679313	0.119178	0.113391	0.096521	0.10229	0.157726	0.219286
a73	0.0173325	0.0163092	0.0235649	0.0323134	0.0390881	0.0479127	0.0766881	0.0846984	0.0910263	0.11452	0.190115	0.266432
a7	0.0149476	0.0135082	0.0181421	0.0228774	0.0276326	0.0380082	0.082102	0.0875011	0.0864118	0.104318	0.198989	0.305562
a69	0.00847731	0.00693159	0.00931029	0.0137881	0.0216242	0.0303175	0.0593974	0.0573886	0.0711164	0.104943	0.225091	0.391615
a58	0.00711411	0.00569247	0.00791617	0.0114534	0.0164491	0.0258143	0.0565429	0.0617817	0.076764	0.121143	0.244692	0.364637
a40	0.00351206	0.00286039	0.00403154	0.00553007	0.0079284	0.0115338	0.028509	0.0365238	0.0534674	0.0886605	0.174974	0.582469
a54	0.00994428	0.00786201	0.0104403	0.0147082	0.0214844	0.0330933	0.0668687	0.0665693	0.076431	0.11672	0.222817	0.353062
a41	0.00803622	0.00572314	0.00778698	0.0113314	0.0165841	0.0284815	0.0619714	0.0660334	0.074611	0.106904	0.220133	0.392405
a96	0.00621831	0.00431266	0.00520124	0.00625525	0.00782642	0.0129	0.0381072	0.0475365	0.0569472	0.0808653	0.227085	0.506745
a62	0.00601091	0.0049756	0.0051316	0.00604662	0.00792372	0.0100205	0.0215673	0.0251875	0.0408533	0.0878535	0.233567	0.550862
a83	0.00559779	0.00482288	0.00512238	0.00612998	0.00849405	0.0111131	0.0214879	0.0276856	0.0424576	0.0874026	0.227416	0.55227
a70	0.00273567	0.00248823	0.00299887	0.00364763	0.00480784	0.00546834	0.00843293	0.00998654	0.0159046	0.0400136	0.147717	0.755799
a75	0.00216206	0.00212326	0.0026664	0.00333139	0.00433946	0.00507648	0.00829707	0.00982684	0.0165635	0.0425844	0.171413	0.731616
a98	0.00449935	0.0035174	0.0044213	0.00632141	0.00969313	0.0137504	0.0301486	0.0337846	0.046572	0.074745	0.195286	0.577261
a41	0.00202883	0.00212865	0.00328828	0.00502346	0.00762696	0.0104998	0.0236809	0.0261941	0.0396222	0.0743802	0.253962	0.551564
a94	0.00173304	0.00142192	0.00196895	0.00277637	0.00401431	0.0065017	0.0193505	0.0210621	0.0335188	0.0667057	0.269888	0.571059
a62	0.000703784	0.000602878	0.000801528	0.00114906	0.00168447	0.00278523	0.00663848	0.00719673	0.0134163	0.0391427	0.188357	0.737522
a56	0.00185433	0.00162316	0.00179747	0.0022161	0.0026406	0.003167	0.00569312	0.00636228	0.0118531	0.0387993	0.194894	0.7291
a36	0.0021996	0.00186081	0.00197206	0.00234681	0.00276551	0.00335934	0.00596753	0.00643479	0.0114236	0.0354014	0.181195	0.745074
a26	0.00288487	0.00239654	0.00291792	0.00367577	0.0045636	0.00601242	0.00953091	0.01071	0.0173669	0.0449584	0.176674	0.718308
a30	0.00837042	0.00597542	0.00634635	0.00650232	0.00682805	0.00925256	0.0174528	0.0233272	0.0379186	0.0930058	0.25936	0.52566
a97	0.0490299	0.0282789	0.0260867	0.0207506	0.0173751	0.0183848	0.0299827	0.0442389	0.0750621	0.155334	0.250607	0.284869
a82	0.087961	0.0554354	0.050996	0.0372808	0.0306116	0.0290499	0.0441742	0.0684522	0.103532	0.172067	0.170349	0.15009
a97	0.0733574	0.0524872	0.0497318	0.0402556	0.0357403	0.0333706	0.0521648	0.0797608	0.111377	0.176975	0.157688	0.137091
a87	0.0618954	0.0460062	0.0410023	0.033658	0.0310348	0.0346754	0.0681984	0.101958	0.128677	0.179577	0.15313	0.120187
a23	0.0607597	0.0535648	0.0511728	0.0446116	0.0421175	0.0437914	0.0724226	0.0964029	0.109262	0.144882	0.14454	0.136473
a87	0.0799176	0.0646855	0.0619325	0.0466241	0.0358296	0.0347206	0.0599835	0.0820838	0.088035	0.117894	0.138204	0.19009
</S>	0.0414873	0.0415544	0.0454273	0.0389193	0.0367363	0.0354141	0.0577617	0.0701772	0.0774768	0.115554	0.176165	0.263327
