 	ngolo	et	obateme	se	sont	mariés	avec	deux	filles	de	la	même	famille	</S>
a92	0.0689424	0.056908	0.060869	0.0769916	0.0799933	0.089907	0.110327	0.113782	0.0954572	0.0526256	0.0403004	0.041743	0.0513786	0.0607749
a79	0.0772181	0.0683204	0.087009	0.102469	0.111888	0.0984274	0.10326	0.10466	0.0837429	0.0420859	0.0283657	0.0264906	0.0300986	0.0359636
a98	0.0263937	0.0357039	0.0519422	0.106364	0.136615	0.135743	0.133024	0.129151	0.098017	0.0493425	0.0290068	0.0212423	0.021899	0.0255559
a6	0.00894593	0.0143706	0.027502	0.0674441	0.0900417	0.110647	0.148942	0.145536	0.140131	0.0840109	0.0516683	0.0360172	0.0345121	0.0402312
a36	0.00915508	0.0162754	0.0315026	0.0758917	0.111246	0.134232	0.157733	0.140469	0.114034	0.0604363	0.0348137	0.030346	0.0370602	0.0468051
a75	0.00831572	0.0128372	0.0200759	0.053165	0.0991898	0.150406	0.174448	0.133083	0.101697	0.0580988	0.0328208	0.0309601	0.0481137	0.0767891
a92	0.00232086	0.00307403	0.00598944	0.0274449	0.0696532	0.138266	0.192037	0.145775	0.110807	0.0665725	0.0475686	0.0482843	0.0594156	0.0827912
a37	0.00281878	0.00334952	0.00593606	0.0271855	0.0762531	0.140671	0.19965	0.140758	0.0996927	0.0606687	0.0455902	0.050182	0.0630646	0.0841795
a75	0.00726125	0.0102131	0.0125848	0.0231083	0.0574251	0.138322	0.20479	0.117028	0.107844	0.0757627	0.0444716	0.0366645	0.0567293	0.107796
a5	0.0022733	0.00233896	0.00325011	0.0115519	0.0348124	0.102269	0.183022	0.119158	0.097774	0.0746503	0.05925	0.0706503	0.0956153	0.143385
a36	0.00302385	0.00377638	0.00496519	0.0134357	0.0461418	0.119007	0.205063	0.114921	0.107446	0.0809306	0.0585245	0.0576474	0.0741263	0.110991
a47	0.0125972	0.0148188	0.0153662	0.024653	0.0479493	0.098056	0.146802	0.0700401	0.0684483	0.0689685	0.0554822	0.0574828	0.101303	0.218032
a85	0.0137061	0.0147074	0.0131128	0.0223857	0.0454425	0.0875188	0.129976	0.0583932	0.0535355	0.0520776	0.0453836	0.0577646	0.117244	0.288752
a6	0.00219799	0.00184668	0.002405	0.00695758	0.01786	0.0578688	0.110524	0.0629468	0.0638072	0.0695458	0.0706454	0.104601	0.157681	0.271113
a85	0.00274143	0.0023538	0.00288128	0.00759338	0.0191265	0.0532854	0.087454	0.0468577	0.0498025	0.0580414	0.0706369	0.120806	0.171083	0.307337
a47	0.00183774	0.00145414	0.00239716	0.00742483	0.0174188	0.0444615	0.0811693	0.0451256	0.0488057	0.0560201	0.0655248	0.123437	0.187738	0.317186
a7	0.0027366	0.00214599	0.00216237	0.00527371	0.0109981	0.0266639	0.0369255	0.0143845	0.0139952	0.0226063	0.0372244	0.1036	0.215764	0.505519
a47	0.0151479	0.0141184	0.00963745	0.0122816	0.0159161	0.026395	0.0325865	0.0123732	0.0118932	0.0185174	0.0320494	0.0965703	0.213557	0.488957
a37	0.00931034	0.00900983	0.0060967	0.0070911	0.0110633	0.0228924	0.0284219	0.010514	0.0104235	0.0168497	0.0316188	0.0916946	0.215158	0.529856
a26	0.0134217	0.0123072	0.00845083	0.0081738	0.0109111	0.0177685	0.0202529	0.00817884	0.00851566	0.0161817	0.036458	0.100283	0.215081	0.524016
a27	0.0854967	0.0645523	0.0460842	0.038155	0.0427044	0.0381635	0.0542121	0.0246903	0.0289572	0.0431929	0.0595262	0.0850842	0.136319	0.252862
a30	0.10893	0.0766572	0.0504141	0.0389467	0.0455799	0.0486322	0.071818	0.0484465	0.0618537	0.0681435	0.0626827	0.0674958	0.0952686	0.155131
a87	0.128274	0.0817829	0.0479686	0.028222	0.0300271	0.0291083	0.0519628	0.039167	0.0640964	0.0939466	0.0980167	0.0940746	0.0931447	0.120209
a23	0.14068	0.0824209	0.057623	0.0316966	0.0327681	0.0268095	0.0529094	0.0371071	0.0640125	0.0863755	0.0966241	0.0994062	0.0874211	0.104147
a10	0.0271459	0.0179345	0.0140234	0.0161066	0.0213427	0.021491	0.0384765	0.0271512	0.0436547	0.0604642	0.0875933	0.15536	0.183729	0.285527
a83	0.0164489	0.00871771	0.00782879	0.0116107	0.0169447	0.026082	0.0517359	0.0391571	0.05931	0.0689626	0.0850934	0.150659	0.187841	0.269608
a75	0.0116941	0.00469892	0.00714684	0.0120603	0.0151316	0.0206793	0.0443066	0.0328335	0.0571471	0.0742657	0.0949493	0.162538	0.194473	0.268076
a6	0.000665791	0.000403803	0.00105047	0.00213894	0.00617822	0.0188166	0.0429196	0.0336099	0.0527933	0.0698495	0.087313	0.148612	0.196021	0.339628
a37	0.000118061	0.000115488	0.000354998	0.00104099	0.00297089	0.00841702	0.0161868	0.0110812	0.01954	0.0328495	0.0662132	0.164561	0.263614	0.412937
a47	0.000282461	0.000340977	0.000661386	0.00141625	0.00364257	0.00832279	0.0142679	0.00944727	0.0162951	0.0298186	0.0577449	0.142941	0.256891	0.457927
a37	0.000192415	0.000228366	0.000357816	0.000780589	0.00269461	0.00862069	0.0179172	0.0117456	0.0212558	0.0393407	0.0625127	0.145647	0.255504	0.433203
a6	0.000779359	0.00083828	0.00113484	0.00183777	0.004474	0.0124923	0.020408	0.0131738	0.0236222	0.0507969	0.0758241	0.141687	0.228149	0.424782
a37	0.000232459	0.000251529	0.000368253	0.000870616	0.00261016	0.00736763	0.0128138	0.00832368	0.0134531	0.0298486	0.0569823	0.147347	0.265566	0.453965
a98	0.000429434	0.000490845	0.000700375	0.00121283	0.00283069	0.00660421	0.0105009	0.00603578	0.0118928	0.0304151	0.052863	0.129824	0.254044	0.492156
a85	0.000106135	0.000109617	0.000151287	0.00045078	0.00143404	0.00411562	0.00728367	0.00413787	0.00624951	0.0135117	0.0273712	0.098385	0.242828	0.593865
a0	0.000229149	0.000249715	0.000320042	0.000648388	0.00194973	0.00600922	0.0115467	0.00708224	0.0120401	0.0268679	0.0465901	0.123602	0.255362	0.507503
a47	0.000707493	0.000799564	0.000975198	0.00154633	0.00341991	0.00642255	0.00910348	0.0041072	0.00804665	0.0193757	0.0340633	0.103864	0.237661	0.569908
a96	0.00150116	0.00171152	0.00148718	0.00215192	0.00379657	0.00585938	0.00789054	0.00416621	0.00774031	0.0187074	0.0362126	0.101947	0.229692	0.577136
a62	0.00271268	0.00313988	0.00306182	0.00253129	0.00327252	0.00429609	0.00605352	0.00275426	0.00514497	0.0121234	0.0272762	0.0874376	0.235296	0.6049
a21	0.00189192	0.00223797	0.00242874	0.00185758	0.00279362	0.0041302	0.00603352	0.00274786	0.00559071	0.0138715	0.0308505	0.0885644	0.241163	0.595838
a12	0.000980099	0.00108242	0.0012774	0.00172938	0.00359562	0.00655465	0.0113571	0.00684948	0.0137264	0.0299844	0.0611878	0.148554	0.26597	0.447151
a18	0.00106674	0.00108265	0.00111959	0.00182135	0.00380594	0.00598594	0.00869991	0.00425058	0.00688213	0.0149864	0.036452	0.107642	0.242001	0.564204
a4	0.00327461	0.00387436	0.00457214	0.00322453	0.00337295	0.00361599	0.00617003	0.00303805	0.00677521	0.0187111	0.0390792	0.105698	0.248973	0.54962
a57	0.00126261	0.00151828	0.001964	0.00160132	0.00237031	0.00345018	0.00509108	0.00236119	0.00412269	0.0116096	0.0323093	0.0924447	0.246235	0.593659
a82	0.0187734	0.0144827	0.0161806	0.0122252	0.0140053	0.0158153	0.0262724	0.0144191	0.0211963	0.0348918	0.0538311	0.112023	0.221493	0.42439
a87	0.0841087	0.0452111	0.0354808	0.0217945	0.0229187	0.0277285	0.04856	0.0340375	0.0358962	0.044131	0.0570622	0.112798	0.177857	0.252416
a23	0.130169	0.0973786	0.0824141	0.0473028	0.0461045	0.0440692	0.0597185	0.04565	0.0431269	0.0439906	0.0486036	0.0762289	0.0992023	0.136041
a87	0.0388317	0.0184111	0.0190511	0.0188142	0.0195655	0.0203421	0.022628	0.0121856	0.01359	0.020131	0.0366256	0.121799	0.234807	0.403218
</S>	0.0150595	0.00656573	0.00573512	0.00637767	0.0073803	0.0100618	0.0192682	0.0115795	0.0148219	0.0205742	0.0346548	0.109252	0.234112	0.504558
