 	ce	long	fagot	de	bois	que	nyasoni	a	apporté	contient	de	grosses	fourmis	rouges	</S>
a25	0.000987739	0.000857966	0.00107631	0.00217943	0.00392901	0.00548794	0.00934333	0.0159577	0.0147847	0.0147693	0.034654	0.038772	0.127457	0.280111	0.449632
a82	0.0107985	0.0100164	0.0118751	0.0175359	0.0205616	0.0249903	0.0295281	0.0361997	0.027071	0.0231765	0.0473031	0.0595815	0.141366	0.223171	0.316825
a87	0.0327094	0.0251174	0.027249	0.0302815	0.032197	0.0429601	0.0532684	0.0472144	0.0344201	0.0318233	0.0750383	0.0944486	0.133447	0.148621	0.191204
a23	0.0502344	0.0339077	0.0297685	0.0328353	0.0387346	0.0477144	0.0609908	0.0652509	0.0553384	0.0810587	0.121994	0.089819	0.0831231	0.0936568	0.115573
a97	0.0259635	0.0101588	0.00709603	0.00989455	0.01276	0.0126615	0.0132841	0.0164885	0.0106559	0.0177149	0.0547541	0.0716251	0.132908	0.234004	0.370031
a30	0.0129351	0.00656795	0.00568885	0.00798035	0.0120952	0.0134784	0.0183678	0.0233332	0.0190514	0.0257126	0.0396299	0.050181	0.116693	0.242489	0.405797
a53	0.0233691	0.0135142	0.0135492	0.0177337	0.0249193	0.0264896	0.0293485	0.0328549	0.0272628	0.0322509	0.0465054	0.0493233	0.0890372	0.204057	0.369786
a44	0.00321887	0.0024642	0.00351244	0.00472638	0.00766206	0.013194	0.0223912	0.0262791	0.0216867	0.0357339	0.0674622	0.0836725	0.158183	0.242837	0.306976
a13	0.000179627	0.000274107	0.000510084	0.000722245	0.00137849	0.00282935	0.00599715	0.00745924	0.00549447	0.0095951	0.0280477	0.0451697	0.132785	0.291571	0.467987
a70	0.000181702	0.000210623	0.000340589	0.000542714	0.0010666	0.00195515	0.00413016	0.00622204	0.00519993	0.00986713	0.0277235	0.0414147	0.125253	0.29023	0.485662
a34	0.000211833	0.000187468	0.000295609	0.000509008	0.00110853	0.00245052	0.00577588	0.00849029	0.0075374	0.0133648	0.0425172	0.0657748	0.156665	0.283292	0.411819
a85	7.32518e-05	7.02062e-05	0.000112544	0.000210882	0.00049822	0.00117877	0.0030031	0.00503149	0.0046647	0.00872168	0.0352041	0.0656448	0.184613	0.312603	0.37837
a47	7.98976e-05	0.000120482	0.000257905	0.000619774	0.00138692	0.0023404	0.00528549	0.00764276	0.00596049	0.0111402	0.0426354	0.0695629	0.195932	0.295729	0.361306
a37	3.92345e-05	4.19176e-05	9.05543e-05	0.000229334	0.000584606	0.0011228	0.0034906	0.00561971	0.0037623	0.00628157	0.0284037	0.0410333	0.148568	0.283708	0.477024
a44	0.00012993	0.000111968	0.000175807	0.000353037	0.000908802	0.00183687	0.00522575	0.00800495	0.00607366	0.00917644	0.0456458	0.0626238	0.166107	0.27512	0.418506
a70	0.000131269	0.000122308	0.00019559	0.000447684	0.00115476	0.00222916	0.00555967	0.00792827	0.0054693	0.0068144	0.0321984	0.0432322	0.136189	0.278282	0.480046
a13	0.000218708	0.000180659	0.000228894	0.000631512	0.00155892	0.0029129	0.00655252	0.0116212	0.00792352	0.00937005	0.0403796	0.0549109	0.148004	0.261577	0.45393
a3	0.000441757	0.000414828	0.000600102	0.00159393	0.00316591	0.00564802	0.0101115	0.0157976	0.00948593	0.0103902	0.0428268	0.0483676	0.130392	0.249345	0.471419
a87	0.0226991	0.0187761	0.0195877	0.0223418	0.0273835	0.0320015	0.0373071	0.0352819	0.023783	0.0286418	0.0642374	0.0750875	0.150305	0.19449	0.248077
a23	0.0983853	0.0483609	0.038748	0.040042	0.0453846	0.0509777	0.0533818	0.0457167	0.0470167	0.052026	0.0700716	0.071323	0.0977916	0.110127	0.130647
a97	0.0420909	0.0163789	0.00873103	0.00746641	0.0088368	0.00842778	0.00986447	0.011947	0.00915756	0.0113903	0.0232202	0.0263709	0.0774238	0.24882	0.489874
</S>	0.0194287	0.00828831	0.00534225	0.00687872	0.0110296	0.0135703	0.0205691	0.027875	0.0301364	0.0370569	0.0390152	0.0335988	0.0739416	0.207102	0.466167
