 	sa	mère	a	plus	d'	amour	pour	lui	que	pour	son	frère	</S>
a35	0.00649875	0.00483253	0.0051096	0.00984311	0.0173302	0.0311828	0.0465527	0.0631397	0.0921728	0.114377	0.135731	0.182164	0.291065
a66	0.006094	0.0044734	0.00482763	0.0113788	0.0220638	0.0407261	0.0580557	0.0707846	0.0916071	0.112448	0.128648	0.17177	0.277123
a26	0.00250739	0.00193234	0.00171621	0.00298109	0.00588986	0.0134157	0.0259829	0.0406179	0.0679074	0.104506	0.142509	0.215763	0.374272
a66	0.0028322	0.00209651	0.00175106	0.00252715	0.00430134	0.00913648	0.018216	0.0306238	0.0579893	0.100241	0.144047	0.227334	0.398905
a94	0.00568379	0.00382047	0.00265813	0.00294806	0.00368473	0.00609343	0.0100002	0.017668	0.0417012	0.0954537	0.157037	0.257744	0.395507
a76	0.00368232	0.00243374	0.00159074	0.00240723	0.00420694	0.00980655	0.0186883	0.0295267	0.0511327	0.0905755	0.140648	0.235464	0.409837
a90	0.0112743	0.00792264	0.00506659	0.0083662	0.0138727	0.0302488	0.0457944	0.0519895	0.0621145	0.0906077	0.136324	0.201898	0.334521
a38	0.00677879	0.00521161	0.00403958	0.0074832	0.0135677	0.0314742	0.0503971	0.0576646	0.0672176	0.0937296	0.135723	0.198319	0.328394
a11	0.00964553	0.0064355	0.00386256	0.00600912	0.00941128	0.0193128	0.0314052	0.0393553	0.05059	0.0780117	0.1263	0.219917	0.399744
a62	0.00741621	0.00506333	0.00321391	0.00492343	0.00731335	0.014075	0.0215846	0.029355	0.0437817	0.07737	0.1304	0.232922	0.422581
a70	0.00468418	0.0036006	0.00288812	0.00366049	0.00499375	0.0097205	0.0156147	0.0228025	0.0366763	0.0689545	0.124534	0.241655	0.460216
a83	0.00656829	0.00521631	0.00416348	0.00472346	0.00594664	0.0111808	0.0175654	0.0247508	0.0378302	0.069064	0.124049	0.241651	0.44729
a9	0.00832582	0.00672845	0.00551151	0.00670479	0.00824544	0.0143056	0.0217084	0.0301226	0.0448632	0.0785627	0.132125	0.232969	0.409828
a87	0.0176209	0.0123962	0.00762228	0.0100384	0.0118671	0.0186272	0.0230422	0.0307979	0.0467909	0.0797166	0.13277	0.233083	0.375627
a97	0.0133353	0.0085878	0.0044059	0.00483437	0.00567957	0.00893014	0.00948204	0.0124448	0.0249267	0.0665737	0.142991	0.278524	0.419285
a87	0.0303024	0.0271115	0.0188434	0.0204185	0.0201949	0.0205292	0.0234221	0.0354422	0.0721367	0.124528	0.16332	0.195574	0.248177
</S>	0.0263126	0.0256654	0.0213893	0.0258101	0.0295117	0.0346194	0.0353767	0.0473865	0.0699746	0.102127	0.136056	0.183897	0.261874
