 	la	manière	dont	il	ont	surpris	le	voleur	dans	la	maison	m'	a	fait	rire	</S>
a21	0.012933	0.016992	0.0534145	0.119294	0.146388	0.1577	0.129008	0.0985962	0.0746128	0.0504283	0.0389672	0.027146	0.0178222	0.0173493	0.0181262	0.0212219
a5	0.0118969	0.0125951	0.0300572	0.0805134	0.105164	0.118515	0.118009	0.11214	0.0997256	0.0823764	0.0727357	0.0490149	0.0288322	0.0262343	0.0242252	0.0279654
a18	0.00990561	0.0110983	0.0249506	0.0731169	0.109448	0.127715	0.127862	0.114696	0.101222	0.0820541	0.0691943	0.046281	0.0272516	0.0240674	0.0232401	0.0278976
a75	0.00850017	0.00967992	0.0236172	0.0617732	0.118067	0.145835	0.162099	0.131465	0.102992	0.0692152	0.0460327	0.0291641	0.0192057	0.0192569	0.0234078	0.0296889
a6	0.00418838	0.00400517	0.00920233	0.0323938	0.060661	0.0755164	0.101821	0.103844	0.103011	0.0914021	0.0783327	0.0609787	0.0493329	0.052856	0.0660057	0.106448
a37	0.0027782	0.00245466	0.00597245	0.0274331	0.0631018	0.0760977	0.113064	0.113822	0.109239	0.0924205	0.0722827	0.0498109	0.0389992	0.0448879	0.068619	0.119017
a43	0.00279855	0.00282751	0.00707628	0.0303322	0.0751204	0.0910847	0.135154	0.132288	0.121655	0.0966031	0.0686761	0.043742	0.0303311	0.0314048	0.0480615	0.0828451
a11	0.00214798	0.00224251	0.00570582	0.0250096	0.0616767	0.0768401	0.121969	0.126435	0.122639	0.104985	0.0787827	0.0525239	0.0350605	0.0349447	0.0537503	0.0952872
a24	0.00322645	0.00322246	0.00782462	0.0278877	0.060695	0.0757077	0.116929	0.122602	0.12127	0.104736	0.0736001	0.051316	0.0337197	0.0357199	0.0581752	0.103369
a83	0.00312746	0.00338898	0.0086304	0.0252957	0.0477495	0.0609615	0.0957431	0.103802	0.112383	0.107866	0.084869	0.0746883	0.0488043	0.0486096	0.0681209	0.10596
a13	0.00265752	0.00286973	0.0074157	0.0230869	0.0458207	0.0616339	0.0948659	0.101569	0.109884	0.106826	0.0872159	0.0820805	0.0562919	0.0526722	0.0652066	0.0999037
a98	0.00265617	0.00263464	0.00683108	0.0237437	0.0472519	0.0626081	0.0869044	0.0885124	0.0940355	0.0906762	0.0728339	0.0755519	0.0589821	0.0629546	0.0869821	0.136841
a47	0.00158424	0.00154583	0.00367803	0.0121354	0.0302805	0.0393636	0.0661097	0.0716013	0.076607	0.07228	0.0523843	0.0578802	0.0614768	0.0824884	0.138119	0.232466
a7	0.00149425	0.00119665	0.00264153	0.00949083	0.0248887	0.0312309	0.0611255	0.0734981	0.0825062	0.0783783	0.0530079	0.0497431	0.0545327	0.0697894	0.130561	0.275915
a44	0.0027079	0.00257297	0.00458335	0.0119718	0.0266087	0.0326276	0.0616287	0.0753652	0.0895237	0.0921362	0.063251	0.0604312	0.0607026	0.0665498	0.112752	0.236587
a93	0.00207115	0.00183559	0.00310912	0.00857779	0.0193896	0.0252313	0.0458599	0.0553724	0.0670511	0.070378	0.0556446	0.0626535	0.0726357	0.0917777	0.142611	0.275801
a70	0.00083157	0.000580861	0.00105517	0.00400565	0.0110688	0.0144166	0.0321425	0.0435686	0.0559286	0.0652574	0.0549547	0.0666476	0.102935	0.128633	0.150089	0.267885
a44	0.000669441	0.000537479	0.00112355	0.00445649	0.0105534	0.0132028	0.0245677	0.0297229	0.038244	0.0443425	0.0379098	0.0508079	0.086422	0.140877	0.191552	0.325011
a11	0.000510612	0.000431332	0.000814115	0.00279376	0.00698006	0.00876477	0.0184321	0.0233118	0.0310373	0.036186	0.0294056	0.0399599	0.0750056	0.136043	0.220289	0.370035
a75	0.00123295	0.00108482	0.00196875	0.00660595	0.0143966	0.0167289	0.0272651	0.0310889	0.0387804	0.0406601	0.0281348	0.0346433	0.0600056	0.119968	0.233704	0.343731
a37	0.00026404	0.000192535	0.00035009	0.00116331	0.0028255	0.00385527	0.00890299	0.012808	0.0178469	0.0244378	0.02252	0.0320729	0.0599006	0.127528	0.248415	0.436917
a18	0.000500846	0.00044472	0.000809488	0.00252891	0.00548511	0.00629413	0.0123419	0.0149156	0.0197166	0.0213218	0.0135173	0.0166323	0.0369983	0.0973684	0.265263	0.485862
a47	0.00660626	0.00520945	0.00712657	0.0148365	0.0237333	0.0251926	0.034025	0.0359746	0.0394454	0.0350723	0.020656	0.0238825	0.0463023	0.0996868	0.234598	0.347652
a62	0.00032473	0.000264919	0.000539645	0.00199266	0.00435531	0.00499339	0.00907394	0.0107231	0.0138681	0.0161818	0.0126594	0.0182293	0.0445606	0.12472	0.280322	0.457192
a88	0.00034701	0.000245372	0.000555014	0.0020006	0.00369231	0.00428112	0.00762261	0.00935385	0.012501	0.015246	0.0121016	0.0165815	0.036371	0.103428	0.279525	0.496147
a71	0.000611498	0.000465585	0.00093543	0.00343153	0.00695659	0.0078157	0.0122434	0.013451	0.016161	0.0168885	0.011813	0.016754	0.0391032	0.107985	0.293225	0.45216
a94	0.0082588	0.00600998	0.00724875	0.0147702	0.024622	0.0255859	0.0334339	0.0349988	0.0379271	0.0356395	0.0240145	0.0296099	0.0587649	0.107199	0.237638	0.314279
a5	0.00313063	0.00201159	0.00262008	0.00598129	0.00929695	0.010492	0.0138056	0.0147629	0.0173299	0.0180665	0.0148646	0.0219788	0.0493716	0.122006	0.298494	0.395788
a18	0.00019169	0.000136431	0.000247319	0.00090613	0.00184898	0.00191292	0.00334161	0.00411101	0.00538467	0.00697619	0.00658663	0.0100986	0.028136	0.103823	0.333233	0.493066
a12	0.00136955	0.000945078	0.0013855	0.00428141	0.00827008	0.00888475	0.0135932	0.0146244	0.0167739	0.0164895	0.0117681	0.0153732	0.0365791	0.0908291	0.286049	0.472784
a96	0.000202891	0.000137595	0.000206162	0.00071353	0.00141583	0.00147424	0.00267415	0.00336861	0.00448073	0.00571037	0.00512545	0.00775504	0.0227586	0.0821327	0.293905	0.567939
a75	0.000237976	0.000193399	0.000293846	0.000892119	0.00185255	0.00196044	0.00359246	0.0043686	0.00560268	0.00666311	0.00546116	0.00812371	0.0229755	0.0811525	0.304541	0.552089
a92	6.93198e-05	5.00947e-05	8.63745e-05	0.000278664	0.000591794	0.000749353	0.00173434	0.00257443	0.00397673	0.00613307	0.00637824	0.0111519	0.0293024	0.100293	0.318565	0.518066
a5	4.16206e-05	3.21879e-05	6.47607e-05	0.000206706	0.000429793	0.000546657	0.00139334	0.00212147	0.00332056	0.00525044	0.00549437	0.0105063	0.0318367	0.105027	0.307124	0.526605
a18	0.000133101	7.98868e-05	0.00015169	0.000605677	0.00109638	0.00121706	0.00214612	0.00263718	0.00361903	0.00521624	0.00591211	0.0110894	0.0318015	0.105762	0.30604	0.522493
a44	0.00269484	0.00203242	0.00233384	0.00561326	0.00881773	0.00874939	0.0121002	0.0125187	0.0138656	0.0126552	0.00837076	0.0113027	0.0311361	0.0813261	0.276943	0.50954
a4	0.000557655	0.000445647	0.000663665	0.00201883	0.00354258	0.00375401	0.00578019	0.00598456	0.00712023	0.00699476	0.00494809	0.00752591	0.0236609	0.0776099	0.304031	0.545363
a57	0.000247283	0.000191361	0.000356929	0.00127243	0.00253281	0.00275273	0.00454793	0.00483336	0.00567059	0.00566448	0.00393594	0.00621524	0.0197638	0.0750613	0.298119	0.568835
a26	0.00454354	0.00279436	0.00316411	0.00723628	0.00994995	0.0100082	0.0127731	0.0121889	0.0132324	0.0117239	0.00817567	0.011594	0.0301391	0.082607	0.281818	0.498052
a4	0.0487812	0.0222125	0.0158238	0.0260783	0.0294807	0.0281722	0.0308054	0.0298312	0.0314035	0.028623	0.0238431	0.029246	0.0533208	0.0915006	0.200118	0.31076
a57	0.000778896	0.000472868	0.000682729	0.00185913	0.00321417	0.00369491	0.00699895	0.00862974	0.0109415	0.012086	0.0097602	0.0158935	0.0463007	0.11763	0.318543	0.442513
a82	0.00218003	0.00134243	0.00150869	0.00324301	0.00463588	0.00484637	0.00697488	0.00749449	0.00888065	0.00901241	0.00683649	0.01084	0.030332	0.0843297	0.288989	0.528554
a87	0.0366874	0.0168904	0.0116168	0.01573	0.0165135	0.0160702	0.0176125	0.0181199	0.0197887	0.0206518	0.0204534	0.0292037	0.0600484	0.111453	0.225333	0.363827
a23	0.116523	0.0474216	0.025589	0.0289057	0.0275069	0.027751	0.0282158	0.0317191	0.0361441	0.0402483	0.0432587	0.0483458	0.0611135	0.0860511	0.142541	0.208666
a87	0.0428054	0.0194403	0.01151	0.0163399	0.0166134	0.0200147	0.023577	0.0295708	0.036173	0.0401916	0.0421193	0.0527829	0.0753239	0.118566	0.192053	0.262919
</S>	0.0368179	0.0171804	0.0109227	0.0140732	0.0151887	0.0175454	0.024713	0.0365515	0.0470768	0.058798	0.0626883	0.0638302	0.0740272	0.093718	0.152959	0.27391
