 	la	bise	et	le	soleil	se	disputaient	chacun	qu'	il	était	plus	fort	</S>
a54	0.114628	0.143075	0.167612	0.159135	0.110827	0.0441147	0.0568621	0.0667668	0.0263753	0.02064	0.0165652	0.0145037	0.0244678	0.0344278
a36	0.130611	0.131802	0.15828	0.141697	0.10242	0.0531927	0.0634504	0.0579198	0.029066	0.0239188	0.0207878	0.0196373	0.0295823	0.0376335
a7	0.0549043	0.0614733	0.111237	0.13891	0.132406	0.0660075	0.0936928	0.100415	0.0470198	0.0357559	0.0282298	0.0267242	0.0434964	0.0597274
a2	0.030076	0.0365939	0.0848728	0.130769	0.149695	0.0779407	0.115218	0.123519	0.0562416	0.0382218	0.0286114	0.0264223	0.0426217	0.059197
a11	0.0255728	0.0279389	0.0721509	0.129726	0.147976	0.0806469	0.115208	0.113939	0.0574468	0.0359793	0.0273067	0.026145	0.0525679	0.0873964
a94	0.0243522	0.0247159	0.0588355	0.115072	0.162202	0.0918539	0.125962	0.142896	0.0645526	0.0387058	0.0235138	0.0192427	0.0392906	0.0688047
a12	0.0240778	0.0249512	0.053924	0.10404	0.155333	0.0963748	0.124498	0.150731	0.0726838	0.0500426	0.0273192	0.0201789	0.0366167	0.0592293
a96	0.0278327	0.034527	0.0624384	0.0992743	0.134729	0.0865654	0.111161	0.129905	0.0682693	0.0576265	0.0396477	0.0293064	0.045806	0.0729115
a62	0.0187017	0.0219169	0.0498458	0.0993972	0.153955	0.105331	0.129749	0.131737	0.0740336	0.0577368	0.0385176	0.0239442	0.0363282	0.0588064
a70	0.0195086	0.0205601	0.0453319	0.0940327	0.156334	0.11491	0.134914	0.135433	0.0820106	0.0657571	0.0402079	0.0204737	0.0276711	0.042854
a54	0.0144285	0.0162388	0.0362566	0.0749642	0.140213	0.116698	0.141822	0.140664	0.0871484	0.0702159	0.0480991	0.0260023	0.0346604	0.0525886
a47	0.01241	0.0163003	0.0378733	0.0601984	0.099942	0.0885888	0.122843	0.105095	0.0727835	0.0649209	0.0681464	0.0607178	0.0859485	0.104232
a54	0.015247	0.0164959	0.0459034	0.0819321	0.123378	0.104865	0.127004	0.102302	0.0638762	0.0562631	0.057279	0.0460178	0.0652288	0.0942074
a44	0.0120286	0.011812	0.0292282	0.0485105	0.0789033	0.0865938	0.110285	0.0874803	0.0697855	0.0717952	0.0847048	0.0809284	0.0987496	0.129195
a43	0.0138122	0.0137061	0.0324383	0.0581028	0.0923458	0.096416	0.114444	0.0925982	0.0752061	0.0782718	0.0759275	0.0644084	0.08019	0.112133
a54	0.015118	0.0134824	0.029407	0.0565635	0.0919379	0.0884892	0.103679	0.103963	0.0679246	0.0690856	0.0598071	0.0526405	0.0915375	0.156365
a56	0.00839694	0.00981744	0.0270368	0.0438502	0.0713094	0.0733054	0.100778	0.0799291	0.0603884	0.0555763	0.0729244	0.0844533	0.13538	0.176854
a7	0.0126526	0.0117119	0.0257569	0.0486592	0.073876	0.0773627	0.0856018	0.0739099	0.0606975	0.0662101	0.0714105	0.0763747	0.12346	0.192316
a54	0.00606233	0.00525753	0.01217	0.0276188	0.0519784	0.0631636	0.0662586	0.058223	0.0476539	0.0554077	0.0648203	0.074418	0.157153	0.309815
a7	0.00721096	0.00674863	0.0172353	0.0303952	0.0482477	0.0596838	0.0729306	0.0632256	0.0520085	0.052967	0.0701359	0.0901147	0.16961	0.259486
a54	0.00405447	0.003787	0.00931157	0.0214695	0.0420137	0.0605774	0.0614089	0.0519665	0.0451937	0.0576004	0.0747154	0.0924525	0.175303	0.300146
a47	0.00691966	0.00653513	0.0144705	0.0259595	0.0402693	0.0530144	0.0585019	0.0500594	0.0499672	0.0577595	0.0765769	0.0990628	0.184193	0.276711
a7	0.00535843	0.00531978	0.0140088	0.0239578	0.0387438	0.0558708	0.0624831	0.0559038	0.0495769	0.0565926	0.0790341	0.0988643	0.176151	0.278135
a26	0.00272056	0.00270569	0.00665115	0.0145951	0.0280443	0.04423	0.0405252	0.0333601	0.0267599	0.0367739	0.0557047	0.0902595	0.213114	0.404556
a90	0.00226845	0.00135025	0.0017352	0.00316315	0.00731206	0.0116934	0.0114763	0.0108427	0.0101036	0.0145555	0.0340526	0.0994074	0.282336	0.509703
a69	0.00315381	0.00260184	0.00446044	0.010039	0.019876	0.028036	0.0258412	0.0275205	0.025175	0.0359703	0.0516952	0.10258	0.242525	0.420525
a58	0.00202938	0.00184328	0.00363344	0.0088896	0.0198256	0.0291788	0.0276039	0.030181	0.026755	0.0349797	0.0502879	0.0982554	0.231975	0.434562
a54	0.00069487	0.000585047	0.0010316	0.00210141	0.00468723	0.00757431	0.00656277	0.00675824	0.00578122	0.00902882	0.0189197	0.070392	0.294604	0.571279
a44	0.0014103	0.00134742	0.00244995	0.00548983	0.0104898	0.0143741	0.0122492	0.0108709	0.00945836	0.0140739	0.0263335	0.0706588	0.247349	0.573445
a96	0.000846617	0.000731791	0.0012473	0.00246846	0.00533943	0.00859749	0.00688425	0.00668403	0.00549373	0.00894065	0.0197173	0.0742497	0.28556	0.573239
a54	0.00113136	0.000917405	0.00163184	0.00299008	0.00714542	0.0120969	0.00983066	0.0100393	0.00837855	0.0129087	0.0279524	0.0877051	0.278545	0.538728
a36	0.00195634	0.00193704	0.00368985	0.0076877	0.0144796	0.0192006	0.0172699	0.0165217	0.0125832	0.0168269	0.0292513	0.0715902	0.236999	0.550007
a26	0.000503753	0.00041596	0.000759912	0.00134794	0.00307882	0.00567258	0.00426379	0.00366693	0.00315646	0.00515106	0.0140475	0.0660377	0.297837	0.594061
a38	0.0017764	0.00091728	0.00154128	0.00234958	0.00481487	0.0107155	0.00892584	0.00813843	0.00818743	0.0119851	0.0298372	0.106401	0.314748	0.489663
a70	0.0029329	0.00147712	0.00209406	0.00299369	0.00496062	0.0102384	0.00753564	0.00714036	0.00780452	0.0110668	0.0283031	0.110263	0.319459	0.483731
a27	0.00268711	0.0013751	0.00173295	0.00217627	0.00323941	0.00687064	0.00508703	0.00573153	0.00595002	0.0089247	0.0229722	0.102513	0.315818	0.514922
a26	0.011721	0.00598373	0.00739903	0.00883174	0.0131887	0.0208796	0.0174066	0.0193944	0.019031	0.0252949	0.0541009	0.142892	0.282854	0.371022
a82	0.0326968	0.0124606	0.0121986	0.0131101	0.0158992	0.0238708	0.0216251	0.0271522	0.0353744	0.0381019	0.0731602	0.159918	0.23965	0.294782
a57	0.0517173	0.0234856	0.0175717	0.0162034	0.0162149	0.025863	0.0267969	0.0373581	0.0567349	0.0610224	0.0940477	0.156961	0.191371	0.224652
a87	0.0497805	0.0294387	0.02409	0.0236401	0.0244221	0.0379585	0.0387907	0.0496053	0.0689407	0.0813925	0.10374	0.136038	0.163572	0.168591
a23	0.0475012	0.0314517	0.0301082	0.0329052	0.0373204	0.0534388	0.0628942	0.0678194	0.0921538	0.0967402	0.106422	0.111233	0.120239	0.109773
a87	0.0819939	0.0592087	0.0615786	0.058926	0.0437793	0.0609423	0.0527123	0.0485785	0.0563307	0.065415	0.0749011	0.0819632	0.108367	0.145303
a82	0.0359549	0.0379121	0.0457075	0.0477091	0.0414057	0.0687374	0.0571597	0.0530494	0.0544486	0.0574592	0.0699149	0.0942455	0.138108	0.198188
</S>	0.0473935	0.0490315	0.0576987	0.0729257	0.07253	0.0924891	0.0848882	0.0850425	0.0715864	0.071986	0.0628807	0.0582965	0.073287	0.0999641
