 	ils	ont	marché	toute	la	nuit	et	son	arrivés	à	l'	aube	</S>
a41	0.00876332	0.0125793	0.0200543	0.0405117	0.0576612	0.0801142	0.112041	0.114366	0.101691	0.109853	0.113206	0.112022	0.117137
a26	0.00809008	0.0115347	0.0180382	0.0397379	0.0585676	0.0854438	0.120601	0.12192	0.101905	0.114694	0.104019	0.0995834	0.115865
a57	0.0083366	0.0097979	0.0137367	0.0310761	0.0524861	0.0825896	0.115679	0.114798	0.0843433	0.110159	0.116523	0.116763	0.143713
a10	0.010467	0.011972	0.0172568	0.0329461	0.0495283	0.072041	0.0951068	0.0920197	0.0664822	0.0899043	0.103627	0.127693	0.230956
a87	0.00686764	0.00787997	0.0108091	0.020904	0.032765	0.0504514	0.0594417	0.0534557	0.04067	0.0620682	0.0933169	0.179204	0.382166
a40	0.0118733	0.0108071	0.0120143	0.0156837	0.0221842	0.0296879	0.034793	0.0338052	0.0368636	0.0509862	0.0876269	0.204473	0.449202
a73	0.0285089	0.0342441	0.034116	0.0384814	0.0399442	0.0478515	0.0584243	0.0539709	0.0474439	0.0562277	0.0658997	0.122241	0.372646
a84	0.00909312	0.0147462	0.0191296	0.0294701	0.0397701	0.0578922	0.0700935	0.0586882	0.0523842	0.0659946	0.0981498	0.163931	0.320657
a24	0.00779222	0.00953193	0.0146097	0.0230908	0.0286471	0.0402128	0.0536136	0.0495699	0.0415006	0.0545138	0.103815	0.190193	0.38291
a43	0.00578558	0.00600428	0.00836863	0.0154321	0.0222433	0.0322977	0.0441416	0.0424111	0.0345351	0.0490475	0.0903873	0.17804	0.471306
a75	0.00844396	0.0103832	0.0136182	0.0214561	0.0275723	0.0413166	0.0559053	0.0503088	0.0374719	0.0442402	0.0845408	0.184956	0.419787
a41	0.0161901	0.0218053	0.0255573	0.0424427	0.0490298	0.0516423	0.0521483	0.0494815	0.0399	0.0464495	0.0664736	0.144359	0.394521
a2	0.00656482	0.00884218	0.0125917	0.0246114	0.0308815	0.0340929	0.0382555	0.0372381	0.031245	0.0386745	0.0724264	0.187542	0.477034
a11	0.00408917	0.00426579	0.0058023	0.0118908	0.0204402	0.0275667	0.0345359	0.0355784	0.0276298	0.0420403	0.0861378	0.201082	0.498941
a75	0.00767064	0.00679881	0.00819474	0.0154313	0.0226606	0.0274527	0.0318238	0.0305099	0.025463	0.0358256	0.0733504	0.180181	0.534637
a73	0.0215983	0.0220504	0.0225731	0.0429652	0.0513819	0.0572621	0.0562152	0.0467423	0.0357456	0.0440819	0.07161	0.143175	0.384599
a26	0.00434426	0.00635888	0.00986887	0.0236662	0.032099	0.0362262	0.0365598	0.0292214	0.0215493	0.0293266	0.0581488	0.173329	0.539301
a94	0.00656778	0.00681476	0.00807968	0.0138354	0.0222828	0.0258598	0.0270594	0.0219674	0.0164325	0.0224676	0.0459375	0.166821	0.615875
a90	0.0102225	0.00801862	0.00811438	0.0139006	0.0209591	0.0241665	0.0273275	0.0225443	0.0168027	0.0214261	0.0511968	0.1952	0.580121
a62	0.0101127	0.010985	0.0134579	0.0284154	0.0370428	0.0435456	0.0442284	0.0345811	0.023729	0.0308314	0.0594922	0.158053	0.505525
a43	0.00854646	0.00989378	0.0103455	0.0188663	0.0263875	0.0304918	0.0342431	0.0284024	0.019938	0.0232387	0.0408518	0.130727	0.618068
a75	0.00494295	0.00574274	0.00632119	0.0107635	0.0168912	0.021756	0.0265111	0.0234683	0.0168934	0.0228401	0.048874	0.165311	0.629684
a73	0.00991006	0.0122187	0.0154862	0.0279066	0.0332076	0.0341027	0.0327341	0.0277464	0.0215171	0.0257834	0.0454739	0.149796	0.564117
a84	0.00433814	0.00621875	0.00920552	0.018927	0.0244041	0.0266214	0.0260701	0.0201625	0.0155169	0.0202949	0.0440269	0.162998	0.621216
a57	0.00422434	0.0048294	0.00612219	0.0110172	0.0164203	0.0193535	0.0197086	0.0152184	0.0110888	0.0166714	0.0410395	0.156684	0.677622
a87	0.0073725	0.00536442	0.00478958	0.00465554	0.0067818	0.00865151	0.0117021	0.0117336	0.010815	0.0155421	0.0448785	0.222266	0.645448
</S>	0.0377776	0.0209151	0.014383	0.00783185	0.00821787	0.011422	0.0211649	0.0222552	0.0208085	0.0285168	0.0737784	0.232163	0.500765
