 	nous	avons	beaucoup	dansé	lorsque	nous	étions	partis	à	la	fête	</S>
a66	0.0358867	0.0715032	0.104589	0.140716	0.198247	0.1784	0.126101	0.0724534	0.0242824	0.0158814	0.0135778	0.0183618
a61	0.0203479	0.0515307	0.0917873	0.129696	0.186692	0.168661	0.10561	0.10474	0.0413454	0.0291824	0.0341212	0.0362873
a31	0.0232343	0.0516367	0.090658	0.122056	0.166519	0.182187	0.145081	0.109743	0.0337766	0.0210526	0.0261436	0.027912
a61	0.0205843	0.0439717	0.0803181	0.104254	0.151796	0.161168	0.133622	0.143791	0.0521254	0.0306198	0.0397234	0.0380271
a56	0.0164133	0.0324167	0.0676093	0.100003	0.151117	0.163719	0.127503	0.168458	0.06235	0.0348527	0.0407442	0.0348139
a31	0.0176657	0.0302063	0.0607783	0.101675	0.180659	0.172078	0.12612	0.14866	0.0582524	0.0336667	0.0352549	0.0349827
a24	0.0163249	0.0263743	0.0467895	0.0750742	0.139311	0.142016	0.118194	0.17475	0.0854968	0.0509913	0.0651039	0.0595735
a9	0.0120625	0.0192514	0.0311069	0.0515111	0.113964	0.0997126	0.0873118	0.194922	0.110511	0.0746562	0.102532	0.102459
a99	0.00294096	0.00549837	0.013728	0.0314608	0.0849458	0.0719207	0.0586238	0.21292	0.117912	0.0965609	0.151392	0.152096
a47	0.00373023	0.00674463	0.014481	0.032812	0.0994493	0.0682905	0.0474758	0.198317	0.121573	0.10836	0.158572	0.140194
a88	0.00247941	0.0042133	0.00913764	0.0230399	0.0674585	0.0450241	0.0271002	0.169875	0.127663	0.130016	0.19739	0.196604
a62	0.00154537	0.00243939	0.00576844	0.0138204	0.030669	0.0233382	0.0162585	0.0928823	0.0978705	0.132875	0.239803	0.34273
a88	0.00269322	0.00409962	0.00746966	0.0153213	0.0274711	0.0218922	0.0158198	0.0893451	0.104863	0.13987	0.247664	0.323491
a31	0.00125198	0.00167247	0.0038105	0.010661	0.0209476	0.0154479	0.0113146	0.0717503	0.102818	0.168347	0.233188	0.35879
a0	0.00164074	0.00215583	0.00340738	0.00680089	0.0115595	0.00971236	0.00867936	0.0550292	0.0807576	0.132043	0.274997	0.413217
a21	0.00114317	0.00130344	0.00267885	0.00708571	0.0112976	0.00970423	0.00669476	0.0514326	0.078733	0.141728	0.24358	0.444619
a47	0.0041899	0.00492181	0.00635654	0.0112003	0.0202888	0.0117586	0.00799168	0.0456154	0.0700874	0.142601	0.249589	0.4254
a21	0.00169604	0.00215598	0.00374778	0.00952703	0.0155985	0.0125055	0.0124478	0.0526949	0.080788	0.155127	0.233717	0.419994
a12	0.00244347	0.00269123	0.00395614	0.00872578	0.0162379	0.00913361	0.00679069	0.0370442	0.0653758	0.141827	0.269845	0.43593
a31	0.00153811	0.00147117	0.00231701	0.00499107	0.00886251	0.00726266	0.00634998	0.0360497	0.0569459	0.123148	0.259613	0.49145
a0	0.000976579	0.000918193	0.00150315	0.00342602	0.00686212	0.00714153	0.00823205	0.0452443	0.0668089	0.114891	0.282351	0.461645
a9	0.000984642	0.000771422	0.00106214	0.00213327	0.0043018	0.00502105	0.00513726	0.0381146	0.0624096	0.130344	0.338219	0.411501
a10	0.00605524	0.00321293	0.00444315	0.0072645	0.0124045	0.0084545	0.00907552	0.0492413	0.0836277	0.167338	0.351217	0.297665
a87	0.0126883	0.00669205	0.00788697	0.00760397	0.00853846	0.0073873	0.010146	0.0213276	0.0439268	0.0984419	0.377933	0.397428
a23	0.0172735	0.0102031	0.0130807	0.0142456	0.0165484	0.0181657	0.0244044	0.023634	0.0399835	0.0810501	0.343943	0.397468
a38	0.00218791	0.00130403	0.00145384	0.000907333	0.00131444	0.00209255	0.00399759	0.00775181	0.0221578	0.0616607	0.273602	0.62157
a2	0.000368805	0.000247529	0.000539533	0.000632053	0.00125706	0.00153793	0.00291235	0.0119784	0.027962	0.0716032	0.268436	0.612526
</S>	0.000235072	0.000190078	0.000668067	0.00100454	0.00178539	0.00225766	0.00403197	0.0167756	0.0365154	0.0879678	0.261573	0.586996
