 	s'	il	te	plait	essaie	ce	vêtement	pour	voir	s'	il	te	convient	</S>
a47	0.0111108	0.0108659	0.0217753	0.0342036	0.0447098	0.0948746	0.0710469	0.0415972	0.0573938	0.06435	0.0637067	0.0885981	0.137041	0.258726
a73	0.00933463	0.0089478	0.0188246	0.0333911	0.0638012	0.115076	0.106756	0.0657491	0.0737814	0.0675913	0.0581074	0.0661598	0.102871	0.209608
a94	0.00513934	0.00491807	0.00973228	0.0172114	0.0492032	0.135712	0.131474	0.0842863	0.0831233	0.0765989	0.0581744	0.0587934	0.0975466	0.188087
a58	0.00495941	0.00519994	0.00993606	0.0159696	0.0453793	0.160381	0.155814	0.0978716	0.0929065	0.0706475	0.0473389	0.0419391	0.0775619	0.174095
a82	0.0139694	0.0160148	0.0282438	0.0468554	0.0864872	0.167446	0.160743	0.105065	0.0844823	0.0609348	0.0359023	0.0285621	0.0574275	0.107867
a87	0.0320017	0.033027	0.0444992	0.0599358	0.102837	0.177106	0.142386	0.095001	0.0783082	0.0686945	0.0468472	0.0304881	0.0414857	0.0473826
a23	0.0814686	0.0646638	0.0709472	0.0709353	0.103314	0.08804	0.0575569	0.039905	0.0373804	0.04533	0.0428152	0.0424815	0.0710877	0.184075
a53	0.0394626	0.022387	0.0228086	0.0350695	0.0720192	0.0986563	0.0770501	0.0568892	0.060065	0.0509849	0.0430173	0.0401366	0.0851225	0.296331
a15	0.00454137	0.00421973	0.0092485	0.0183138	0.0676813	0.10795	0.0791673	0.0515888	0.0469517	0.0638233	0.0537526	0.0696032	0.145071	0.278087
a73	0.00214257	0.00260578	0.00564281	0.00909815	0.0223439	0.0410101	0.0357991	0.0285474	0.0388105	0.0672112	0.068857	0.0974097	0.179354	0.401168
a90	0.000978391	0.00117056	0.0024709	0.00437619	0.0123938	0.0278648	0.0264078	0.0246927	0.0378349	0.0553092	0.0652192	0.107163	0.207363	0.426756
a4	0.000870346	0.00101682	0.00212672	0.00347239	0.00970181	0.0268965	0.0275895	0.0294502	0.0438706	0.0565704	0.0671417	0.121078	0.209069	0.401146
a53	0.00221215	0.00202929	0.00353096	0.00532343	0.0140246	0.0379501	0.0349102	0.03616	0.0514967	0.0570763	0.0611378	0.097693	0.187195	0.40926
a90	0.00334284	0.00280399	0.00452999	0.00604111	0.0152272	0.0409326	0.0396723	0.0404707	0.0554137	0.0652391	0.0729798	0.114796	0.180768	0.357783
a98	0.00344965	0.00293883	0.00467839	0.00631242	0.0154612	0.0362423	0.0345136	0.0348061	0.0480198	0.0549712	0.0655307	0.109062	0.182336	0.401678
a6	0.0036802	0.00315773	0.00480792	0.00640225	0.0124554	0.0205772	0.01723	0.014643	0.0236971	0.0325875	0.046889	0.105703	0.203997	0.504172
a7	0.000904369	0.00082141	0.00170735	0.00304089	0.00593402	0.014238	0.0118486	0.00829363	0.0142953	0.0175682	0.026089	0.0781205	0.20509	0.612048
a84	0.00250232	0.00221348	0.00377918	0.0064639	0.0103807	0.0231002	0.016556	0.00780675	0.0105743	0.0135471	0.0192856	0.0760548	0.252823	0.554912
a87	0.0314496	0.028705	0.030478	0.0363144	0.028656	0.04277	0.030618	0.0139664	0.0143916	0.0198899	0.0233876	0.0847601	0.214548	0.400065
a23	0.157425	0.116821	0.0791216	0.0774668	0.0338648	0.0356707	0.0227658	0.0101014	0.0126999	0.0222282	0.0341898	0.0899503	0.147502	0.160194
a87	0.0356384	0.030549	0.030605	0.0318514	0.0162783	0.0185558	0.0133646	0.00746935	0.0135584	0.0285968	0.0444206	0.167116	0.264682	0.297314
</S>	0.00589485	0.00503515	0.00520608	0.00661555	0.00393004	0.00759561	0.00530345	0.00302492	0.00626617	0.0115971	0.0221191	0.128157	0.340331	0.448924
