 	je	n'	ai	plus	envie	d'	aller	au	travail	car	je	ne	suis	pas	bien	rémunéré	</S>
a40	0.0264012	0.0249661	0.0270681	0.0259818	0.0298144	0.0374724	0.0375367	0.0323726	0.0344694	0.0283987	0.0279685	0.0251915	0.0398579	0.0715342	0.125036	0.211462	0.194469
a36	0.00310223	0.00324467	0.00394607	0.0051118	0.00697068	0.0110033	0.0117896	0.0143119	0.0218006	0.0266846	0.0360175	0.0436953	0.069265	0.107823	0.170494	0.225148	0.239592
a2	0.0017826	0.00190802	0.00255642	0.00354393	0.00543271	0.00983355	0.00975644	0.00951518	0.0124493	0.0171556	0.0197982	0.0227186	0.0353804	0.0619815	0.147645	0.281845	0.356698
a57	0.0135332	0.0134811	0.0159472	0.0174293	0.0231621	0.0261095	0.0295162	0.0252873	0.0274588	0.0213554	0.0233784	0.0196116	0.0360858	0.0710748	0.145304	0.245773	0.245492
a87	0.0409675	0.0300568	0.0268837	0.0234134	0.027644	0.0264534	0.0310086	0.0287577	0.030392	0.0238774	0.0302115	0.0302587	0.0452178	0.0774584	0.135981	0.204191	0.187227
a23	0.0727862	0.0441264	0.0401052	0.0339077	0.0325257	0.0357068	0.0418263	0.0412031	0.0411495	0.0361237	0.038796	0.0345964	0.0435041	0.0725805	0.110899	0.151013	0.12915
a87	0.0220234	0.0123915	0.00970757	0.00875604	0.00967283	0.0138777	0.0196153	0.0211109	0.0220844	0.0305852	0.0426811	0.0406441	0.0663324	0.109808	0.169628	0.179094	0.221987
a23	0.00407897	0.00254814	0.00231604	0.00288326	0.00669102	0.0130514	0.0157227	0.0138253	0.0161896	0.0158097	0.0209519	0.020569	0.0332537	0.0558663	0.156357	0.249523	0.370363
a97	0.0161067	0.0102463	0.00862657	0.00965485	0.0183877	0.0346638	0.0446159	0.0413985	0.0379494	0.045261	0.0461806	0.0390036	0.0513019	0.0732955	0.131039	0.160445	0.231823
</S>	0.00618507	0.00445481	0.0041601	0.00652042	0.0185583	0.0331675	0.0369226	0.0285635	0.0292517	0.0295715	0.0301804	0.026188	0.0333703	0.0444972	0.113851	0.208555	0.346003
